Gavialis_gangeticus	Crocodylus_porosus	Alligator_sinensis	Alligator_mississippiensis	
0.0031827	1.035e-05	0.0023462	0.0010751	
0.003174	1.0335e-05	0.0023437	0.0010737	
0.0031651	1.0312e-05	0.0023413	0.0010723	
0.0031565	1.0291e-05	0.0023388	0.0010709	
0.003148	1.0272e-05	0.0023364	0.0010696	
0.0031397	1.0255e-05	0.002334	0.0010682	
0.0031315	1.0239e-05	0.0023316	0.0010669	
0.0031232	1.0214e-05	0.0023292	0.0010655	
0.0031149	1.0179e-05	0.0023268	0.0010642	
0.0031068	1.0148e-05	0.0023244	0.0010628	
0.0030986	1.0108e-05	0.0023219	0.0010615	
0.0030906	1.0071e-05	0.0023196	0.0010601	
0.0030827	1.0037e-05	0.0023172	0.0010588	
0.003075	1.0005e-05	0.0023148	0.0010575	
0.0030675	9.9748e-06	0.0023125	0.0010562	
0.0030601	9.9461e-06	0.0023102	0.0010549	
0.0030526	9.908e-06	0.0023079	0.0010536	
0.0030451	9.8604e-06	0.0023055	0.0010523	
0.0030377	9.8162e-06	0.0023032	0.0010511	
0.0030303	9.7625e-06	0.0023009	0.0010498	
0.0030228	9.6991e-06	0.0022985	0.0010485	
0.0030155	9.6393e-06	0.0022962	0.0010472	
0.0030083	9.5832e-06	0.0022939	0.0010459	
0.0030011	9.5173e-06	0.0022916	0.0010446	
0.0029939	9.4416e-06	0.0022892	0.0010433	
0.0029868	9.3697e-06	0.0022869	0.001042	
0.0029799	9.3016e-06	0.0022846	0.0010408	
0.0029731	9.2372e-06	0.0022824	0.0010396	
0.0029665	9.1749e-06	0.0022801	0.0010383	
0.0029598	9.1025e-06	0.0022779	0.0010371	
0.0029531	9.0205e-06	0.0022756	0.0010359	
0.0029463	8.9287e-06	0.0022733	0.0010346	
0.0029396	8.8392e-06	0.002271	0.0010333	
0.0029329	8.7394e-06	0.0022687	0.0010321	
0.0029261	8.6292e-06	0.0022664	0.0010308	
0.0029195	8.5235e-06	0.0022641	0.0010296	
0.002913	8.4221e-06	0.0022619	0.0010283	
0.0029067	8.3234e-06	0.0022596	0.0010271	
0.0029004	8.2144e-06	0.0022574	0.0010259	
0.0028941	8.1081e-06	0.0022551	0.0010247	
0.0028881	8.0046e-06	0.0022529	0.0010235	
0.0028822	7.9039e-06	0.0022507	0.0010223	
0.0028762	7.7922e-06	0.0022485	0.0010211	
0.0028701	7.6692e-06	0.0022463	0.0010199	
0.0028639	7.5349e-06	0.002244	0.0010187	
0.0028579	7.406e-06	0.0022418	0.0010175	
0.0028519	7.2655e-06	0.0022396	0.0010163	
0.002846	7.1307e-06	0.0022374	0.0010151	
0.0028403	6.9995e-06	0.0022352	0.0010139	
0.0028348	6.8748e-06	0.002233	0.0010128	
0.0028292	6.7387e-06	0.0022308	0.0010116	
0.0028237	6.6062e-06	0.0022287	0.0010105	
0.0028182	6.4623e-06	0.0022265	0.0010093	
0.0028129	6.3242e-06	0.0022244	0.0010082	
0.0028074	6.1698e-06	0.0022223	0.0010071	
0.002802	6.0213e-06	0.0022202	0.001006	
0.0027969	5.8784e-06	0.0022182	0.0010049	
0.0027917	5.7235e-06	0.0022161	0.0010039	
0.0027866	5.5721e-06	0.0022141	0.0010028	
0.0027814	5.4087e-06	0.002212	0.0010017	
0.00276	5.2573e-06	0.00221	0.0010007	
0.0027391	5.1111e-06	0.002208	0.00099968	
0.0027187	4.9698e-06	0.002206	0.00099869	
0.0026982	4.8174e-06	0.0022041	0.00099768	
0.0026781	4.6697e-06	0.0022021	0.00099669	
0.0026578	4.5105e-06	0.0022001	0.00099569	
0.0026372	4.3401e-06	0.0021981	0.00099467	
0.0026172	4.1745e-06	0.0021962	0.00099367	
0.0025977	4.0135e-06	0.0021942	0.00099271	
0.0025779	3.8415e-06	0.0021923	0.00099172	
0.0025587	3.6739e-06	0.0021904	0.00099076	
0.0025392	3.4953e-06	0.0021884	0.00098978	
0.0025202	3.321e-06	0.0021865	0.00098883	
0.002501	3.1353e-06	0.0021846	0.00098785	
0.0024816	2.9387e-06	0.0021826	0.00098686	
0.0024626	2.7445e-06	0.0021807	0.00098589	
0.002444	2.5524e-06	0.0021788	0.00098494	
0.0024251	2.3492e-06	0.0021768	0.00098397	
0.0024067	2.1481e-06	0.0021749	0.00098302	
0.002388	1.9362e-06	0.002173	0.00098205	
0.0023697	1.7264e-06	0.0021711	0.0009811	
0.0023518	1.5184e-06	0.0021692	0.00098018	
0.0023337	1.2993e-06	0.0021673	0.00097923	
0.002316	1.0837e-06	0.0021654	0.00097831	
0.0022988	8.7128e-07	0.0021636	0.00097742	
0.002282	6.6168e-07	0.0021618	0.00097655	
0.0022656	4.5309e-07	0.00216	0.00097571	
0.0022485	4.5414e-07	0.0021582	0.00097485	
0.0022312	4.4742e-07	0.0021564	0.00097397	
0.0022143	4.3733e-07	0.0021546	0.00097311	
0.0021978	4.2387e-07	0.0021528	0.00097228	
0.0021812	4.0263e-07	0.002151	0.00097143	
0.002164	5.491e-07	0.0021492	0.00097056	
0.0021464	6.8491e-07	0.0021474	0.00096971	
0.0021287	8.1135e-07	0.0021456	0.00096884	
0.0021113	9.3776e-07	0.0021439	0.000968	
0.0020944	1.0631e-06	0.0021421	0.00096718	
0.0020777	1.1876e-06	0.0021404	0.00096638	
0.0020609	1.3026e-06	0.0021387	0.00096556	
0.0020444	1.4167e-06	0.0021369	0.00096476	
0.0020278	1.5214e-06	0.0021352	0.00096394	
0.0020109	1.6166e-06	0.0021334	0.0009631	
0.0019944	1.712e-06	0.0021317	0.00096229	
0.0019778	1.798e-06	0.0021299	0.00096145	
0.0019609	1.8749e-06	0.0021281	0.0009606	
0.0019444	1.9508e-06	0.0021263	0.00095977	
0.0019278	2.0174e-06	0.0021246	0.00095892	
0.0019115	2.0841e-06	0.0021228	0.00095809	
0.001895	2.1418e-06	0.002121	0.00095725	
0.0018789	2.1985e-06	0.0021193	0.00095642	
0.0018631	2.2544e-06	0.0021175	0.00095562	
0.0018476	2.3095e-06	0.0021158	0.00095484	
0.0018325	2.3651e-06	0.0021141	0.00095408	
0.0018173	2.4114e-06	0.0021125	0.0009533	
0.0018019	2.4482e-06	0.0021107	0.00095251	
0.0017867	2.4843e-06	0.002109	0.00095173	
0.0017714	2.5108e-06	0.0021073	0.00095093	
0.0017715	2.5201e-06	0.0021056	0.00095012	
0.0017716	2.5198e-06	0.0021038	0.00094928	
0.0017717	2.52e-06	0.002102	0.00094847	
0.0017718	2.5109e-06	0.0021003	0.00094765	
0.001772	2.5011e-06	0.0020985	0.00094684	
0.0017721	2.4821e-06	0.0020968	0.00094601	
0.0017724	2.4635e-06	0.002095	0.00094521	
0.0017726	2.4354e-06	0.0020933	0.00094439	
0.0017727	2.3978e-06	0.0020915	0.00094355	
0.0017729	2.3594e-06	0.0020897	0.00094273	
0.0017731	2.3118e-06	0.002088	0.00094189	
0.0017732	2.2546e-06	0.0020861	0.00094103	
0.0017732	2.1881e-06	0.0020843	0.00094015	
0.0017733	2.1209e-06	0.0020825	0.00093929	
0.0017734	2.0441e-06	0.0020807	0.00093841	
0.0017735	1.9667e-06	0.0020788	0.00093756	
0.0017735	2.2402e-06	0.002077	0.00093668	
0.0017735	2.5176e-06	0.0020752	0.00093582	
0.0017737	2.8016e-06	0.0020735	0.00092817	
0.001774	3.0926e-06	0.0020718	0.00092058	
0.0017744	3.3907e-06	0.0020701	0.00091305	
0.0017748	3.6761e-06	0.0020684	0.00090549	
0.0017753	3.9689e-06	0.0020667	0.000898	
0.0017757	4.2473e-06	0.0020651	0.00089055	
0.001776	4.5131e-06	0.0020634	0.00088307	
0.0017763	4.7671e-06	0.0020617	0.00087557	
0.0017765	5.009e-06	0.00206	0.00086803	
0.0017766	5.2388e-06	0.0020583	0.00086047	
0.0017767	5.4574e-06	0.0020565	0.00085288	
0.0017769	5.6797e-06	0.0020548	0.00084534	
0.0017771	5.9058e-06	0.002053	0.00083784	
0.0017775	6.1381e-06	0.0020514	0.0008304	
0.001778	6.3744e-06	0.0020497	0.00082301	
0.0017784	6.5989e-06	0.002048	0.00081558	
0.0017789	6.8275e-06	0.0020463	0.00080821	
0.0017794	7.0444e-06	0.0020447	0.0008008	
0.0017799	7.2653e-06	0.002043	0.00079345	
0.0017806	7.4925e-06	0.0020414	0.00078614	
0.0017814	7.7261e-06	0.0020398	0.00077889	
0.0017822	7.9642e-06	0.0020382	0.00077167	
0.001783	8.1906e-06	0.0020366	0.00076444	
0.0017839	8.4213e-06	0.002035	0.00075724	
0.0017849	8.6589e-06	0.0020334	0.0007501	
0.0017858	8.8848e-06	0.0020318	0.00074293	
0.0017869	9.1175e-06	0.0020303	0.00073581	
0.0017879	9.3391e-06	0.0020287	0.00072867	
0.001789	9.5677e-06	0.0020272	0.00072158	
0.0017902	9.8034e-06	0.0020256	0.00071454	
0.0017915	1.0044e-05	0.0020241	0.00070754	
0.0017927	1.0273e-05	0.0020226	0.00070051	
0.0017941	1.051e-05	0.0020211	0.00069354	
0.0017954	1.0735e-05	0.0020196	0.00068654	
0.0017968	1.0965e-05	0.0020181	0.00067958	
0.0017981	1.1183e-05	0.0020166	0.0006726	
0.0017996	1.1406e-05	0.0020151	0.00066565	
0.0018009	1.1618e-05	0.0020136	0.00065869	
0.0018023	1.1817e-05	0.002012	0.0006517	
0.0018037	1.2025e-05	0.0020105	0.00064475	
0.0018051	1.222e-05	0.002009	0.00063779	
0.0018066	1.2423e-05	0.0020075	0.00063087	
0.001808	1.2614e-05	0.002006	0.00062393	
0.0018095	1.2812e-05	0.0020044	0.00061703	
0.0018112	1.3017e-05	0.002003	0.00061018	
0.0018128	1.3211e-05	0.0020015	0.00060331	
0.0018145	1.3411e-05	0.002	0.00059647	
0.0018161	1.3598e-05	0.0019985	0.00058962	
0.0018178	1.3792e-05	0.001997	0.0005828	
0.0018195	1.3974e-05	0.0019955	0.00057596	
0.0018213	1.4164e-05	0.001994	0.00056916	
0.0018232	1.4361e-05	0.0019926	0.00056241	
0.001825	1.4545e-05	0.0019911	0.00055563	
0.0018269	1.4738e-05	0.0019897	0.0005489	
0.001829	1.4942e-05	0.0019882	0.00054221	
0.0018312	1.5156e-05	0.0019869	0.00053558	
0.0018335	1.5381e-05	0.0019855	0.00052899	
0.0018359	1.5614e-05	0.0019842	0.00052244	
0.0018382	1.5833e-05	0.0019828	0.00051587	
0.0018407	1.6063e-05	0.0019815	0.00050934	
0.0018431	1.628e-05	0.0019801	0.00050279	
0.0018456	1.6505e-05	0.0019788	0.00049628	
0.0018481	1.6716e-05	0.0019774	0.00048975	
0.0018506	1.6936e-05	0.0019761	0.00048325	
0.0018531	1.7141e-05	0.0019747	0.00047672	
0.0018558	1.7359e-05	0.0019734	0.00047025	
0.0018583	1.756e-05	0.0019718	0.00047096	
0.0018608	1.7746e-05	0.0019702	0.00047165	
0.0018632	1.7916e-05	0.0019686	0.00047233	
0.0018657	1.81e-05	0.001967	0.00047302	
0.0018682	1.8267e-05	0.0019653	0.00047369	
0.0018708	1.8448e-05	0.0019638	0.00047438	
0.0018733	1.8614e-05	0.0019621	0.00047506	
0.0018757	1.8765e-05	0.0019605	0.00047571	
0.0018781	1.8901e-05	0.0019588	0.00047635	
0.0018736	1.9056e-05	0.0019572	0.00047701	
0.001869	1.9197e-05	0.0019555	0.00047765	
0.0018644	1.9321e-05	0.0019538	0.00047827	
0.0018599	1.9459e-05	0.0019521	0.00047891	
0.0018555	1.9607e-05	0.0019505	0.00047956	
0.001851	1.974e-05	0.0019488	0.0004802	
0.0018468	1.9887e-05	0.0019472	0.00048085	
0.0018424	2.002e-05	0.0019456	0.00048149	
0.001838	2.0136e-05	0.0019439	0.00048211	
0.0018334	2.0242e-05	0.0019422	0.00048271	
0.0018291	2.0358e-05	0.0019405	0.00048333	
0.0018246	2.0458e-05	0.0019388	0.00048392	
0.0018202	2.0568e-05	0.0019371	0.00048454	
0.0018158	2.0664e-05	0.0019354	0.00048513	
0.0018113	2.0743e-05	0.0019337	0.00048571	
0.0018067	2.0807e-05	0.0019319	0.00048627	
0.0018023	2.0884e-05	0.0019302	0.00048684	
0.001798	2.0975e-05	0.0019285	0.00048744	
0.0017939	2.1076e-05	0.0019268	0.00048804	
0.0017897	2.1163e-05	0.0019251	0.00048863	
0.0017856	2.1262e-05	0.0019235	0.00048924	
0.0017815	2.1347e-05	0.0019218	0.00048983	
0.0017773	2.1415e-05	0.0019201	0.0004904	
0.0017732	2.1497e-05	0.0019184	0.00049098	
0.001769	2.1561e-05	0.0019167	0.00049158	
0.001765	2.1638e-05	0.0019151	0.0004922	
0.0017611	2.1726e-05	0.0019135	0.00049283	
0.0017572	2.1799e-05	0.0019119	0.00049344	
0.0017531	2.1857e-05	0.0019102	0.00049404	
0.0017492	2.1928e-05	0.0019086	0.00049465	
0.0017454	2.2009e-05	0.001907	0.00049528	
0.0017416	2.2074e-05	0.0019054	0.00049588	
0.0017379	2.215e-05	0.0019038	0.0004965	
0.0017343	2.2239e-05	0.0019022	0.00049714	
0.0017308	2.2339e-05	0.0019007	0.00049779	
0.0017273	2.2424e-05	0.0018991	0.00049842	
0.0017239	2.2522e-05	0.0018976	0.00049907	
0.0017204	2.2605e-05	0.001896	0.0004997	
0.0017171	2.2702e-05	0.0018945	0.00050035	
0.0017139	2.2812e-05	0.001893	0.00050102	
0.0017108	2.2937e-05	0.0018915	0.0005017	
0.0016959	2.3088e-05	0.00189	0.00050239	
0.0016813	2.325e-05	0.0018886	0.0005031	
0.0016666	2.3395e-05	0.0018872	0.00050379	
0.0016516	2.3525e-05	0.0018857	0.00050446	
0.001637	2.3669e-05	0.0018843	0.00050515	
0.0016228	2.3827e-05	0.0018828	0.00050585	
0.0016084	2.397e-05	0.0018814	0.00050654	
0.0015938	2.4097e-05	0.0018799	0.00050721	
0.0015796	2.4238e-05	0.0018785	0.0005079	
0.0015652	2.4365e-05	0.001877	0.00050857	
0.0015512	2.4502e-05	0.0018756	0.00050925	
0.0015369	2.4624e-05	0.0018741	0.00050992	
0.0015225	2.473e-05	0.0018727	0.00051057	
0.0015085	2.4852e-05	0.0018712	0.00051124	
0.0014943	2.4957e-05	0.0018697	0.00051189	
0.0014799	2.5046e-05	0.0018682	0.00051253	
0.001466	2.5152e-05	0.0018667	0.00051315	
0.0014518	2.5242e-05	0.0018651	0.00051375	
0.001438	2.5347e-05	0.0018636	0.00051437	
0.0014245	2.5462e-05	0.0018621	0.000515	
0.0014108	2.5562e-05	0.0018606	0.00051561	
0.001397	2.5647e-05	0.001859	0.00051621	
0.0013835	2.5746e-05	0.0018575	0.00051683	
0.0013703	2.5859e-05	0.001856	0.00051746	
0.0013574	2.5983e-05	0.0018545	0.0005181	
0.0013443	2.6092e-05	0.001853	0.00051873	
0.0013315	2.6216e-05	0.0018516	0.00051937	
0.0013191	2.6354e-05	0.0018501	0.00052003	
0.0013068	2.6504e-05	0.0018487	0.0005207	
0.0012949	2.6668e-05	0.0018473	0.00052138	
0.0012832	2.6844e-05	0.001846	0.00052208	
0.0012717	2.7031e-05	0.0018446	0.00052279	
0.0012601	2.7203e-05	0.0018433	0.00052349	
0.0012487	2.7387e-05	0.0018419	0.0005242	
0.0012376	2.6727e-05	0.0018406	0.00052492	
0.0012265	2.6048e-05	0.0018393	0.00052563	
0.0012151	2.5349e-05	0.0018379	0.00052632	
0.0012037	2.463e-05	0.0018365	0.000527	
0.0011925	2.3936e-05	0.0018352	0.00052769	
0.0011816	2.3261e-05	0.0018338	0.00052839	
0.0011705	2.2566e-05	0.0018325	0.00052908	
0.0011593	2.1853e-05	0.0018311	0.00052975	
0.0011484	2.1164e-05	0.0018297	0.00053044	
0.0011373	2.0456e-05	0.0018283	0.00053111	
0.0011262	1.973e-05	0.0018269	0.00053177	
0.0011149	1.8986e-05	0.0018255	0.00053241	
0.0011039	1.8266e-05	0.0018241	0.00053307	
0.0010932	1.7569e-05	0.0018227	0.00053374	
0.0010826	1.6889e-05	0.0018214	0.00053442	
0.001072	1.619e-05	0.00182	0.00053509	
0.0010612	1.5473e-05	0.0018186	0.00053574	
0.0010503	1.4738e-05	0.0018172	0.00053638	
0.0010393	1.3985e-05	0.0018158	0.00053701	
0.0010286	1.3255e-05	0.0018144	0.00053764	
0.0010177	1.2506e-05	0.0018129	0.00053827	
0.0010066	1.2721e-05	0.0018115	0.00053887	
0.00099533	1.2922e-05	0.00181	0.00053947	
