Zalophus_californianus	Vulpes_vulpes	Vulpes_lagopus	Ursus_thibetanus	Ursus_maritimus	Ursus_arctos	Ursus_americanus	Suricata_suricatta	Puma_yagouaroundi	Puma_concolor	Phoca_vitulina	Panthera_tigris	Panthera_pardus	Panthera_leo	Odobenus_rosmarus	Neomonachus_schauinslandi	Mustela_putorius	Mustela_erminea	Mirounga_leonina	Lynx_pardinus	Lontra_canadensis	Leptonychotes_weddellii	Hyaena_hyaena	Halichoerus_grypus	Felis_catus	Eumetopias_jubatus	Enhydra_lutris	Canis_lupus	Callorhinus_ursinus	Ailuropoda_melanoleuca	Acinonyx_jubatus	
0.0063708	0.030841	0.0012534	0.0027152	0.00069296	0.035387	0.0017284	5.6911e-05	0.0051494	0.0051494	0.0016508	0.014437	0.87243	0.0054655	0.00053098	0.00093136	0.0014989	0.0038244	0.00081231	0.00012489	0.00010076	0.008403	7.9213e-05	0.010605	0.0063949	0.0032406	0.0052095	0.00025253	7.4813e-05	0.0062975	0.013358	
0.0063717	0.03086	0.0012501	0.0027133	0.00069085	0.035413	0.0017264	5.4799e-05	0.0051471	0.0051471	0.001646	0.014444	0.87302	0.0054633	0.00052738	0.00092638	0.0014974	0.0038175	0.00080841	0.00011929	9.9658e-05	0.0084038	7.9034e-05	0.010606	0.0063957	0.0032374	0.0052116	0.00025138	7.0329e-05	0.0062994	0.01336	
0.0063727	0.030878	0.0012469	0.0027114	0.00068876	0.035438	0.0017243	5.2939e-05	0.0051449	0.0051449	0.0016412	0.014451	0.87362	0.0054611	0.00052385	0.00092148	0.001496	0.0038106	0.00080457	0.00011374	9.8591e-05	0.0084048	7.8915e-05	0.010608	0.0063967	0.0032341	0.0052138	0.00025031	6.5903e-05	0.0063016	0.013363	
0.0063738	0.030897	0.0012437	0.0027095	0.00068668	0.035464	0.0017223	5.1305e-05	0.0051426	0.0051426	0.0016364	0.014458	0.87423	0.0054589	0.00052039	0.00091665	0.0014947	0.0038039	0.00080078	0.00010825	9.7555e-05	0.0084062	7.8854e-05	0.010609	0.0063978	0.0032308	0.0052162	0.00024931	6.1536e-05	0.0063041	0.013365	
0.0063749	0.030916	0.0012404	0.0027076	0.00068461	0.03549	0.0017203	4.9899e-05	0.0051404	0.0051404	0.0016316	0.014464	0.87485	0.0054568	0.000517	0.00091188	0.0014935	0.0037974	0.00079705	0.00010281	9.6553e-05	0.0084078	7.886e-05	0.010611	0.006399	0.0032276	0.0052188	0.00024827	5.7234e-05	0.0063068	0.013368	
0.0063759	0.030934	0.0012371	0.0027057	0.00068253	0.035515	0.0017183	4.8387e-05	0.0051382	0.0051382	0.0016268	0.014471	0.87546	0.0054546	0.00051356	0.00090707	0.0014922	0.0037908	0.00079329	9.7335e-05	9.5594e-05	0.0084093	7.8832e-05	0.010613	0.0064002	0.0032244	0.0052216	0.00024718	5.289e-05	0.0063093	0.01337	
0.006377	0.030953	0.0012339	0.0027038	0.00068047	0.035541	0.0017163	4.7087e-05	0.005136	0.005136	0.0016221	0.014478	0.87609	0.0054525	0.0005102	0.00090233	0.0014911	0.0037843	0.00078958	9.1916e-05	9.4668e-05	0.0084111	7.887e-05	0.010614	0.0064015	0.0032211	0.0052245	0.00024617	4.861e-05	0.0063122	0.013373	
0.0063782	0.030972	0.0012307	0.002702	0.00067842	0.035567	0.0017143	4.5976e-05	0.0051338	0.0051338	0.0016173	0.014485	0.87672	0.0054504	0.00050692	0.00089766	0.00149	0.003778	0.00078594	8.6554e-05	9.3773e-05	0.0084132	7.8974e-05	0.010616	0.0064029	0.0032179	0.0052276	0.00024524	4.4392e-05	0.0063152	0.013375	
0.0063794	0.030992	0.0012274	0.0027001	0.00067638	0.035593	0.0017123	4.5035e-05	0.0051316	0.0051316	0.0016125	0.014492	0.87736	0.0054483	0.00050371	0.00089306	0.0014891	0.0037719	0.00078235	8.1246e-05	9.2909e-05	0.0084156	7.9146e-05	0.010618	0.0064045	0.0032147	0.0052309	0.00024439	4.0237e-05	0.0063186	0.013378	
0.0063806	0.031011	0.0012242	0.0026983	0.00067436	0.035619	0.0017104	4.4232e-05	0.0051295	0.0051295	0.0016078	0.014499	0.87801	0.0054463	0.00050056	0.00088852	0.0014882	0.0037659	0.00077881	7.5986e-05	9.2072e-05	0.0084182	7.938e-05	0.01062	0.0064062	0.0032115	0.0052344	0.00024361	3.6135e-05	0.0063221	0.013381	
0.0063818	0.031031	0.001221	0.0026965	0.00067235	0.035645	0.0017085	4.357e-05	0.0051273	0.0051273	0.001603	0.014507	0.87866	0.0054443	0.00049738	0.00088394	0.0014874	0.0037601	0.00077524	7.0781e-05	9.1265e-05	0.0084829	7.9685e-05	0.010622	0.006408	0.0032083	0.005238	0.0002429	3.1998e-05	0.0063259	0.013384	
0.006383	0.03105	0.0012178	0.0026947	0.00067036	0.035671	0.0017066	4.2779e-05	0.0051252	0.0051252	0.0015983	0.014514	0.87932	0.0054423	0.00049414	0.00087943	0.0014868	0.0037544	0.00077172	7.0478e-05	9.0487e-05	0.0085488	7.9914e-05	0.010624	0.0064097	0.003205	0.0052418	0.00024227	2.7825e-05	0.00633	0.013387	
0.0063842	0.03107	0.0012146	0.0026929	0.00066836	0.035697	0.0017047	4.1901e-05	0.005123	0.005123	0.0015935	0.014521	0.87998	0.0054403	0.00049085	0.00087488	0.0014861	0.0037486	0.00076816	7.0155e-05	8.969e-05	0.0086141	8.0102e-05	0.010626	0.0064113	0.0032018	0.0052455	0.00024159	2.7348e-05	0.006334	0.013389	
0.0063854	0.03109	0.0012114	0.0026911	0.00066636	0.035723	0.0017029	4.1154e-05	0.0051209	0.0051209	0.0015888	0.014528	0.88065	0.0054384	0.00048763	0.00087038	0.0014855	0.003743	0.00076465	6.9835e-05	8.8919e-05	0.0086806	8.0354e-05	0.010628	0.0064131	0.0031986	0.0052494	0.00024087	2.6875e-05	0.0063382	0.013392	
0.0063866	0.031109	0.0012082	0.0026893	0.00066436	0.03575	0.001701	4.0325e-05	0.0051187	0.0051187	0.001584	0.014535	0.88132	0.0054364	0.00048436	0.00086585	0.0014849	0.0037375	0.00076111	6.9495e-05	8.8174e-05	0.0087465	8.0565e-05	0.01063	0.0064148	0.0031953	0.0052534	0.00024011	2.6386e-05	0.0063423	0.013395	
0.0063879	0.031129	0.001205	0.0026876	0.00066237	0.035776	0.0016991	3.9621e-05	0.0051166	0.0051166	0.0015792	0.014543	0.882	0.0054345	0.00048116	0.00086137	0.0014845	0.0037322	0.00075762	6.9159e-05	8.7452e-05	0.0088135	8.084e-05	0.010632	0.0064166	0.0031921	0.0052575	0.00023941	2.5899e-05	0.0063465	0.013398	
0.0063891	0.031149	0.0012018	0.0026858	0.00066037	0.035802	0.0016972	3.9139e-05	0.0051145	0.0051145	0.0015745	0.01455	0.88267	0.0054325	0.00047792	0.00085685	0.001484	0.0037267	0.00075409	6.8803e-05	8.6714e-05	0.00888	8.1276e-05	0.010634	0.0064184	0.0031889	0.0052616	0.00023868	2.5398e-05	0.0063507	0.013401	
0.0063903	0.031168	0.0011985	0.002684	0.00065836	0.035828	0.0016953	3.8595e-05	0.0051123	0.0051123	0.0015697	0.014557	0.88334	0.0054305	0.00047464	0.00085229	0.0014834	0.0037212	0.00075054	6.843e-05	8.596e-05	0.008946	8.1674e-05	0.010636	0.00642	0.0031856	0.0052656	0.00023791	2.4881e-05	0.0063548	0.013404	
0.0063915	0.031188	0.0011953	0.0026822	0.00065637	0.035855	0.0016935	3.8155e-05	0.0051102	0.0051102	0.0015649	0.014564	0.88403	0.0054285	0.00047142	0.0008478	0.001483	0.0037158	0.00074703	6.8059e-05	8.523e-05	0.0090132	8.2143e-05	0.010638	0.0064219	0.0031824	0.0052698	0.0002372	2.4367e-05	0.0063591	0.013406	
0.0063928	0.031208	0.0011921	0.0026804	0.00065436	0.035881	0.0016916	3.7646e-05	0.005108	0.005108	0.0015601	0.014572	0.88471	0.0054266	0.00046816	0.00084326	0.0014825	0.0037103	0.00074349	6.7669e-05	8.4483e-05	0.0090798	8.2567e-05	0.01064	0.0064236	0.0031791	0.0052739	0.00023646	2.3838e-05	0.0063633	0.013409	
0.006394	0.031228	0.0011889	0.0026786	0.00065236	0.035908	0.0016897	3.5528e-05	0.0051059	0.0051059	0.0015553	0.014579	0.88539	0.0054246	0.00046497	0.00083878	0.0014821	0.003705	0.00074	6.7283e-05	8.3763e-05	0.0091476	8.3081e-05	0.010642	0.0064255	0.0031759	0.0052781	0.00023578	2.3313e-05	0.0063677	0.013412	
0.0063953	0.031248	0.0011856	0.0026768	0.00065036	0.035934	0.0016878	3.3246e-05	0.0051037	0.0051037	0.0015506	0.014586	0.88608	0.0054227	0.00046175	0.00083427	0.0014816	0.0036996	0.00073648	6.6878e-05	8.3028e-05	0.009215	8.3549e-05	0.010644	0.0064273	0.0031726	0.0052823	0.00023507	2.2772e-05	0.006372	0.013415	
0.0063965	0.031268	0.0011824	0.002675	0.00064835	0.035961	0.0016859	3.1233e-05	0.0051016	0.0051016	0.0015458	0.014594	0.88678	0.0054207	0.00045848	0.00082972	0.0014811	0.0036941	0.00073293	6.6475e-05	8.2278e-05	0.0092818	8.4092e-05	0.010646	0.0064292	0.0031694	0.0052864	0.00023433	2.2217e-05	0.0063762	0.013418	
0.0063977	0.031287	0.0011791	0.0026732	0.00064632	0.035987	0.001684	2.9064e-05	0.0050995	0.0050995	0.0015409	0.014601	0.88747	0.0054188	0.00045517	0.00082512	0.0014805	0.0036885	0.00072934	6.6053e-05	8.1511e-05	0.0093481	8.4588e-05	0.010648	0.0064311	0.0031661	0.0052904	0.00023354	2.1645e-05	0.0063802	0.013421	
0.0063989	0.031307	0.0011759	0.0026714	0.00064428	0.036014	0.0016821	2.6752e-05	0.0050973	0.0050973	0.0015361	0.014608	0.88816	0.0054168	0.00045182	0.00082048	0.0014799	0.0036828	0.00072572	6.5613e-05	8.0728e-05	0.0094139	8.5044e-05	0.01065	0.0064329	0.0031628	0.0052943	0.00023271	2.1058e-05	0.0063842	0.013424	
0.0064001	0.031327	0.0011726	0.0026695	0.00064226	0.03604	0.0016802	2.4707e-05	0.0050952	0.0050952	0.0015313	0.014616	0.88886	0.0054148	0.00044853	0.00081591	0.0014792	0.003677	0.00072214	6.5175e-05	7.9929e-05	0.0094808	8.5574e-05	0.010652	0.0064348	0.0031596	0.0052982	0.00023185	2.0474e-05	0.0063884	0.013427	
0.0064013	0.031346	0.0011693	0.0026677	0.00064023	0.036067	0.0016783	2.2507e-05	0.005093	0.005093	0.0015265	0.014623	0.88956	0.0054129	0.0004452	0.00081129	0.0014785	0.0036712	0.00071854	6.4718e-05	7.9113e-05	0.0095472	8.6058e-05	0.010654	0.0064366	0.0031563	0.005302	0.00023093	1.9874e-05	0.0063924	0.01343	
0.0064025	0.031366	0.001166	0.0026659	0.00063818	0.036093	0.0016763	2.2403e-05	0.0050908	0.0050908	0.0015216	0.01463	0.89026	0.0054109	0.00044182	0.00080662	0.0014779	0.0036655	0.00071489	6.4242e-05	7.8278e-05	0.009613	8.6491e-05	0.010656	0.0064384	0.003153	0.0053056	0.00022998	2.0602e-05	0.0063963	0.013432	
0.0064036	0.031385	0.0011627	0.002664	0.00063613	0.03612	0.0016744	2.2252e-05	0.0050887	0.0050887	0.0015168	0.014638	0.89096	0.0054089	0.0004384	0.00080191	0.0014772	0.0036597	0.00071121	6.3746e-05	7.7424e-05	0.0096782	8.6879e-05	0.010658	0.0064401	0.0031497	0.0053092	0.00022898	2.1314e-05	0.0064001	0.013435	
0.0064048	0.031404	0.0011594	0.0026622	0.00063406	0.036146	0.0016724	2.2058e-05	0.0050865	0.0050865	0.0015119	0.014645	0.89165	0.0054068	0.00043494	0.00079716	0.0014765	0.0036539	0.00070749	6.3232e-05	7.6556e-05	0.009743	8.7228e-05	0.01066	0.0064418	0.0031464	0.0053127	0.00022794	2.201e-05	0.0064037	0.013438	
0.0064059	0.031424	0.0011561	0.0026603	0.00063199	0.036173	0.0016704	2.1821e-05	0.0050843	0.0050843	0.001507	0.014652	0.89235	0.0054048	0.00043144	0.00079237	0.0014757	0.003648	0.00070374	6.27e-05	7.5671e-05	0.0098072	8.7541e-05	0.010662	0.0064433	0.0031431	0.0053162	0.00022686	2.269e-05	0.0064073	0.013441	
0.006407	0.031443	0.0011527	0.0026584	0.0006299	0.036199	0.0016684	2.1539e-05	0.005082	0.005082	0.0015021	0.01466	0.89305	0.0054027	0.0004279	0.00078754	0.0014749	0.0036419	0.00069996	6.215e-05	7.4819e-05	0.009871	8.7816e-05	0.010664	0.0064449	0.0031397	0.0053198	0.00022574	2.3355e-05	0.0064107	0.013444	
0.0064081	0.031462	0.0011494	0.0026566	0.00062783	0.036226	0.0016665	2.1334e-05	0.0050798	0.0050798	0.0014972	0.014667	0.89375	0.0054007	0.00042444	0.00078278	0.0014742	0.0036361	0.00069624	6.1604e-05	7.3995e-05	0.0099361	8.8168e-05	0.010666	0.0064465	0.0031364	0.0053237	0.00022471	2.4026e-05	0.0064144	0.013447	
0.0064092	0.031482	0.001146	0.0026547	0.00062575	0.036252	0.0016645	2.1085e-05	0.0050776	0.0050776	0.0014923	0.014674	0.89445	0.0053986	0.00042093	0.00077797	0.0014734	0.0036301	0.00069248	6.104e-05	7.3156e-05	0.010001	8.8481e-05	0.010667	0.0064481	0.0031331	0.0053274	0.00022363	2.468e-05	0.0064179	0.013449	
