Trichechus_manatus	Procavia_capensis	Orycteropus_afer	Mammuthus_primigenius	Loxodonta_africana	Heterohyrax_brucei	Elephas_maximus	Elephantulus_edwardii	Echinops_telfairi	Dugong_dugon	Chrysochloris_asiatica	
0.0003457	0.0013565	6.7811e-08	0.00043957	0.0098394	8.8373e-05	0.0014352	2.4222e-07	5.6581e-05	0.00082031	4.8621e-07	
0.00034514	0.0013522	5.9324e-08	0.00044167	0.0098387	8.5952e-05	0.0014337	1.5525e-07	5.1394e-05	0.00081094	4.844e-07	
0.00034465	0.0013478	5.2321e-08	0.00044377	0.009838	8.3513e-05	0.0014322	9.081e-08	4.8374e-05	0.00080182	4.3992e-07	
0.00034412	0.0013434	4.3373e-08	0.00044586	0.0098372	8.1054e-05	0.0014306	8.7825e-08	4.1778e-05	0.00079258	3.893e-07	
0.00034365	0.0013389	3.5598e-08	0.00044796	0.0098366	7.8576e-05	0.0014291	5.7549e-08	3.7135e-05	0.00078356	2.2992e-07	
0.00034314	0.0013344	2.594e-08	0.00045004	0.0098358	7.608e-05	0.0014275	2.0379e-08	2.8394e-05	0.00077442	2.0611e-07	
0.00034259	0.0013298	3.0466e-08	0.00045212	0.0098351	7.3565e-05	0.001426	1.6655e-08	1.5993e-05	0.00076516	1.7826e-07	
0.00034199	0.0013248	3.3348e-08	0.00045418	0.0098343	7.3592e-05	0.0014244	2.6877e-08	1.7988e-05	0.00075576	1.4272e-07	
0.00034147	0.0013198	3.2089e-08	0.00045625	0.0098336	7.3609e-05	0.0014228	6.201e-08	1.3997e-05	0.00074663	1.3456e-07	
0.0003409	0.0013148	4.8248e-08	0.0004583	0.0098328	7.3633e-05	0.0014213	8.8612e-08	2.2495e-05	0.00073736	1.2198e-07	
0.00034023	0.0013098	6.2027e-08	0.00046035	0.0098321	7.3646e-05	0.0014197	1.1105e-07	2.8279e-05	0.00073871	1.0644e-07	
0.00033964	0.0013049	7.8299e-08	0.00046239	0.0098313	7.3666e-05	0.0014181	1.4195e-07	3.5609e-05	0.00074018	5.13e-08	
0.00033899	0.0012999	9.1875e-08	0.00046443	0.0098306	7.3674e-05	0.0014166	1.6557e-07	3.87e-05	0.00074157	4.3591e-08	
0.00033842	0.0012949	9.4295e-08	0.00046647	0.0098299	7.369e-05	0.001415	1.689e-07	4.8573e-05	0.00074307	4.0962e-08	
0.00033781	0.00129	1.421e-07	0.0004685	0.0098291	7.3695e-05	0.0014134	1.6713e-07	5.4702e-05	0.0007445	3.6492e-08	
0.00033727	0.0012851	1.9911e-07	0.00047053	0.0098284	7.3706e-05	0.0014119	1.7104e-07	6.3205e-05	0.00074605	3.2922e-08	
0.00033344	0.0012802	2.7191e-07	0.00047255	0.0098277	7.3723e-05	0.0014103	1.4513e-07	7.5004e-05	0.00074823	3.0246e-08	
0.00032975	0.0012755	3.5746e-07	0.00047457	0.009827	7.3746e-05	0.0014088	1.2626e-07	9.0029e-05	0.00075052	2.8054e-08	
0.0003262	0.0012708	4.6021e-07	0.00047658	0.0098263	7.3775e-05	0.0014072	1.1373e-07	0.00010985	0.00075293	2.6424e-08	
0.00032258	0.0012661	5.5339e-07	0.00047858	0.0098256	7.3792e-05	0.0014057	9.6001e-08	0.0001246	0.00075527	2.3141e-08	
0.0003191	0.0012614	6.6541e-07	0.00048058	0.0098249	7.3815e-05	0.0014041	8.3796e-08	0.00014478	0.00075772	2.0365e-08	
0.00031575	0.0012568	8.0008e-07	0.00048258	0.0098243	7.3845e-05	0.0014026	7.5946e-08	0.0001718	0.0007603	1.7983e-08	
0.00031232	0.0012522	9.211e-07	0.00048458	0.0098236	7.3865e-05	0.0014011	6.3366e-08	0.00019049	0.0007628	2.7226e-08	
0.0003088	0.0012476	1.1101e-06	0.00048656	0.0098229	7.3891e-05	0.0013995	5.8316e-08	0.00018197	0.00076521	4.162e-08	
0.00030521	0.001243	1.2803e-06	0.00048853	0.0098222	7.3906e-05	0.0013979	4.8906e-08	0.0002086	0.00076754	4.9666e-08	
0.00030175	0.0012384	1.4851e-06	0.00049051	0.0098215	7.3928e-05	0.0013964	4.2463e-08	0.00024436	0.00077	5.9388e-08	
0.00029821	0.0012338	1.6697e-06	0.00049247	0.0098208	7.3939e-05	0.0013948	6.2738e-08	0.00027226	0.00077237	6.6728e-08	
0.00029479	0.0012293	1.888e-06	0.00049444	0.0098202	7.3955e-05	0.0013933	8.8893e-08	0.00030904	0.00077485	7.5613e-08	
0.0002913	0.0012247	2.085e-06	0.00049639	0.0098195	7.396e-05	0.0013917	1.0882e-07	0.00033757	0.00077726	8.2066e-08	
0.00028795	0.00122	2.2622e-06	0.00049833	0.0098187	7.3955e-05	0.0013901	1.2301e-07	0.00035838	0.00077981	8.6153e-08	
0.00028454	0.0012154	2.4182e-06	0.00050027	0.009818	7.3955e-05	0.0013885	1.3138e-07	0.00036902	0.00078229	1.3119e-07	
0.00028126	0.0012107	2.6095e-06	0.00050219	0.0098172	7.3943e-05	0.0013869	1.4554e-07	0.00038836	0.00078489	1.8576e-07	
0.00027791	0.001206	2.7835e-06	0.0005041	0.0098164	7.3922e-05	0.0013853	1.545e-07	0.00040087	0.00078742	2.3431e-07	
0.00027467	0.0012014	2.8229e-06	0.00050601	0.0098156	7.3905e-05	0.0013837	1.6952e-07	0.00036724	0.00079007	2.9469e-07	
0.00027138	0.0011966	2.8548e-06	0.00050792	0.0098149	7.3879e-05	0.0013821	1.791e-07	0.00032541	0.00079264	3.4846e-07	
0.00026801	0.0011919	2.8795e-06	0.00050981	0.009814	7.3842e-05	0.0013804	1.8341e-07	0.00035527	0.00079514	3.9457e-07	
0.00026457	0.0011872	2.9179e-06	0.00051171	0.0098133	7.3812e-05	0.0013788	1.9482e-07	0.0003657	0.00079757	4.2113e-07	
0.00026124	0.0011825	2.969e-06	0.0005136	0.0098125	7.3787e-05	0.0013772	2.1241e-07	0.00038323	0.00080009	4.5382e-07	
0.00025785	0.0011779	3.0124e-06	0.00051549	0.0098118	7.3751e-05	0.0013756	2.2435e-07	0.00039443	0.00080256	4.8198e-07	
0.00025457	0.0011732	3.0688e-06	0.00051738	0.0098111	7.3721e-05	0.001374	2.4286e-07	0.00035462	0.00080512	5.1731e-07	
0.00025123	0.0011686	3.1202e-06	0.00051925	0.0098104	7.3681e-05	0.0013724	2.555e-07	0.00039261	0.00080763	5.4672e-07	
0.00024783	0.0011638	3.165e-06	0.00052112	0.0098096	7.3632e-05	0.0013708	2.6302e-07	0.00042387	0.00081007	5.7213e-07	
0.00024439	0.0011591	3.2037e-06	0.00052298	0.0098088	7.3574e-05	0.0013692	4.094e-07	0.00044902	0.00081247	5.9388e-07	
0.00024104	0.0011544	3.2538e-06	0.00052484	0.0098081	7.352e-05	0.0013676	4.3669e-07	0.00048246	0.00081495	6.211e-07	
0.00023777	0.0011497	3.3138e-06	0.0005267	0.0098074	7.3468e-05	0.001366	4.7156e-07	0.00052309	0.00081751	6.5296e-07	
0.00023458	0.0011451	3.3847e-06	0.00052856	0.0098067	7.3419e-05	0.0013644	5.157e-07	0.00057236	0.00082015	6.9014e-07	
0.00023136	0.0011404	3.451e-06	0.00053041	0.009806	7.3362e-05	0.0013628	5.5463e-07	0.0006164	0.00082276	7.2439e-07	
0.00022821	0.0011358	3.5282e-06	0.00053226	0.0098054	7.3307e-05	0.0013612	6.0319e-07	0.00066924	0.00082543	7.6396e-07	
0.00022503	0.0011311	3.6013e-06	0.0005341	0.0098047	7.3246e-05	0.0013596	6.469e-07	0.00071724	0.00082808	8.0088e-07	
0.00022192	0.0011265	3.6845e-06	0.00053594	0.009804	7.3186e-05	0.0013581	6.9991e-07	0.0007736	0.00083079	8.4274e-07	
0.00021878	0.0011219	3.7632e-06	0.00053778	0.0098034	7.3119e-05	0.0013565	7.4747e-07	0.00082459	0.00083347	8.8167e-07	
0.00021562	0.0011172	3.8379e-06	0.0005396	0.0098027	7.3045e-05	0.0013549	7.9013e-07	0.0008707	0.00083612	9.1794e-07	
0.00021252	0.0011126	3.9242e-06	0.00054143	0.0098021	7.2973e-05	0.0013533	8.4383e-07	0.00092668	0.00083884	9.5998e-07	
0.0002094	0.0011079	4.0058e-06	0.00054324	0.0098014	7.2894e-05	0.0013518	8.9187e-07	0.00097712	0.00084153	9.9902e-07	
0.00020635	0.0011033	4.0997e-06	0.00054506	0.0098008	7.2817e-05	0.0013502	9.5221e-07	0.0010384	0.00084429	1.0443e-06	
0.00020336	0.0010987	4.2072e-06	0.00054688	0.0098002	7.2742e-05	0.0013487	1.027e-06	0.0011121	0.00084712	1.0964e-06	
0.00020043	0.0010941	4.3284e-06	0.00054869	0.0097996	7.2668e-05	0.0013471	1.1171e-06	0.0011986	0.00085003	1.1555e-06	
0.00019748	0.0010895	4.4431e-06	0.0005505	0.0097991	7.2587e-05	0.0013456	1.1988e-06	0.0012775	0.0008529	1.2106e-06	
0.00019459	0.001085	4.5755e-06	0.0005523	0.0097985	7.2508e-05	0.001344	1.3017e-06	0.0013738	0.00085585	1.2748e-06	
0.00019167	0.0010804	4.6986e-06	0.0005541	0.0097979	7.2421e-05	0.0013425	1.3922e-06	0.0014593	0.00085875	1.3335e-06	
0.00018869	0.0010759	4.8109e-06	0.00055589	0.0097974	7.2339e-05	0.0013409	1.4687e-06	0.0015325	0.00086159	1.3858e-06	
0.00018582	0.0010619	5.0094e-06	0.00055768	0.0097968	7.2685e-05	0.0013394	1.4907e-06	0.0015613	0.00086455	1.4067e-06	
0.00018289	0.0010478	5.1908e-06	0.00055946	0.0097962	7.3022e-05	0.0013379	1.5004e-06	0.0016184	0.00086743	1.4439e-06	
0.0001799	0.0010336	5.3569e-06	0.00056123	0.0097956	7.3349e-05	0.0013363	1.4992e-06	0.0016635	0.00087025	1.4768e-06	
0.00017701	0.0010196	5.5513e-06	0.000563	0.0097951	7.368e-05	0.0013348	1.5144e-06	0.0017264	0.00087318	1.5191e-06	
0.00017406	0.0010054	5.7301e-06	0.00056476	0.0097945	7.4002e-05	0.0013332	1.5186e-06	0.0017773	0.00087603	1.5552e-06	
0.00017105	0.00099124	5.8948e-06	0.00056651	0.0097939	7.4314e-05	0.0013316	1.5119e-06	0.0018168	0.00087882	1.5854e-06	
0.00016814	0.00097717	6.0894e-06	0.00056826	0.0097934	7.4631e-05	0.0013301	1.523e-06	0.0018755	0.00088172	1.6255e-06	
0.00016518	0.00096303	6.269e-06	0.00057	0.0097928	7.4938e-05	0.0013285	1.5233e-06	0.0019224	0.00088455	1.6596e-06	
0.0001623	0.00094902	6.4776e-06	0.00057175	0.0097922	7.525e-05	0.001327	1.5397e-06	0.0018568	0.00088749	1.704e-06	
0.00015937	0.00093492	6.6701e-06	0.00057348	0.0097916	7.5552e-05	0.0013254	1.5451e-06	0.0017775	0.00089036	1.7421e-06	
0.00015636	0.00092096	6.679e-06	0.00057522	0.0097911	7.5861e-05	0.0013239	1.5697e-06	0.0017209	0.00089312	1.7916e-06	
0.00015344	0.00090714	6.5238e-06	0.00057696	0.0097906	7.6175e-05	0.0013224	1.6147e-06	0.0016862	0.000896	1.764e-06	
0.00015062	0.00089343	6.3922e-06	0.00057869	0.0097902	7.6494e-05	0.0013209	1.6799e-06	0.0016662	0.00089898	1.7449e-06	
0.00014774	0.00087965	6.2481e-06	0.00058042	0.0097897	7.6803e-05	0.0013194	1.7321e-06	0.0016361	0.0009019	1.7201e-06	
0.0001448	0.0008658	6.0907e-06	0.00058214	0.0097892	7.7102e-05	0.0013178	1.7724e-06	0.0015956	0.00090474	1.6896e-06	
0.00014196	0.00085206	5.9567e-06	0.00058386	0.0097888	7.7406e-05	0.0013163	1.8322e-06	0.0015696	0.0009077	1.6675e-06	
0.00013906	0.00083825	5.8112e-06	0.00058557	0.0097883	7.7701e-05	0.0013148	1.8804e-06	0.0015343	0.00091059	1.6401e-06	
0.00013611	0.00082437	5.6372e-06	0.00058727	0.0097878	7.7985e-05	0.0013133	2.0557e-06	0.0015489	0.0009134	1.6481e-06	
0.00013311	0.00081042	5.4489e-06	0.00058896	0.0097873	7.826e-05	0.0013117	2.2095e-06	0.0015547	0.00091616	1.6513e-06	
0.0001302	0.00079659	4.7266e-06	0.00059066	0.0097868	7.8541e-05	0.0013102	2.4155e-06	0.0014437	0.00091903	1.6638e-06	
0.00012739	0.0007829	4.1096e-06	0.00059235	0.0097863	7.8827e-05	0.0013087	2.4499e-06	0.0013694	0.00092202	1.5983e-06	
0.00012464	0.0007693	3.5611e-06	0.00059405	0.0097859	7.9117e-05	0.0013072	2.5042e-06	0.0013097	0.00092511	1.5424e-06	
0.00012186	0.00075566	2.9866e-06	0.00059573	0.0097855	7.9399e-05	0.0013057	2.5479e-06	0.0012421	0.00092814	1.4817e-06	
0.00011914	0.0007421	2.4707e-06	0.00059742	0.0097851	7.9684e-05	0.0013042	2.6105e-06	0.0011867	0.00093126	1.4291e-06	
0.00011639	0.00072849	1.9327e-06	0.0005991	0.0097847	7.996e-05	0.0013027	3.391e-06	0.0011243	0.00093433	1.3722e-06	
0.00011369	0.00071497	1.4527e-06	0.00060077	0.0097843	8.024e-05	0.0013012	4.3415e-06	0.001074	0.00093749	1.3236e-06	
0.00011098	0.00070142	1.4123e-06	0.00060244	0.0097839	8.0513e-05	0.0012997	5.2366e-06	0.001018	0.00094062	1.2716e-06	
0.00010824	0.00068783	1.3691e-06	0.0006041	0.0097835	8.0779e-05	0.0012983	6.0843e-06	0.00095648	0.00094371	1.2162e-06	
0.00010548	0.00067421	1.3232e-06	0.00060576	0.0097831	8.1038e-05	0.0012967	6.8892e-06	0.00088938	0.00094677	1.1575e-06	
0.00010277	0.00066066	1.2826e-06	0.00060741	0.0097827	8.1299e-05	0.0012953	7.8373e-06	0.00083218	0.0009499	1.1056e-06	
0.00010011	0.00064718	1.2472e-06	0.00060906	0.0097824	8.1562e-05	0.0012938	8.9533e-06	0.00078373	0.00095311	1.0598e-06	
9.7426e-05	0.00063367	1.209e-06	0.00061071	0.009782	8.1817e-05	0.0012923	1.0009e-05	0.00073003	0.00095628	1.0108e-06	
9.4722e-05	0.00062013	1.1682e-06	0.00061234	0.0097816	8.2066e-05	0.0012908	1.1015e-05	0.00067137	0.00095942	9.5881e-07	
9.1997e-05	0.00060655	1.1249e-06	0.00061397	0.0097812	8.2309e-05	0.0012893	1.1972e-05	0.00060766	0.00096253	9.0382e-07	
8.932e-05	0.00059305	1.0865e-06	0.0006156	0.0097809	8.2553e-05	0.0012878	1.3098e-05	0.00055258	0.00096571	8.549e-07	
8.6623e-05	0.00057951	1.0457e-06	0.00061722	0.0097805	8.279e-05	0.0012863	1.417e-05	0.00049267	0.00096885	8.0306e-07	
8.3978e-05	0.00056605	1.0101e-06	0.00061884	0.0097801	8.303e-05	0.0012848	1.5456e-05	0.00044163	0.00097208	7.5757e-07	
8.1385e-05	0.00055267	9.7947e-07	0.00062046	0.0097798	8.3272e-05	0.0012833	1.6995e-05	0.00039827	0.00097539	7.178e-07	
7.8843e-05	0.00053937	9.5341e-07	0.00062208	0.0097795	8.3517e-05	0.0012819	1.884e-05	0.00036159	0.00097879	6.8324e-07	
7.6281e-05	0.00052604	9.2505e-07	0.00062369	0.0097792	8.3754e-05	0.0012804	2.0596e-05	0.00032082	0.00098215	6.4613e-07	
7.377e-05	0.00051279	9.0115e-07	0.0006253	0.0097789	8.3995e-05	0.0012789	2.2704e-05	0.00028624	0.0009856	6.1398e-07	
7.1362e-05	0.00049962	8.8152e-07	0.00062691	0.0097787	8.4239e-05	0.0012775	2.5242e-05	0.00025715	0.00098011	5.8648e-07	
6.9004e-05	0.00048653	8.6599e-07	0.00062852	0.0097784	8.4485e-05	0.0012761	2.5758e-05	0.00023288	0.00097474	5.6326e-07	
6.669e-05	0.00047353	8.5397e-07	0.00063013	0.0097782	8.4735e-05	0.0012747	2.6402e-05	0.00021223	0.00096947	5.4353e-07	
6.4353e-05	0.00046048	8.396e-07	0.00063173	0.009778	8.4977e-05	0.0012732	2.7002e-05	0.00018788	0.00096415	5.2135e-07	
6.2058e-05	0.00044751	8.2845e-07	0.00063333	0.0097779	8.5221e-05	0.0012718	2.7722e-05	0.00016668	0.00095893	5.0234e-07	
5.9803e-05	0.00043461	8.2038e-07	0.00063493	0.0097777	8.5468e-05	0.0012704	2.8583e-05	0.00014816	0.0009538	4.8625e-07	
