Urocitellus_parryii	Sciurus_vulgaris	Rattus_rattus	Rattus_norvegicus	Psammomys_obesus	Peromyscus_maniculatus	Peromyscus_leucopus	Onychomys_torridus	Nannospalax_galili	Mus_spretus	Mus_spicilegus	Mus_pahari	Mus_musculus	Mus_caroli	Microtus_ochrogaster	Meriones_unguiculatus	Marmota_marmota	Marmota_flaviventris	Jaculus_jaculus	Ictidomys_tridecemlineatus	Heterocephalus_glaber	Fukomys_damarensis	Cricetulus_griseus	Cavia_porcellus	Castor_canadensis	Arvicola_amphibius	
0.0043862	0.064743	0.0016634	0.0024802	0.071754	0.095019	0.0046387	0.00010466	2.3904e-05	0.17368	0.0059482	6.6677e-05	0.00037592	0.00080684	0.0063035	0.0022079	0.0014526	0.0017868	0.029996	0.00082705	0.00012198	5.4663e-05	4.0935e-05	3.0384e-05	3.7955e-05	0.00019083	
0.0043808	0.064296	0.0016526	0.002477	0.071815	0.09444	0.0046357	0.00010357	2.3323e-05	0.17371	0.0059422	6.5978e-05	0.00037339	0.00080098	0.006305	0.0021999	0.0014485	0.0017851	0.029314	0.00082516	0.00011945	5.3276e-05	4.0208e-05	2.962e-05	3.7223e-05	0.00018868	
0.0043754	0.063848	0.0016417	0.0024736	0.071875	0.093854	0.0046327	0.00010244	2.2742e-05	0.17374	0.0059362	6.5232e-05	0.00037084	0.00079498	0.006306	0.0021918	0.0014444	0.0017834	0.02863	0.00082326	0.00011692	5.1886e-05	3.9432e-05	2.8856e-05	3.6491e-05	0.00018645	
0.0043701	0.063399	0.001631	0.0024704	0.071936	0.09326	0.0046295	0.00010237	2.216e-05	0.17377	0.0059303	6.4588e-05	0.00036833	0.00077593	0.0063065	0.0021837	0.0014403	0.0017817	0.027946	0.00082137	0.00011439	5.0496e-05	3.8537e-05	2.8091e-05	3.5758e-05	0.00018413	
0.0043647	0.06295	0.0016202	0.0024671	0.071996	0.092658	0.0046263	0.00010231	2.1578e-05	0.1738	0.0059243	6.3899e-05	0.0003658	0.00075648	0.0063065	0.0021756	0.0014362	0.0017799	0.02726	0.00081947	0.00011185	4.9104e-05	3.7584e-05	2.7326e-05	3.5025e-05	0.00018173	
0.0043593	0.0625	0.0016093	0.0024638	0.072057	0.092048	0.0046229	0.00010224	2.0995e-05	0.17383	0.0059183	6.3163e-05	0.00036324	0.00073663	0.0063061	0.0021675	0.0014321	0.0017782	0.026573	0.00081757	0.00010932	4.771e-05	3.657e-05	2.6559e-05	3.429e-05	0.00017925	
0.004354	0.062049	0.0015986	0.0024606	0.072117	0.091452	0.0046198	0.00010217	2.0411e-05	0.17386	0.0059124	6.2521e-05	0.00036072	0.00071781	0.0063066	0.0021594	0.001428	0.0017765	0.025885	0.00081567	0.00010678	4.6315e-05	3.5682e-05	2.5792e-05	3.3555e-05	0.00017694	
0.0043486	0.061598	0.0015879	0.0024573	0.072178	0.090847	0.0046165	0.00010209	1.9827e-05	0.1739	0.0059064	6.1829e-05	0.00035818	0.00069855	0.0063066	0.0021512	0.0014239	0.0017748	0.025195	0.00081377	0.00010423	4.4919e-05	3.4731e-05	2.5024e-05	3.2819e-05	0.00017453	
0.0043432	0.061146	0.001577	0.0024539	0.072239	0.090233	0.0046132	0.00010202	1.9242e-05	0.17393	0.0059003	6.1085e-05	0.00035562	0.00069594	0.0063079	0.0021431	0.0014198	0.001773	0.024505	0.00081187	0.00010169	4.3522e-05	3.3692e-05	2.4256e-05	3.2082e-05	0.00017231	
0.0043378	0.060693	0.0015659	0.0024506	0.0723	0.089611	0.0046097	0.00010194	1.8657e-05	0.17396	0.0058941	6.0287e-05	0.00035303	0.00069329	0.0063085	0.002135	0.0014157	0.0017713	0.023813	0.00080996	9.9138e-05	4.2123e-05	3.2581e-05	2.3486e-05	3.1345e-05	0.00017	
0.0043324	0.060239	0.0015547	0.0024471	0.072361	0.088982	0.0046062	0.00010186	1.8071e-05	0.17398	0.0058879	5.9439e-05	0.00035042	0.00069055	0.0063087	0.0021268	0.0014115	0.0017696	0.02312	0.00080805	9.6587e-05	4.0722e-05	3.1401e-05	2.2716e-05	3.0607e-05	0.00016761	
0.004327	0.059785	0.0015438	0.0024438	0.072422	0.088364	0.0046028	0.00010178	1.7485e-05	0.17401	0.0058818	5.8684e-05	0.00034784	0.00068797	0.0063098	0.0021187	0.0014074	0.0017678	0.022426	0.00080614	9.4034e-05	3.932e-05	3.0353e-05	2.1945e-05	2.9868e-05	0.00016537	
0.0043216	0.05933	0.0015327	0.0024404	0.072483	0.087738	0.0045993	0.0001017	1.6897e-05	0.17404	0.0058756	5.7879e-05	0.00034524	0.00068531	0.0063104	0.0021105	0.0014033	0.0017661	0.02173	0.00080423	9.1478e-05	3.7917e-05	2.9233e-05	2.1173e-05	2.9128e-05	0.00016304	
0.0043162	0.058874	0.0015215	0.002437	0.072544	0.087104	0.0045957	0.00010159	1.631e-05	0.17407	0.0058693	5.7024e-05	0.00034263	0.00068258	0.0063105	0.0021023	0.0013992	0.0017644	0.021034	0.00080232	8.8919e-05	3.6512e-05	2.8044e-05	2.04e-05	2.8388e-05	0.00016063	
0.0043107	0.058418	0.0015102	0.0024335	0.072605	0.086462	0.0045921	0.00010147	1.5722e-05	0.1741	0.0058629	5.6116e-05	0.00033999	0.00067978	0.0063101	0.0020941	0.001395	0.0017626	0.020336	0.0008004	8.6358e-05	3.5106e-05	2.6784e-05	1.9627e-05	2.7647e-05	0.00015814	
0.0042726	0.055204	0.0014329	0.0024096	0.073035	0.08203	0.0045676	0.00010079	1.1587e-05	0.1743	0.0058178	4.9054e-05	0.00032129	0.00065961	0.006314	0.0020366	0.0013659	0.0017504	0.015418	0.00078694	6.8359e-05	2.5224e-05	1.8917e-05	1.4192e-05	2.2438e-05	0.00014167	
0.0042672	0.054742	0.0014222	0.0024063	0.073097	0.081406	0.0045642	0.00010073	1.0994e-05	0.17433	0.0058114	4.8148e-05	0.00031865	0.00065689	0.0063155	0.0020284	0.0013618	0.0017486	0.01471	0.00078501	6.5777e-05	2.3807e-05	1.792e-05	1.3412e-05	2.1691e-05	0.00013946	
0.0042617	0.054279	0.0014113	0.0024029	0.073159	0.080774	0.0045608	0.00010064	1.0401e-05	0.17436	0.005805	4.7187e-05	0.00031599	0.00065409	0.0063166	0.0020201	0.0013576	0.0017469	0.014001	0.00078308	6.3193e-05	2.2388e-05	1.686e-05	1.2632e-05	2.0944e-05	0.00013717	
0.0042562	0.053815	0.0014003	0.0023995	0.07322	0.081194	0.0045572	0.00010053	9.8065e-06	0.17439	0.0057985	4.6169e-05	0.0003133	0.0006512	0.0063171	0.0020119	0.0013534	0.0017451	0.013291	0.00078114	6.0606e-05	2.0968e-05	1.5734e-05	1.1851e-05	2.0195e-05	0.00013479	
0.0042507	0.053351	0.0013895	0.0023961	0.073282	0.081624	0.0045537	0.00010046	9.2118e-06	0.17442	0.0057922	4.5257e-05	0.00031065	0.00064848	0.0063187	0.0020036	0.0013492	0.0017434	0.01258	0.0007792	5.8017e-05	1.9547e-05	1.4734e-05	1.1069e-05	1.9446e-05	0.00013257	
0.0042452	0.052886	0.0013787	0.0023927	0.073344	0.082048	0.0045501	0.00010037	8.6164e-06	0.17445	0.0057858	4.4292e-05	0.00030798	0.00064568	0.0063197	0.0019953	0.001345	0.0017416	0.011868	0.00077726	5.5425e-05	1.8123e-05	1.3672e-05	1.0286e-05	1.8696e-05	0.00013026	
0.0042397	0.052421	0.0013677	0.0023893	0.073406	0.082464	0.0045464	0.00010025	8.0205e-06	0.17448	0.0057792	4.327e-05	0.00030528	0.00064279	0.0063202	0.001987	0.0013408	0.0017398	0.011154	0.00077532	5.283e-05	1.6699e-05	1.2546e-05	9.5026e-06	1.7945e-05	0.00012788	
0.0042342	0.051954	0.001357	0.0023859	0.073468	0.082891	0.0045429	0.00010017	7.4239e-06	0.17451	0.0057729	4.2354e-05	0.00030262	0.00064007	0.0063218	0.0019787	0.0013366	0.0017381	0.010439	0.00077338	5.0233e-05	1.5273e-05	1.1545e-05	8.7184e-06	1.7193e-05	0.00012564	
0.0042287	0.051487	0.0013461	0.0023825	0.07353	0.08331	0.0045393	0.00010007	6.8268e-06	0.17454	0.0057664	4.1384e-05	0.00029994	0.00063726	0.0063228	0.0019704	0.0013324	0.0017363	0.0097229	0.00077144	4.7633e-05	1.3846e-05	1.0482e-05	7.9333e-06	1.6441e-05	0.00012333	
0.0042232	0.051019	0.0013352	0.0023791	0.073592	0.083724	0.0045356	9.9949e-05	6.229e-06	0.17457	0.0057599	4.0361e-05	0.00029724	0.00063438	0.0063233	0.0019621	0.0013282	0.0017345	0.0090055	0.00076949	4.503e-05	1.2417e-05	1.0365e-05	7.1475e-06	1.5688e-05	0.00012094	
0.0042177	0.050551	0.0013241	0.0023756	0.073655	0.084148	0.0045321	9.9758e-05	5.6307e-06	0.17451	0.0057535	3.9102e-05	0.00029458	0.00063219	0.0063234	0.0019538	0.001324	0.0017328	0.0082868	0.00076754	4.2425e-05	1.0987e-05	1.0231e-05	6.3608e-06	1.4934e-05	0.00011845	
0.0042122	0.050082	0.0013128	0.0023721	0.073717	0.084566	0.0045285	9.9551e-05	5.0317e-06	0.17444	0.0057471	3.7769e-05	0.0002919	0.00062993	0.0063228	0.0019455	0.0013198	0.001731	0.0075669	0.00076559	3.9817e-05	9.5551e-06	1.0081e-05	5.5734e-06	1.418e-05	0.00011588	
0.0042067	0.049612	0.0013014	0.0023685	0.073779	0.084977	0.0045249	9.9324e-05	4.4322e-06	0.17438	0.0057406	3.637e-05	0.00028919	0.0006276	0.0063218	0.0019371	0.0013156	0.0017292	0.0068458	0.00076364	3.7207e-05	8.1221e-06	9.9148e-06	4.7852e-06	1.3424e-05	0.00011323	
0.0042013	0.049205	0.0012903	0.002365	0.073844	0.085398	0.0045214	9.9135e-05	3.9237e-06	0.17432	0.0057342	3.191e-05	0.00028653	0.00062541	0.0063219	0.001929	0.0013114	0.0017275	0.0063221	0.00076174	3.479e-05	6.8454e-06	9.7771e-06	4.1369e-06	1.2807e-05	0.00011074	
0.004196	0.048851	0.0012795	0.0023616	0.073911	0.085829	0.004518	9.8981e-05	3.4868e-06	0.17427	0.005728	2.7925e-05	0.00028389	0.00062335	0.0063228	0.0019212	0.0013073	0.0017257	0.005933	0.00075989	3.2539e-05	5.6971e-06	9.6634e-06	3.595e-06	1.2297e-05	0.0001084	
0.0041907	0.048468	0.0012685	0.0023582	0.073976	0.086252	0.0045146	9.8804e-05	3.0114e-06	0.17421	0.0057217	2.7355e-05	0.00028123	0.00062122	0.0063233	0.0019132	0.0013031	0.001724	0.0054757	0.00075802	3.0194e-05	4.478e-06	9.5341e-06	2.9967e-06	1.173e-05	0.00010597	
0.0041854	0.048135	0.0012574	0.0023547	0.074044	0.086685	0.0045114	9.8662e-05	2.6028e-06	0.17415	0.0057153	2.6747e-05	0.00027855	0.00061901	0.0063247	0.0019055	0.001299	0.0017222	0.0051368	0.00075619	2.8009e-05	3.3814e-06	9.4282e-06	2.4966e-06	1.1261e-05	0.00010369	
0.0041801	0.047777	0.0012462	0.0023511	0.074111	0.087111	0.004508	9.85e-05	2.1618e-06	0.17409	0.0057088	2.6102e-05	0.00027585	0.00061674	0.0063256	0.0018976	0.0012948	0.0017205	0.0047435	0.00075433	2.5742e-05	2.2239e-06	9.3083e-06	1.9495e-06	1.0745e-05	0.00010133	
0.0041748	0.047392	0.0012349	0.0023475	0.074177	0.087547	0.0045048	9.8374e-05	1.9938e-06	0.17402	0.0057022	2.5419e-05	0.00027313	0.0006144	0.0063275	0.0018896	0.0012906	0.0017187	0.0042635	0.00075245	2.3305e-05	2.0472e-06	9.2134e-06	1.3464e-06	1.0175e-05	9.9105e-05	
0.0041693	0.046977	0.0012238	0.002344	0.074241	0.087975	0.0045016	9.8224e-05	1.816e-06	0.17397	0.0056958	2.4806e-05	0.00027045	0.0006122	0.0063289	0.0018814	0.0012864	0.001717	0.0037053	0.00075053	2.0774e-05	1.8562e-06	9.1044e-06	6.8469e-07	9.5464e-06	9.6809e-05	
0.0041638	0.046532	0.0012126	0.0023405	0.074305	0.088397	0.0044982	9.8052e-05	1.622e-06	0.17391	0.0056893	2.4157e-05	0.00026774	0.00060992	0.0063298	0.0018732	0.0012822	0.0017152	0.0030566	0.00074859	1.8141e-05	1.6499e-06	8.9811e-06	5.7804e-07	9.5201e-06	9.4435e-05	
0.0041583	0.046054	0.0012017	0.002337	0.074371	0.08883	0.004495	9.7919e-05	1.4597e-06	0.17385	0.005683	2.3579e-05	0.00026507	0.0006078	0.0063318	0.0018651	0.0012779	0.0017134	0.0026064	0.00074662	1.773e-05	1.4071e-06	8.883e-06	4.56e-07	9.3303e-06	9.2215e-05	
0.0041529	0.045659	0.0011906	0.0023335	0.074437	0.089255	0.0044917	9.7763e-05	1.2808e-06	0.17379	0.0056765	2.2962e-05	0.00026237	0.00060559	0.0063332	0.001857	0.0012737	0.0017116	0.0020718	0.0007447	1.7221e-05	1.3968e-06	8.7696e-06	3.0913e-07	9.1001e-06	8.991e-05	
0.0041474	0.045232	0.0011794	0.0023299	0.0745	0.089673	0.0044883	9.7583e-05	1.2756e-06	0.17373	0.00567	2.2304e-05	0.00025965	0.00060331	0.0063341	0.0018486	0.0012694	0.0017098	0.0014395	0.00074275	1.668e-05	1.3783e-06	8.6404e-06	1.4471e-07	8.8383e-06	8.7518e-05	
0.0041418	0.044774	0.001168	0.0023263	0.074567	0.090084	0.0044849	9.7381e-05	1.265e-06	0.17367	0.0056634	2.1607e-05	0.00025691	0.00060096	0.0063344	0.0018406	0.0012652	0.001708	0.0013555	0.00074078	1.6108e-05	1.3518e-06	8.4966e-06	1.2073e-07	8.5455e-06	8.5048e-05	
0.0041364	0.044381	0.0011565	0.0023226	0.074632	0.090506	0.0044816	9.722e-05	1.2837e-06	0.17361	0.005657	2.0991e-05	0.00025421	0.00059876	0.0063359	0.0018323	0.0012609	0.0017063	0.0011481	0.00073886	1.5585e-05	1.3333e-06	8.38e-06	1.0113e-07	7.8368e-06	8.2734e-05	
0.0041311	0.044061	0.0011453	0.002319	0.074695	0.090921	0.0044782	9.7034e-05	1.2957e-06	0.17355	0.0056506	2.0439e-05	0.00025154	0.00059668	0.0063367	0.001824	0.0012568	0.0017045	0.00088792	0.00073699	1.503e-05	1.3065e-06	8.2477e-06	7.6709e-08	7.6348e-06	8.0334e-05	
0.0041257	0.043713	0.001134	0.0023154	0.074762	0.091328	0.0044747	9.6826e-05	1.3016e-06	0.17349	0.0056442	1.9849e-05	0.00024885	0.00059453	0.006337	0.0018159	0.0012525	0.0017027	0.00086458	0.0007351	1.444e-05	1.271e-06	8.0992e-06	8.461e-08	7.4041e-06	7.7846e-05	
0.0041203	0.043424	0.0011229	0.0023119	0.074831	0.091746	0.0044713	9.6656e-05	1.3159e-06	0.17343	0.0056377	1.9199e-05	0.00024613	0.00059231	0.0063365	0.001808	0.0012483	0.0017009	0.00085697	0.00073317	1.39e-05	1.2436e-06	7.9785e-06	9.4691e-08	7.2237e-06	7.5225e-05	
0.0041147	0.043105	0.0011117	0.0023083	0.074902	0.092157	0.0044679	9.6465e-05	1.324e-06	0.17337	0.0056312	1.8512e-05	0.00024339	0.00059002	0.0063356	0.0018004	0.001244	0.0016991	0.00083954	0.00073121	1.3328e-05	1.2079e-06	7.8437e-06	1.0125e-07	7.017e-06	7.252e-05	
0.0041091	0.042761	0.0011003	0.0023046	0.074972	0.092562	0.0044644	9.6253e-05	1.3265e-06	0.17331	0.0056245	1.7785e-05	0.00024063	0.00058766	0.0063341	0.0017927	0.0012397	0.0016973	0.00081281	0.00072923	1.2718e-05	1.3699e-06	7.6944e-06	1.0454e-07	6.7848e-06	6.9728e-05	
0.0041037	0.042465	0.0010893	0.0023011	0.075044	0.092977	0.0044611	9.608e-05	1.3368e-06	0.17307	0.005618	1.7135e-05	0.00023791	0.00058544	0.0063337	0.0017853	0.0012355	0.0016956	0.00080039	0.0007273	1.2153e-05	1.5504e-06	7.5707e-06	1.0971e-07	6.5986e-06	6.7109e-05	
0.0040983	0.042214	0.0010786	0.0022976	0.075119	0.093402	0.004458	9.5942e-05	1.3551e-06	0.17283	0.0056116	1.655e-05	0.00023522	0.00058336	0.0063342	0.001778	0.0012312	0.0016938	0.00080115	0.00072542	1.1631e-05	1.7515e-06	7.4686e-06	1.1695e-07	6.4518e-06	6.4639e-05	
0.0040929	0.041939	0.0010677	0.0022941	0.075193	0.09382	0.0044548	9.5783e-05	1.3677e-06	0.17259	0.0056052	1.5929e-05	0.00023251	0.0005812	0.0063343	0.0017707	0.001227	0.001692	0.00079342	0.00072351	1.1429e-05	1.8317e-06	7.3534e-06	1.1859e-07	6.2844e-06	6.209e-05	
0.0040876	0.041717	0.0010571	0.0022907	0.075269	0.094231	0.0044514	9.5598e-05	1.3569e-06	0.17235	0.0055989	1.5376e-05	0.00022984	0.00057919	0.0063355	0.0017636	0.0012228	0.0016902	0.00075864	0.00072165	1.1184e-05	1.8952e-06	7.1595e-06	1.3171e-07	6.2096e-06	5.9716e-05	
0.0040825	0.041547	0.0010463	0.0022872	0.075344	0.094636	0.004448	9.5392e-05	1.3404e-06	0.17211	0.0055925	1.479e-05	0.00022714	0.00057711	0.0063363	0.0017563	0.0012186	0.0016885	0.00071346	0.00071985	1.0918e-05	1.9494e-06	6.9492e-06	1.4112e-07	6.1182e-06	5.7265e-05	
0.0040616	0.040785	0.0010029	0.0022731	0.075641	0.096221	0.0044339	9.4469e-05	1.2447e-06	0.17115	0.0055667	1.2295e-05	0.00021626	0.00056853	0.0063372	0.0017268	0.0012018	0.0016814	0.00092989	0.00071251	9.7453e-06	2.1132e-06	6.0296e-06	1.5501e-07	5.677e-06	4.7124e-05	
0.0040565	0.04063	0.00099195	0.0022695	0.075718	0.096624	0.0044305	9.427e-05	1.227e-06	0.17091	0.0055603	1.1729e-05	0.00021357	0.00056651	0.0063384	0.0017196	0.0011976	0.0016797	0.0010048	0.00071072	9.471e-06	2.1601e-06	5.8257e-06	1.5868e-07	5.5939e-06	4.4725e-05	
0.0040515	0.04051	0.00098123	0.002266	0.075797	0.097038	0.0044273	9.4107e-05	1.2169e-06	0.17068	0.0055541	1.1217e-05	0.00021091	0.00056461	0.0063406	0.0017127	0.0011935	0.0016779	0.0011095	0.00070898	8.4171e-06	2.2195e-06	5.6478e-06	1.6505e-07	5.537e-06	4.2461e-05	
0.0040466	0.040425	0.00097079	0.0022626	0.075879	0.097463	0.0044243	9.3983e-05	1.2159e-06	0.17045	0.0055481	1.0761e-05	0.00020829	0.00056285	0.0063439	0.001706	0.0011894	0.0016762	0.00113	0.00070729	7.2436e-06	2.2617e-06	5.4956e-06	1.7829e-07	5.5059e-06	4.0336e-05	
0.0040417	0.040319	0.00097071	0.0022588	0.07596	0.09788	0.0044212	9.3835e-05	1.2091e-06	0.17022	0.0055419	1.0273e-05	0.00020564	0.00056101	0.0063466	0.0016991	0.0011852	0.0016745	0.0011394	0.00070557	6.1592e-06	2.3161e-06	5.328e-06	1.9658e-07	5.4593e-06	3.8133e-05	
0.0040366	0.040195	0.00097059	0.002255	0.076043	0.098306	0.0044183	9.373e-05	1.1969e-06	0.16999	0.0055357	9.7564e-06	0.00020297	0.00055911	0.0063488	0.0016925	0.0011811	0.0016728	0.0011389	0.00070382	6.0339e-06	2.3521e-06	5.145e-06	2.1033e-07	5.3985e-06	3.5859e-05	
0.0040318	0.040114	0.00097042	0.0022511	0.076125	0.098726	0.0044152	9.3602e-05	1.226e-06	0.16976	0.0055294	9.2096e-06	0.00020029	0.00055715	0.0063505	0.0016858	0.0011769	0.001671	0.0010988	0.00070212	5.8917e-06	2.3779e-06	4.9451e-06	2.1895e-07	5.2277e-06	3.3504e-05	
0.004027	0.040074	0.00097034	0.0022473	0.07621	0.099156	0.0044124	9.3512e-05	1.2647e-06	0.16952	0.005523	8.626e-06	0.00019758	0.00055512	0.0063532	0.0016793	0.0011729	0.0016693	0.0010782	0.00070048	5.7667e-06	2.4154e-06	4.7722e-06	2.3172e-07	5.0955e-06	3.1291e-05	
0.0040224	0.040066	0.00097034	0.0022436	0.076297	0.099597	0.0044097	9.3457e-05	1.3132e-06	0.16929	0.0055168	8.0976e-06	0.0001949	0.00055322	0.0063569	0.001673	0.0011688	0.0016676	0.0010734	0.00069889	5.6564e-06	2.4639e-06	4.6216e-06	2.4864e-07	4.9938e-06	2.9201e-05	
0.0040177	0.04004	0.00097042	0.0022399	0.076387	0.10005	0.0044071	9.3435e-05	1.3822e-06	0.16906	0.0055107	7.6193e-06	0.00019225	0.00055144	0.0063405	0.0016669	0.0011648	0.001666	0.0010524	0.00069726	5.5313e-06	2.5027e-06	4.4915e-06	2.6112e-07	4.8742e-06	2.7269e-05	
0.004013	0.040014	0.00097045	0.0022362	0.076475	0.10049	0.0044045	9.3391e-05	1.4501e-06	0.16884	0.0055045	7.1101e-06	0.00018959	0.00054959	0.0063232	0.0016606	0.0011608	0.0016643	0.00103	0.00069563	5.4012e-06	2.5387e-06	4.3475e-06	2.7205e-07	4.7533e-06	2.5267e-05	
0.0040083	0.039986	0.00097044	0.0022325	0.076562	0.10093	0.0044018	9.3327e-05	1.5169e-06	0.1686	0.0054982	6.5717e-06	0.0001869	0.00054767	0.0063053	0.0016543	0.0011567	0.0016626	0.0010061	0.000694	5.266e-06	2.572e-06	4.1904e-06	2.8142e-07	4.631e-06	2.32e-05	
0.0040036	0.039958	0.00097051	0.0022289	0.076652	0.10136	0.004399	9.2885e-05	1.5825e-06	0.16837	0.0054918	6.1073e-06	0.00018419	0.00054568	0.0062865	0.0016482	0.0011527	0.0016609	0.00098075	0.00069237	5.1259e-06	2.6026e-06	4.0628e-06	2.8923e-07	4.5073e-06	2.1058e-05	
0.0039988	0.039929	0.00097067	0.0022253	0.076745	0.1018	0.0043964	9.2486e-05	1.647e-06	0.16815	0.0054856	5.6904e-06	0.00018151	0.00054383	0.0062693	0.0016423	0.0011487	0.0016592	0.00095396	0.00069074	4.9807e-06	2.6303e-06	3.9547e-06	2.9549e-07	4.3823e-06	1.9042e-05	
0.0039941	0.039899	0.00097091	0.0022218	0.076841	0.10225	0.0043939	9.2126e-05	1.7105e-06	0.16741	0.0054796	5.3129e-06	0.00017887	0.00054209	0.0062535	0.0016366	0.0011446	0.0016576	0.00092572	0.0006891	4.8304e-06	2.6554e-06	3.863e-06	3.0019e-07	4.2559e-06	1.7136e-05	
0.0039894	0.039868	0.00097111	0.0022183	0.076936	0.10269	0.0043913	9.1743e-05	1.7727e-06	0.16667	0.0054734	4.9126e-06	0.00017621	0.00054029	0.0062391	0.0016308	0.0011406	0.0016559	0.00089602	0.00068746	4.6751e-06	2.6776e-06	3.7586e-06	3.0333e-07	4.1281e-06	1.5347e-05	
0.0039848	0.03987	0.00097138	0.0022148	0.077033	0.10314	0.0043889	9.1399e-05	1.8487e-06	0.16595	0.0054674	4.5498e-06	0.00017358	0.0005386	0.0062261	0.0016252	0.0011366	0.0016542	0.00088446	0.00068588	4.5342e-06	2.7111e-06	3.6701e-06	3.1074e-07	4.0287e-06	1.3655e-05	
