Tapirus_terrestris	Tapirus_indicus	Rhinoceros_unicornis	Equus_przewalskii	Equus_caballus	Equus_asinus	Diceros_bicornis	Dicerorhinus_sumatrensis	Ceratotherium_simum	
0.000514	0.00020767	0.001948	0.01	0.01	0.0005776	0.040994	0.00016752	0.000123	
0.0005099	0.0002078	0.0019291	0.01	0.01	0.00057595	0.041025	0.00016042	0.00012107	
0.00050576	0.00020792	0.00191	0.01	0.01	0.00057428	0.041056	0.00015326	0.00011912	
0.00050171	0.00020805	0.0018913	0.01	0.01	0.00057266	0.041087	0.00014619	0.00011719	
0.00049761	0.00020817	0.0018724	0.01	0.01	0.00057101	0.041118	0.00013906	0.00011525	
0.00049361	0.0002083	0.001854	0.01	0.01	0.0005694	0.041149	0.00013204	0.00011332	
0.00048958	0.00020842	0.0018354	0.01	0.01	0.00056778	0.04118	0.00012496	0.00011139	
0.00048564	0.00020856	0.0018174	0.01	0.01	0.00056621	0.041212	0.00011799	0.00010946	
0.00048166	0.00020867	0.001799	0.01	0.01	0.00056461	0.041243	0.00011095	0.00010753	
0.00047763	0.00020877	0.0017805	0.01	0.01	0.00056299	0.041274	0.00010385	0.00010559	
0.00047356	0.00020885	0.0017818	0.01	0.01	0.00056134	0.041302	9.6346e-05	0.0001059	
0.00046943	0.00020891	0.0017831	0.01	0.01	0.00055965	0.04133	8.8759e-05	0.00010621	
0.00046524	0.00020895	0.0017842	0.01	0.01	0.00055794	0.041358	8.8242e-05	0.00010652	
0.00046099	0.00020897	0.0017851	0.01	0.01	0.00055619	0.041385	8.7692e-05	0.00010681	
0.00045669	0.00020897	0.0017859	0.01	0.01	0.00055441	0.041413	8.7111e-05	0.0001071	
0.00045234	0.00020896	0.001787	0.01	0.01	0.00055261	0.04144	8.6544e-05	0.00010739	
0.00044794	0.00020892	0.0017879	0.01	0.01	0.00055077	0.041468	8.5947e-05	0.00010768	
0.00044366	0.00020891	0.001789	0.01	0.01	0.000549	0.041496	8.5367e-05	0.00010797	
0.00043934	0.00020888	0.00179	0.01	0.01	0.0005472	0.041524	8.4757e-05	0.00010825	
0.00043511	0.00020886	0.0017913	0.01	0.01	0.00054545	0.041552	8.416e-05	0.00010854	
0.00043084	0.00020883	0.0017924	0.01	0.01	0.00054367	0.04158	8.3532e-05	0.00010882	
0.00042651	0.00020878	0.0017934	0.01	0.01	0.00054186	0.041608	8.2874e-05	0.00010909	
0.00042213	0.00020871	0.0017943	0.01	0.01	0.00054003	0.041636	8.2185e-05	0.00010935	
0.00041788	0.00020866	0.0017954	0.01	0.01	0.00053826	0.041664	8.1515e-05	0.00010962	
0.00041356	0.00020858	0.0017964	0.01	0.01	0.00053655	0.041693	8.081e-05	0.00010989	
0.00040935	0.00020853	0.0017975	0.01	0.01	0.00053489	0.041721	8.0119e-05	0.00011015	
0.00040525	0.00020849	0.0017989	0.01	0.01	0.00053329	0.04175	7.9443e-05	0.00011042	
0.00040126	0.00020848	0.0017986	0.01	0.01	0.00053175	0.041779	8.1492e-05	0.00011069	
0.00039737	0.00020848	0.0017986	0.01	0.01	0.00053026	0.041808	8.3571e-05	0.00011096	
0.00039343	0.00020846	0.0017984	0.01	0.01	0.00052873	0.041837	8.5607e-05	0.00011121	
0.00038958	0.00020846	0.0017984	0.01	0.01	0.00052717	0.041867	8.768e-05	0.00011148	
0.00038569	0.00020844	0.0017983	0.01	0.01	0.00052559	0.041896	8.9715e-05	0.00011174	
0.00038175	0.0002084	0.0017981	0.01	0.01	0.00052398	0.041925	9.1712e-05	0.00011199	
0.00037776	0.00020835	0.0017978	0.01	0.01	0.00052234	0.041954	9.3672e-05	0.00011223	
0.00037388	0.00020831	0.0017977	0.01	0.01	0.00052075	0.041984	9.5668e-05	0.00011248	
0.00036995	0.00020825	0.0017975	0.01	0.01	0.00051914	0.042013	9.7621e-05	0.00011272	
0.00036612	0.00020822	0.0017975	0.01	0.01	0.00051758	0.042043	9.9611e-05	0.00011296	
0.00036224	0.00020816	0.0017973	0.01	0.01	0.00051599	0.042072	0.00010156	0.0001132	
0.00035831	0.00020808	0.0017971	0.01	0.01	0.00051437	0.042101	0.00010347	0.00011343	
0.00035433	0.00020799	0.0017968	0.01	0.01	0.00051272	0.042131	0.00010534	0.00011366	
0.00035047	0.00020791	0.0017966	0.01	0.01	0.00051114	0.04216	0.00010725	0.00011388	
0.00034654	0.00020782	0.0017964	0.01	0.01	0.00050951	0.04219	0.00010912	0.00011411	
0.00034257	0.0002077	0.0017963	0.01	0.01	0.00050795	0.042161	0.00011102	0.00011436	
0.0003387	0.00020761	0.0017965	0.01	0.01	0.00050182	0.042132	0.00011295	0.00011461	
0.00033479	0.00020749	0.0017965	0.01	0.01	0.00049563	0.042103	0.00011485	0.00011486	
0.00033099	0.0002074	0.0017968	0.01	0.01	0.00048959	0.042075	0.00011679	0.00011511	
0.00032729	0.00020733	0.0017973	0.01	0.01	0.00048369	0.042047	0.00011876	0.00011537	
0.00032354	0.00020723	0.0017977	0.01	0.01	0.00047773	0.042019	0.0001207	0.00011563	
0.00031989	0.00020716	0.0017982	0.01	0.01	0.00047192	0.041991	0.00012267	0.00011588	
0.00031619	0.00020707	0.0017987	0.01	0.01	0.00046603	0.041964	0.0001246	0.00011613	
0.00031259	0.00020699	0.0017994	0.01	0.01	0.00046028	0.041936	0.00012657	0.00011639	
0.00030895	0.0002069	0.0017999	0.01	0.01	0.00045447	0.041909	0.0001285	0.00011664	
0.00030538	0.00020682	0.0018007	0.01	0.01	0.00044877	0.041882	0.00013046	0.00011689	
0.00030177	0.00020672	0.0018013	0.01	0.01	0.00044301	0.041855	0.00013237	0.00011714	
0.00029811	0.0002066	0.0018021	0.01	0.01	0.00043718	0.041828	0.00013433	0.00011739	
0.00029442	0.00020647	0.0018028	0.01	0.01	0.00043131	0.041801	0.00013625	0.00011763	
0.00029081	0.00020635	0.0017912	0.01	0.01	0.00042556	0.041775	0.0001382	0.00011788	
0.00028717	0.00020622	0.0017794	0.01	0.01	0.00041976	0.041748	0.00014013	0.00011812	
0.00028361	0.0002061	0.0017679	0.01	0.01	0.00041407	0.041722	0.00014207	0.00011836	
0.00028001	0.00020597	0.0017563	0.01	0.01	0.00040834	0.041695	0.00014399	0.0001186	
0.00027639	0.00020582	0.0017446	0.01	0.01	0.00040257	0.041669	0.00014588	0.00011883	
0.00027284	0.00020568	0.0017331	0.01	0.01	0.00039691	0.041643	0.00014779	0.00011907	
0.00026937	0.00020556	0.0017216	0.01	0.01	0.00039134	0.041617	0.00014968	0.0001193	
0.00026595	0.00020545	0.0017103	0.01	0.01	0.00038586	0.041591	0.00015158	0.00011953	
0.00026251	0.00020532	0.0016989	0.01	0.01	0.00038034	0.041565	0.00015346	0.00011976	
0.00025905	0.00020519	0.0016875	0.01	0.01	0.0003748	0.041539	0.00015531	0.00011998	
0.00025557	0.00020504	0.0016759	0.01	0.01	0.00036923	0.041513	0.00015713	0.00012019	
0.00025207	0.00020487	0.0016643	0.01	0.01	0.00036364	0.041487	0.00015892	0.0001204	
0.00024863	0.00020472	0.0016529	0.01	0.01	0.00035814	0.041461	0.00016074	0.00012062	
0.00024525	0.00020458	0.0016417	0.01	0.01	0.00035271	0.041436	0.00016258	0.00012083	
0.00024193	0.00020445	0.0016308	0.01	0.01	0.00034736	0.04141	0.00016443	0.00012105	
0.00023859	0.0002043	0.0016198	0.01	0.01	0.00034199	0.041385	0.00016626	0.00012126	
0.00023531	0.00020417	0.001609	0.01	0.01	0.0003367	0.04136	0.00016811	0.00012147	
0.00023201	0.00020402	0.0015982	0.01	0.01	0.00033139	0.041335	0.00016994	0.00012168	
0.00022876	0.00020389	0.0015875	0.01	0.01	0.00032614	0.04131	0.00017178	0.00012189	
0.00022549	0.00020374	0.0015768	0.01	0.01	0.00032088	0.041286	0.0001736	0.00012209	
0.00022221	0.00020358	0.001566	0.01	0.01	0.0003156	0.041261	0.00017539	0.00012229	
0.00021899	0.00020343	0.0015555	0.01	0.01	0.00031039	0.041236	0.00017721	0.0001225	
0.00021575	0.00020326	0.0015448	0.01	0.01	0.00030516	0.041212	0.000179	0.00012269	
0.00021256	0.00020311	0.0015344	0.01	0.01	0.00030001	0.041187	0.0001808	0.00012289	
0.00020943	0.00020297	0.0015242	0.01	0.01	0.00029494	0.041163	0.00018263	0.00012309	
0.00020634	0.00020283	0.0015142	0.01	0.01	0.00028993	0.04114	0.00018448	0.0001233	
0.00020324	0.00020269	0.0015042	0.01	0.01	0.0002849	0.041116	0.0001863	0.00012349	
0.00020019	0.00020255	0.0014943	0.01	0.01	0.00027994	0.041092	0.00018814	0.00012369	
0.00019712	0.0002024	0.0014844	0.01	0.01	0.00027496	0.041069	0.00018996	0.00012389	
0.00019404	0.00020224	0.0014744	0.01	0.01	0.00026996	0.041045	0.00019175	0.00012407	
0.000191	0.00020209	0.0014646	0.01	0.01	0.00026503	0.041022	0.00019356	0.00012427	
0.00018796	0.00020193	0.0014547	0.01	0.01	0.00026008	0.040999	0.00019535	0.00012445	
0.00018489	0.00020176	0.0014448	0.01	0.01	0.00025511	0.040975	0.00019711	0.00012463	
0.00018188	0.00020159	0.001435	0.01	0.01	0.00025021	0.040952	0.00019889	0.00012481	
0.00017884	0.00020141	0.0014252	0.01	0.01	0.00024528	0.040929	0.00020064	0.00012499	
0.00017579	0.00020122	0.0014153	0.01	0.01	0.00024033	0.040905	0.00020237	0.00012516	
0.00017279	0.00020104	0.0014056	0.01	0.01	0.00023545	0.040883	0.00020411	0.00012534	
0.00016977	0.00020085	0.0013958	0.01	0.01	0.00023055	0.040859	0.00020584	0.00012551	
0.00016674	0.00020065	0.001386	0.01	0.01	0.00022563	0.040836	0.00020753	0.00012567	
0.00016368	0.00020043	0.0013764	0.01	0.01	0.00022342	0.040814	0.00020925	0.00012584	
0.00016068	0.00020022	0.0013667	0.01	0.01	0.00022119	0.040791	0.00021094	0.000126	
0.00015774	0.00020003	0.0013572	0.01	0.01	0.00021901	0.040768	0.00021266	0.00012616	
0.00015484	0.00019984	0.0013479	0.01	0.01	0.00021685	0.040746	0.0002144	0.00012633	
0.00015192	0.00019964	0.0013386	0.01	0.01	0.00021468	0.040724	0.00021611	0.00012649	
0.00014899	0.00019943	0.0013291	0.01	0.01	0.0002125	0.040701	0.00021779	0.00012664	
0.0001461	0.00019923	0.0013199	0.01	0.01	0.00021034	0.040679	0.00021949	0.0001268	
0.00014319	0.00019901	0.0013105	0.01	0.01	0.00020818	0.040657	0.00022116	0.00012695	
0.00014034	0.00019881	0.0013011	0.01	0.01	0.000206	0.040635	0.00022281	0.00012709	
0.00013747	0.0001986	0.0012917	0.01	0.01	0.0002038	0.040612	0.00022443	0.00012724	
0.00013465	0.00019839	0.0012824	0.01	0.01	0.00020164	0.04059	0.00022608	0.00012738	
0.00013188	0.00019819	0.0012733	0.01	0.01	0.00019952	0.040569	0.00022775	0.00012752	
0.00012915	0.00019801	0.0012644	0.01	0.01	0.00019742	0.040547	0.00022943	0.00012767	
0.0001264	0.00019781	0.0012554	0.01	0.01	0.00019531	0.040526	0.0002311	0.00012781	
0.00012369	0.00019762	0.0012466	0.01	0.01	0.00019323	0.040504	0.00023278	0.00012795	
0.00012097	0.00019741	0.0012377	0.01	0.01	0.00019113	0.040483	0.00023443	0.00012809	
0.00011829	0.00019722	0.001229	0.01	0.01	0.00018907	0.040462	0.00023611	0.00012823	
0.0001156	0.00019701	0.0012203	0.01	0.01	0.000187	0.040441	0.00023776	0.00012837	
0.0001129	0.0001968	0.0012115	0.01	0.01	0.00018492	0.04042	0.00023939	0.0001285	
0.00011019	0.00019657	0.0012027	0.01	0.01	0.00018283	0.040399	0.00024099	0.00012862	
0.00010751	0.00019635	0.001194	0.01	0.01	0.00018076	0.040378	0.00024262	0.00012875	
0.00010488	0.00019614	0.0011854	0.01	0.01	0.00017872	0.040357	0.00024426	0.00012888	
0.00010223	0.00019592	0.0011768	0.01	0.01	0.00017667	0.040337	0.00024588	0.000129	
9.9564e-05	0.00019568	0.0011682	0.01	0.01	0.00017461	0.040316	0.00024747	0.00012912	
9.6888e-05	0.00019544	0.0011595	0.01	0.01	0.00017254	0.040295	0.00024904	0.00012923	
9.4251e-05	0.0001952	0.0011509	0.01	0.01	0.0001705	0.040275	0.00025062	0.00012935	
9.1602e-05	0.00019495	0.0011423	0.01	0.01	0.00016844	0.040254	0.00025218	0.00012946	
8.8996e-05	0.00019472	0.0011339	0.01	0.01	0.00016642	0.040234	0.00025377	0.00012957	
8.6433e-05	0.00019449	0.0011257	0.01	0.01	0.00016438	0.040214	0.00025538	0.00012968	
8.3911e-05	0.00019427	0.0011176	0.01	0.01	0.00016237	0.040194	0.00025702	0.0001298	
8.1377e-05	0.00019404	0.0011095	0.01	0.01	0.00016035	0.040174	0.00025863	0.00012991	
7.8885e-05	0.00019382	0.0011015	0.01	0.01	0.00015837	0.040155	0.00026027	0.00013002	
7.6432e-05	0.0001936	0.0010937	0.01	0.01	0.00015641	0.040136	0.00026193	0.00013014	
7.4019e-05	0.0001934	0.0010861	0.01	0.01	0.00015448	0.040117	0.00026362	0.00013026	
7.164e-05	0.00019321	0.0010786	0.01	0.01	0.00015257	0.040098	0.00026532	0.00013038	
6.9248e-05	0.000193	0.0010711	0.01	0.01	0.00015066	0.040079	0.000267	0.00013049	
6.6889e-05	0.0001928	0.0010637	0.01	0.01	0.00014877	0.040061	0.00026871	0.0001306	
6.4563e-05	0.00019261	0.0010564	0.01	0.01	0.0001469	0.040043	0.00027043	0.00013072	
6.227e-05	0.00019242	0.0010493	0.01	0.01	0.00014506	0.040025	0.00027217	0.00013084	
5.9966e-05	0.00019223	0.0010422	0.01	0.01	0.0001432	0.040007	0.00027389	0.00013095	
5.7649e-05	0.00019202	0.0010349	0.01	0.01	0.00014134	0.039989	0.00027558	0.00013106	
5.5321e-05	0.0001918	0.0010276	0.01	0.01	0.00013947	0.039971	0.00027725	0.00013116	
5.3026e-05	0.00019159	0.0010205	0.01	0.01	0.00013762	0.039953	0.00027894	0.00013127	
5.0719e-05	0.00019137	0.0010133	0.01	0.01	0.00013576	0.039935	0.0002806	0.00013137	
4.8449e-05	0.00019116	0.0010063	0.01	0.01	0.00013393	0.039918	0.00028229	0.00013147	
4.6217e-05	0.00019095	0.0009992	0.01	0.01	0.00013212	0.0399	0.00028396	0.00013157	
4.3971e-05	0.00019074	0.00099205	0.01	0.01	0.00013031	0.039882	0.0002856	0.00013166	
4.1711e-05	0.00019051	0.00098485	0.01	0.01	0.00012848	0.039864	0.00028721	0.00013175	
3.9489e-05	0.0001903	0.0009778	0.01	0.01	0.00012668	0.039847	0.00028885	0.00013184	
3.9473e-05	0.00019	0.00097069	0.01	0.01	0.00012487	0.039829	0.00029046	0.00013192	
3.9452e-05	0.00018969	0.00096353	0.01	0.01	0.00012305	0.039812	0.00029204	0.000132	
3.9436e-05	0.00018938	0.00095653	0.01	0.01	0.00012125	0.039795	0.00029366	0.00013208	
3.9425e-05	0.00018909	0.00094965	0.01	0.01	0.00011948	0.039778	0.00029529	0.00013216	
3.9419e-05	0.0001888	0.00094292	0.01	0.01	0.00011774	0.039761	0.00029695	0.00013225	
3.9407e-05	0.00018851	0.00093612	0.01	0.01	0.00011598	0.039744	0.00029858	0.00013233	
3.9401e-05	0.00018822	0.00092947	0.01	0.01	0.00011424	0.039727	0.00030024	0.00013241	
3.94e-05	0.00018794	0.00092297	0.01	0.01	0.00011254	0.039711	0.00030193	0.00013249	
3.9393e-05	0.00018765	0.00091641	0.01	0.01	0.00011082	0.039695	0.00030359	0.00013257	
3.9391e-05	0.00018736	0.00090998	0.01	0.01	0.00010912	0.039679	0.00030527	0.00013265	
3.9384e-05	0.00018707	0.0009035	0.01	0.01	0.00010741	0.039663	0.00030693	0.00013273	
3.9382e-05	0.00018678	0.00089715	0.01	0.01	0.00010573	0.039647	0.00030861	0.0001328	
3.9384e-05	0.0001865	0.00089092	0.01	0.01	0.00010407	0.039631	0.00031032	0.00013288	
3.9391e-05	0.00018623	0.00088464	0.01	0.01	0.00010243	0.039615	0.000312	0.00013295	
3.9392e-05	0.00018595	0.0008783	0.01	0.01	0.00010078	0.0396	0.00031365	0.00013302	
3.9387e-05	0.00018565	0.0008719	0.01	0.01	9.9113e-05	0.039584	0.00031527	0.00013309	
3.9388e-05	0.00018537	0.00086565	0.01	0.01	9.7475e-05	0.039568	0.00031693	0.00013315	
3.9383e-05	0.00018507	0.00085934	0.01	0.01	9.5827e-05	0.039553	0.00031855	0.00013321	
3.9385e-05	0.00018478	0.00085319	0.01	0.01	9.4204e-05	0.039537	0.00032021	0.00013327	
3.9392e-05	0.0001845	0.00084717	0.01	0.01	9.2607e-05	0.039522	0.0003219	0.00013334	
3.9405e-05	0.00018424	0.00084129	0.01	0.01	9.103e-05	0.039508	0.00032362	0.00013341	
3.9423e-05	0.00018398	0.00083552	0.01	0.01	8.9476e-05	0.039493	0.00032536	0.00013347	
3.9434e-05	0.0001837	0.00082989	0.01	0.01	8.7943e-05	0.039479	0.00032713	0.00013355	
3.9452e-05	0.00018344	0.00082439	0.01	0.01	8.6434e-05	0.039465	0.00032894	0.00013362	
3.9476e-05	0.00018318	0.00081904	0.01	0.01	8.495e-05	0.039452	0.00033079	0.00013369	
3.9505e-05	0.00018294	0.0008138	0.01	0.01	8.3486e-05	0.039438	0.00033267	0.00013377	
3.9528e-05	0.00018268	0.00080851	0.01	0.01	8.201e-05	0.039425	0.00033451	0.00013385	
3.9544e-05	0.00018241	0.00080314	0.01	0.01	8.0521e-05	0.039411	0.00033632	0.00013391	
3.9568e-05	0.00018215	0.00079771	0.01	0.01	7.9019e-05	0.039398	0.00033809	0.00013397	
3.9585e-05	0.00018188	0.00079221	0.01	0.01	7.7506e-05	0.039384	0.00033984	0.00013403	
3.9609e-05	0.00018162	0.00078665	0.01	0.01	7.6017e-05	0.03937	0.00034155	0.00013408	
3.9641e-05	0.00018138	0.00078124	0.01	0.01	7.4554e-05	0.039357	0.00034329	0.00013413	
3.9679e-05	0.00018114	0.00077596	0.01	0.01	7.3114e-05	0.039344	0.00034508	0.00013419	
3.971e-05	0.00018089	0.00077062	0.01	0.01	7.1662e-05	0.039331	0.00034683	0.00013424	
3.9734e-05	0.00018063	0.00076521	0.01	0.01	7.0196e-05	0.039317	0.00034855	0.00013428	
3.9765e-05	0.00018037	0.00075992	0.01	0.01	6.8752e-05	0.039304	0.0003503	0.00013433	
3.9788e-05	0.0001801	0.00075457	0.01	0.01	6.7294e-05	0.039291	0.00035201	0.00013437	
3.9805e-05	0.00017982	0.00074916	0.01	0.01	6.5825e-05	0.039278	0.0003537	0.00013441	
3.9829e-05	0.00017955	0.00074389	0.01	0.01	6.434e-05	0.039265	0.00035542	0.00013444	
3.9859e-05	0.00017929	0.00073874	0.01	0.01	6.2875e-05	0.039253	0.00035718	0.00013448	
3.9897e-05	0.00017904	0.00073353	0.01	0.01	6.1312e-05	0.03924	0.0003589	0.00013452	
3.9928e-05	0.00017878	0.00072825	0.01	0.01	5.9734e-05	0.039227	0.00036059	0.00013455	
3.9965e-05	0.00017853	0.0007231	0.01	0.01	5.8182e-05	0.039215	0.00036231	0.00013458	
4.0008e-05	0.00017829	0.00071806	0.01	0.01	5.6649e-05	0.039202	0.00036407	0.00013461	
4.0044e-05	0.00017804	0.00071297	0.01	0.01	5.5105e-05	0.03919	0.00036579	0.00013464	
4.0075e-05	0.00017777	0.00070783	0.01	0.01	5.3551e-05	0.039178	0.00036749	0.00013467	
4.0111e-05	0.00017751	0.00070279	0.01	0.01	5.2017e-05	0.039166	0.00036921	0.00013469	
4.0141e-05	0.00017724	0.00069771	0.01	0.01	5.0471e-05	0.039153	0.00037091	0.00013471	
4.0176e-05	0.00017698	0.00069272	0.01	0.01	4.8945e-05	0.039142	0.00037263	0.00013473	
4.0204e-05	0.0001767	0.00068768	0.01	0.01	4.7407e-05	0.03913	0.00037433	0.00013475	
4.0227e-05	0.00017642	0.0006826	0.01	0.01	4.586e-05	0.039118	0.00037599	0.00013476	
4.0244e-05	0.00017612	0.00067746	0.01	0.01	4.4301e-05	0.039105	0.00037762	0.00013477	
4.0267e-05	0.00017583	0.00067243	0.01	0.01	4.2765e-05	0.039094	0.00037929	0.00013477	
4.0284e-05	0.00017552	0.00066736	0.01	0.01	4.1217e-05	0.039082	0.00038093	0.00013478	
4.0307e-05	0.00017523	0.0006624	0.01	0.01	3.9691e-05	0.03907	0.00038261	0.00013478	
4.0325e-05	0.00017493	0.0006574	0.01	0.01	3.8156e-05	0.039058	0.00038425	0.00013478	
4.0348e-05	0.00017463	0.00065252	0.01	0.01	3.6642e-05	0.039047	0.00038593	0.00013479	
4.0366e-05	0.00017433	0.00064758	0.01	0.01	3.5117e-05	0.039036	0.00038758	0.00013478	
4.039e-05	0.00017403	0.00064276	0.01	0.01	3.3613e-05	0.039024	0.00038927	0.00013478	
4.0408e-05	0.00017372	0.00063789	0.01	0.01	3.21e-05	0.039013	0.00039093	0.00013478	
4.042e-05	0.0001734	0.00063297	0.01	0.01	3.0576e-05	0.039002	0.00039255	0.00013477	
4.0438e-05	0.00017309	0.00062817	0.01	0.01	2.9073e-05	0.038991	0.00039422	0.00013476	
4.045e-05	0.00017276	0.00062331	0.01	0.01	2.7561e-05	0.03898	0.00039585	0.00013475	
4.0469e-05	0.00017245	0.00061804	0.01	0.01	2.607e-05	0.038969	0.00039724	0.00013473	
4.0482e-05	0.00017213	0.00061271	0.01	0.01	2.4568e-05	0.038958	0.00039859	0.00013472	
4.0499e-05	0.00017181	0.00060749	0.01	0.01	2.3083e-05	0.038948	0.00039998	0.0001347	
4.0511e-05	0.00017148	0.00060221	0.01	0.01	2.1588e-05	0.038937	0.00040133	0.00013468	
4.0527e-05	0.00017115	0.00059704	0.01	0.01	2.0111e-05	0.038926	0.00040272	0.00013467	
4.0538e-05	0.00017082	0.00059182	0.01	0.01	1.8622e-05	0.038916	0.00040407	0.00013464	
4.0553e-05	0.00017049	0.0005867	0.01	0.01	1.7152e-05	0.038906	0.00040545	0.00013462	
4.0563e-05	0.00017015	0.00058152	0.01	0.01	1.7136e-05	0.038895	0.0004068	0.0001346	
4.0567e-05	0.0001698	0.0005763	0.01	0.01	1.7115e-05	0.038885	0.00040813	0.00013456	
