Trachypithecus_francoisi	Theropithecus_gelada	Sapajus_apella	Saimiri_boliviensis	Rhinopithecus_roxellana	Rhinopithecus_bieti	Propithecus_coquereli	Prolemur_simus	Pongo_abelii	Piliocolobus_tephrosceles	Papio_anubis	Pan_troglodytes	Pan_paniscus	Otolemur_garnettii	Nomascus_leucogenys	Microcebus_murinus	Mandrillus_leucophaeus	Macaca_nemestrina	Macaca_mulatta	Macaca_fascicularis	Hylobates_moloch	Homo_sapiens	Gorilla_gorilla	Chlorocebus_sabaeus	Cercocebus_atys	Cebus_capucinus	Carlito_syrichta	Callithrix_jacchus	Aotus_nancymaae	
0.030867	0.0071246	0.00078597	0.54972	0.0026937	0.0090219	0.016858	4.0589e-05	1.3004e-05	0.0001298	0.001664	0.0033359	0.015367	0.0017615	0.017463	3.4466e-05	0.0097917	0.0084869	0.02298	0.0053908	0.00049676	0.0015851	0.0010367	5.1783e-05	0.0017852	0.0001286	8.2384e-06	2.9971e-06	0.0001922	
0.030878	0.0071251	0.00078145	0.55144	0.0026904	0.0090178	0.016821	3.949e-05	1.2681e-05	0.00012228	0.0016616	0.003334	0.015369	0.0017406	0.017461	3.3622e-05	0.0097929	0.008486	0.022992	0.0053896	0.00049384	0.0015818	0.0010319	5.0734e-05	0.0017826	0.00012799	7.8617e-06	2.8416e-06	0.00018872	
0.03089	0.0071257	0.00077699	0.55325	0.0026872	0.0090138	0.016782	3.834e-05	1.2368e-05	0.00011492	0.0016593	0.003332	0.01537	0.0017256	0.017459	3.2736e-05	0.0097944	0.008485	0.023003	0.0053884	0.00049101	0.0015785	0.0010272	4.9704e-05	0.0017801	0.00012739	7.5572e-06	2.6962e-06	0.0001854	
0.030902	0.0071262	0.00077249	0.55501	0.0026839	0.0090097	0.016741	3.7151e-05	1.2042e-05	0.00010745	0.0016569	0.0033301	0.015372	0.0017084	0.017457	3.1808e-05	0.0097957	0.008484	0.023015	0.0053872	0.00048812	0.0015752	0.0010224	5.0199e-05	0.0017775	0.00012678	7.6343e-06	2.5425e-06	0.00018199	
0.030913	0.0071267	0.00076797	0.55673	0.0026806	0.0090056	0.016699	3.5928e-05	1.1704e-05	9.9909e-05	0.0016545	0.0033281	0.015373	0.0016891	0.017455	3.0842e-05	0.0097969	0.0084831	0.023026	0.005386	0.00048533	0.0015719	0.0010176	5.0683e-05	0.0017749	0.00012616	7.6946e-06	2.3813e-06	0.00017851	
0.030925	0.0071273	0.0007635	0.55853	0.0026773	0.0090016	0.01666	3.4763e-05	1.1376e-05	9.2497e-05	0.0016522	0.0033262	0.015375	0.0016737	0.017454	2.9943e-05	0.0097983	0.0084821	0.023038	0.0053848	0.0004826	0.0015687	0.0010129	5.1177e-05	0.0017723	0.00012554	7.7823e-06	2.2289e-06	0.00017515	
0.030937	0.0071279	0.00075906	0.56041	0.0026741	0.0089976	0.016623	3.3654e-05	1.1056e-05	8.5217e-05	0.0016499	0.0033242	0.015376	0.0016614	0.017453	2.9105e-05	0.0097998	0.0084812	0.02305	0.0053837	0.00047995	0.0015654	0.0010082	5.1679e-05	0.0017698	0.00012493	7.8995e-06	2.0849e-06	0.00017193	
0.030949	0.0071286	0.00075468	0.56237	0.002671	0.0089937	0.016589	3.2599e-05	1.0745e-05	7.8066e-05	0.0016476	0.0033223	0.015378	0.0016518	0.017453	2.8326e-05	0.0098016	0.0084802	0.023061	0.0053826	0.00047736	0.0015622	0.0010037	5.2192e-05	0.0017672	0.00012434	7.8138e-06	1.9487e-06	0.00016882	
0.030961	0.0071292	0.00075026	0.56428	0.0026678	0.0089897	0.016553	3.1509e-05	1.0421e-05	7.0823e-05	0.0016453	0.0033204	0.015379	0.0016407	0.017453	2.7509e-05	0.0098032	0.0084792	0.023073	0.0053814	0.00047473	0.001559	0.00099902	5.2692e-05	0.0017647	0.00012372	7.7081e-06	1.8048e-06	0.00016564	
0.030972	0.0071299	0.00074582	0.56616	0.0026646	0.0089857	0.016515	3.0387e-05	1.0085e-05	7.0151e-05	0.001643	0.0033184	0.015381	0.0016281	0.017452	2.6658e-05	0.0098048	0.0084783	0.023085	0.0053803	0.00047205	0.0015558	0.00099435	5.3181e-05	0.0017621	0.0001231	7.5838e-06	1.6539e-06	0.00016239	
0.030984	0.0071306	0.00074143	0.56666	0.0026615	0.0089818	0.016477	2.9233e-05	9.7618e-06	6.9499e-05	0.0016407	0.0033165	0.015383	0.0016138	0.017452	2.5773e-05	0.0098065	0.0084773	0.023097	0.0053792	0.00046946	0.0015525	0.00098976	5.368e-05	0.0017596	0.00012249	7.4376e-06	1.5119e-06	0.00015927	
0.030996	0.0071312	0.00073701	0.56715	0.0026583	0.0089778	0.016441	2.8132e-05	9.4259e-06	6.8815e-05	0.0016384	0.0033145	0.015384	0.0016025	0.017452	2.4947e-05	0.0098081	0.0084764	0.023108	0.005378	0.00046681	0.0015493	0.00098511	5.4168e-05	0.001757	0.00012186	7.3239e-06	1.3625e-06	0.00015607	
0.031008	0.0071318	0.00073263	0.56767	0.0026551	0.0089738	0.016407	2.7083e-05	9.0979e-06	6.8102e-05	0.0016361	0.0033126	0.015386	0.0015936	0.017452	2.4175e-05	0.0098097	0.0084754	0.02312	0.0053769	0.00046423	0.0015461	0.00098055	5.4645e-05	0.0017545	0.00012125	7.2377e-06	1.2203e-06	0.00015299	
0.03102	0.0071325	0.00072829	0.56822	0.0026519	0.0089698	0.016375	2.6079e-05	8.777e-06	6.7402e-05	0.0016338	0.0033106	0.015387	0.0015867	0.017452	2.3453e-05	0.0098114	0.0084744	0.023132	0.0053757	0.00046171	0.0015429	0.00097605	5.513e-05	0.0017519	0.00012064	7.1757e-06	1.0845e-06	0.00015002	
0.031032	0.0071332	0.00072393	0.56875	0.0026487	0.0089658	0.016342	2.5048e-05	8.445e-06	6.6673e-05	0.0016315	0.0033087	0.015389	0.0015788	0.017453	2.2702e-05	0.009813	0.0084735	0.023144	0.0053746	0.00045916	0.0015397	0.00097151	5.5604e-05	0.0017493	0.00012001	7.0981e-06	1.1142e-06	0.00014696	
0.031044	0.0071338	0.00071955	0.56927	0.0026455	0.0089619	0.016308	2.3992e-05	8.1032e-06	6.5917e-05	0.0016291	0.0033068	0.015391	0.0015699	0.017453	2.1925e-05	0.0098145	0.0084725	0.023155	0.0053734	0.00045657	0.0015365	0.00096693	5.6069e-05	0.0017468	0.00011938	7.0071e-06	1.1402e-06	0.00014386	
0.031056	0.0071345	0.0007152	0.56982	0.0026425	0.008958	0.016276	2.2981e-05	7.7683e-06	6.5175e-05	0.0016268	0.0033048	0.015392	0.001563	0.017453	2.1197e-05	0.0098162	0.0084715	0.023167	0.0053723	0.00045404	0.0015333	0.00096241	5.6541e-05	0.0017442	0.00011876	6.9398e-06	1.1681e-06	0.00014085	
0.031068	0.0071352	0.0007109	0.57039	0.0026394	0.0089542	0.016246	2.2013e-05	7.4397e-06	6.4445e-05	0.0016246	0.0033029	0.015394	0.0015294	0.017454	2.0513e-05	0.0098181	0.0084706	0.023179	0.0053712	0.00045157	0.0015302	0.00095797	5.7022e-05	0.0017417	0.00011814	6.8939e-06	1.1979e-06	0.00013795	
0.03108	0.007136	0.00070662	0.57099	0.0026364	0.0089504	0.016218	2.1078e-05	7.1155e-06	6.3722e-05	0.0016223	0.003301	0.015396	0.0015003	0.017456	1.9863e-05	0.0098201	0.0084696	0.023191	0.0053701	0.00044914	0.001527	0.00095358	5.7509e-05	0.0017391	0.00011753	6.8647e-06	1.2289e-06	0.00013513	
0.031093	0.0071368	0.00070234	0.57158	0.0026334	0.0089465	0.016188	2.0127e-05	6.7833e-06	6.2978e-05	0.0016201	0.0032991	0.015398	0.0014697	0.017457	1.9198e-05	0.009822	0.0084687	0.023203	0.005369	0.0004467	0.0015239	0.00094917	5.7988e-05	0.0017366	0.00011691	6.8272e-06	1.2568e-06	0.00013227	
0.031105	0.0071376	0.00069808	0.5722	0.0026304	0.0089428	0.016161	1.9208e-05	6.4549e-06	6.2239e-05	0.0016179	0.0032971	0.015399	0.001443	0.017459	1.8565e-05	0.0098241	0.0084677	0.023216	0.0053679	0.00044429	0.0015207	0.0009448	5.8473e-05	0.0017341	0.00011629	6.8051e-06	1.2859e-06	0.00012949	
0.031117	0.0071384	0.00069381	0.5728	0.0026274	0.008939	0.016133	1.8272e-05	6.1183e-06	6.1478e-05	0.0016156	0.0032952	0.015401	0.0014148	0.01746	1.7916e-05	0.0098261	0.0084667	0.023228	0.0053668	0.00044187	0.0015176	0.00094041	5.8949e-05	0.0017316	0.00011567	6.7742e-06	1.3117e-06	0.00012667	
0.031129	0.0071392	0.00068952	0.5734	0.0026244	0.0089351	0.016104	1.7322e-05	5.7739e-06	6.0695e-05	0.0016133	0.0032933	0.015403	0.0013851	0.017461	1.7252e-05	0.009828	0.0084658	0.02324	0.0053657	0.00043942	0.0015144	0.00093599	5.9418e-05	0.001729	0.00011503	6.7354e-06	1.3345e-06	0.00012381	
0.031142	0.00714	0.00068527	0.57403	0.0026214	0.0089314	0.016077	1.6406e-05	5.4342e-06	5.992e-05	0.0016111	0.0032914	0.015405	0.0012509	0.017463	1.6623e-05	0.0098301	0.0084648	0.023252	0.0053647	0.00043702	0.0015113	0.00093162	5.9893e-05	0.0017265	0.00011441	6.7137e-06	1.3588e-06	0.00012104	
0.031154	0.0071409	0.00068104	0.57467	0.0026185	0.0089276	0.016051	1.5519e-05	5.098e-06	5.9152e-05	0.0016089	0.0032894	0.015406	0.0011331	0.017465	1.6024e-05	0.0098324	0.0084639	0.023264	0.0053636	0.00043466	0.0015082	0.00092731	6.0374e-05	0.001724	0.00011378	6.7068e-06	1.3843e-06	0.00011834	
0.031167	0.0071418	0.00067685	0.57535	0.0026156	0.0089239	0.016026	1.466e-05	4.7652e-06	5.839e-05	0.0016067	0.0032875	0.015408	0.0010298	0.017467	1.5453e-05	0.0098347	0.0084629	0.023277	0.0053626	0.00043234	0.0015051	0.00092305	6.0861e-05	0.0017215	0.00011316	6.3612e-06	1.4109e-06	0.00011571	
0.031179	0.0071428	0.00067268	0.57604	0.0026127	0.0089203	0.016003	1.3829e-05	4.4357e-06	5.7633e-05	0.0016046	0.0032856	0.01541	0.0009391	0.01747	1.4909e-05	0.0098372	0.008462	0.023289	0.0053616	0.00043007	0.001502	0.00091884	6.1354e-05	0.001719	0.00011255	6.0514e-06	1.4389e-06	0.00011314	
0.031192	0.0071438	0.00066854	0.57677	0.0026099	0.0089166	0.015981	1.3024e-05	4.1093e-06	5.6883e-05	0.0016025	0.0032837	0.015412	0.00085942	0.017473	1.439e-05	0.0098398	0.008461	0.023302	0.0053606	0.00042784	0.001499	0.00091468	6.1853e-05	0.0017166	0.00011194	5.7742e-06	1.4681e-06	0.00011065	
0.031205	0.0071449	0.00066444	0.57752	0.0026071	0.0089131	0.015961	1.2247e-05	3.7868e-06	5.614e-05	0.0016004	0.0032818	0.015414	0.0007905	0.017477	1.3899e-05	0.0098425	0.0084601	0.023314	0.0053596	0.00042566	0.001496	0.00091058	6.2359e-05	0.0017141	0.00011133	5.5298e-06	1.4991e-06	0.00010822	
0.031218	0.0071459	0.00066037	0.5783	0.0026043	0.0089095	0.01594	1.1456e-05	3.4561e-06	5.5374e-05	0.0015983	0.0032799	0.015416	0.00071773	0.01748	1.3395e-05	0.0098451	0.0084591	0.023327	0.0053587	0.00042345	0.0014929	0.00090644	6.2856e-05	0.0017117	0.00011074	5.2709e-06	1.5321e-06	0.00010587	
0.031231	0.0071471	0.00065633	0.57912	0.0026016	0.0089059	0.01592	1.0693e-05	3.1295e-06	5.4617e-05	0.0015962	0.003278	0.015418	0.00065513	0.017484	1.2917e-05	0.009848	0.0084582	0.023339	0.0053577	0.00042129	0.0014899	0.00090237	6.3361e-05	0.0017092	0.00011014	5.0438e-06	1.567e-06	0.00010359	
0.031244	0.0071482	0.00065233	0.57997	0.0025989	0.0089024	0.015902	9.9585e-06	2.8068e-06	5.3868e-05	0.0015941	0.0032761	0.01542	0.00060142	0.017488	1.2467e-05	0.0098509	0.0084572	0.023352	0.0053568	0.00041917	0.0014869	0.00089835	6.3873e-05	0.0017068	0.00010956	4.8459e-06	1.6041e-06	0.00010137	
0.031257	0.0071495	0.00064836	0.58086	0.0025962	0.0088989	0.015885	9.252e-06	2.4883e-06	5.3129e-05	0.0015921	0.0032743	0.015422	0.00055562	0.017493	1.2042e-05	0.009854	0.0084563	0.023365	0.0053559	0.00041711	0.001484	0.00089439	6.4394e-05	0.0017044	0.00010898	4.6751e-06	1.6437e-06	9.9233e-05	
0.03127	0.0071507	0.00064442	0.58178	0.0025936	0.0088955	0.01587	8.5713e-06	2.1733e-06	5.2398e-05	0.0015901	0.0032724	0.015424	0.00051639	0.017498	1.1642e-05	0.0098573	0.0084554	0.023378	0.005355	0.00041509	0.001481	0.00089049	6.4924e-05	0.001702	0.0001084	4.528e-06	1.6856e-06	9.7157e-05	
0.031284	0.0071521	0.00064046	0.58269	0.0025911	0.0088921	0.015856	7.9216e-06	1.8635e-06	5.1681e-05	0.0015882	0.0032705	0.015426	0.00048419	0.017503	1.1269e-05	0.0098607	0.0084544	0.023391	0.0053542	0.00041313	0.0014781	0.00088666	6.5464e-05	0.0016996	0.00010781	4.4079e-06	1.7232e-06	9.5038e-05	
0.031297	0.0071535	0.00063654	0.58364	0.0025886	0.0088888	0.015844	7.3031e-06	1.5592e-06	5.0978e-05	0.0015863	0.0032687	0.015428	0.00045816	0.017509	1.0925e-05	0.0098643	0.0084535	0.023405	0.0053534	0.00041123	0.0014753	0.00088291	6.6016e-05	0.0016973	0.00010724	3.9297e-06	1.7646e-06	9.3004e-05	
0.031311	0.0071549	0.0006326	0.58457	0.0025861	0.0088855	0.015832	6.6638e-06	1.2446e-06	5.0244e-05	0.0015843	0.0032668	0.01543	0.00042883	0.017515	1.0562e-05	0.0098678	0.0084526	0.023418	0.0053526	0.00040929	0.0014724	0.0008791	6.6555e-05	0.0016949	0.00010665	3.9e-06	1.8009e-06	9.0916e-05	
0.031324	0.0071562	0.00062863	0.58547	0.0025835	0.0088821	0.01582	6.0537e-06	1.2513e-06	4.9482e-05	0.0015824	0.003265	0.015432	0.00040706	0.017521	1.0226e-05	0.0098712	0.0084517	0.023431	0.0053517	0.00040731	0.0014695	0.00087525	6.7082e-05	0.0016926	0.00010605	3.831e-06	1.8326e-06	8.8776e-05	
0.031338	0.0071576	0.00062471	0.58642	0.0025809	0.0088787	0.015808	5.4224e-06	1.251e-06	4.8689e-05	0.0015804	0.0032631	0.015434	0.00038245	0.017526	9.8701e-06	0.0098745	0.0084514	0.023404	0.0053513	0.00040529	0.0014666	0.00087148	6.7596e-05	0.0016902	0.00010545	3.7467e-06	1.8682e-06	8.6728e-05	
0.031351	0.0071589	0.00062083	0.58743	0.0025783	0.0088753	0.015797	4.8193e-06	1.2489e-06	4.7909e-05	0.0015784	0.0032613	0.015436	0.00030797	0.017531	9.5399e-06	0.009878	0.0084511	0.023378	0.005351	0.00040333	0.0014637	0.00086778	6.8122e-05	0.0016878	0.00010487	3.6829e-06	1.9074e-06	8.4757e-05	
0.031365	0.0071603	0.00061692	0.5884	0.0025757	0.0088719	0.015786	4.7918e-06	1.2404e-06	4.7101e-05	0.0015764	0.0032594	0.015438	0.00029666	0.017537	9.1933e-06	0.0098814	0.0084508	0.023352	0.0053506	0.00040134	0.0014609	0.00086403	6.8635e-05	0.0016854	0.00010427	3.6058e-06	1.9418e-06	8.2738e-05	
0.031378	0.0071616	0.00061298	0.58936	0.0025731	0.0088684	0.015774	4.7571e-06	1.2252e-06	4.6263e-05	0.0015744	0.0032576	0.01544	0.00028402	0.017542	8.83e-06	0.0098847	0.0084505	0.023325	0.0053502	0.0003993	0.001458	0.00086024	6.9136e-05	0.001683	0.00010367	3.515e-06	1.9728e-06	8.0669e-05	
0.031392	0.0071629	0.00060909	0.59036	0.0025705	0.008865	0.015763	4.7278e-06	1.2084e-06	4.5439e-05	0.0015725	0.0032557	0.015443	0.00027377	0.017548	8.492e-06	0.0098882	0.0084502	0.023299	0.0053499	0.00039733	0.0014551	0.00085651	6.9648e-05	0.0016806	0.00010307	3.4446e-06	2.0072e-06	7.8678e-05	
0.031405	0.0071643	0.00060517	0.59133	0.0025679	0.0088616	0.015751	4.6914e-06	1.1851e-06	4.4585e-05	0.0015705	0.0032538	0.015445	0.00026231	0.017553	8.1378e-06	0.0098916	0.0084499	0.023273	0.0053495	0.00039531	0.0014522	0.00085274	7.0149e-05	0.0016782	0.00010245	3.3611e-06	2.0369e-06	7.6639e-05	
0.031419	0.0071657	0.0006013	0.59236	0.0025654	0.0088583	0.015741	4.6612e-06	1.1604e-06	4.3748e-05	0.0015686	0.003252	0.015447	0.00022721	0.017559	7.811e-06	0.0098952	0.0084496	0.023247	0.0053491	0.00039336	0.0014494	0.00084905	7.0662e-05	0.0016759	0.00010185	3.2996e-06	2.0708e-06	7.4684e-05	
0.031433	0.0071671	0.0005974	0.59337	0.0025628	0.0088549	0.015731	4.6239e-06	1.1292e-06	4.2882e-05	0.0015666	0.0032501	0.015449	0.0001882	0.017565	7.4684e-06	0.0098987	0.0084493	0.02322	0.0053488	0.00039138	0.0014465	0.00084531	7.1163e-05	0.0016735	0.00010124	3.2255e-06	2.0999e-06	7.2682e-05	
0.031447	0.0071685	0.00059355	0.59443	0.0025603	0.0088515	0.015722	4.5919e-06	1.0966e-06	4.2032e-05	0.0015647	0.0032483	0.015451	0.00015637	0.017571	7.1494e-06	0.0099023	0.008449	0.023194	0.0053484	0.00038945	0.0014436	0.00084164	7.1676e-05	0.0016711	0.00010063	3.17e-06	2.1333e-06	7.0764e-05	
0.03146	0.0071699	0.00058966	0.59546	0.0025578	0.0088481	0.015712	4.5523e-06	1.0573e-06	4.1151e-05	0.0015627	0.0032464	0.015453	0.00015176	0.017577	6.813e-06	0.0099059	0.0084487	0.023168	0.0053481	0.00038749	0.0014408	0.00083793	7.2177e-05	0.0016687	0.00010002	3.1007e-06	2.1613e-06	6.8792e-05	
0.031474	0.0071713	0.00058576	0.59646	0.0025552	0.0088447	0.015701	4.5057e-06	1.0114e-06	4.0241e-05	0.0015607	0.0032446	0.015455	0.00014657	0.017582	6.4608e-06	0.0099094	0.0084484	0.023142	0.0053477	0.00038549	0.0014379	0.00083417	7.2666e-05	0.0016663	9.9387e-05	3.0186e-06	2.1845e-06	6.6773e-05	
0.031488	0.0071728	0.00058189	0.59752	0.0025526	0.0088414	0.015692	4.4651e-06	9.6417e-07	3.9347e-05	0.0015588	0.0032427	0.015458	0.00013036	0.017589	6.1351e-06	0.0099131	0.0084481	0.023116	0.0053474	0.00038355	0.001435	0.00083048	7.3167e-05	0.001664	9.8767e-05	2.9575e-06	2.2121e-06	6.4837e-05	
0.031501	0.0071742	0.00057808	0.59869	0.0025501	0.008838	0.015681	4.417e-06	9.1041e-07	3.8422e-05	0.0015568	0.0032408	0.01546	0.00012833	0.017594	5.7921e-06	0.0099167	0.0084478	0.02309	0.005347	0.00038158	0.0014322	0.00082675	7.3656e-05	0.0016616	9.8156e-05	2.8824e-06	2.2338e-06	6.2836e-05	
0.031515	0.0071756	0.0005743	0.59992	0.0025476	0.0088346	0.015673	4.3749e-06	8.5528e-07	3.7513e-05	0.0015549	0.003239	0.015462	0.00012094	0.017601	5.4747e-06	0.0099204	0.0084476	0.023064	0.0053467	0.00037967	0.0014293	0.0008231	7.4157e-05	0.0016592	9.7554e-05	2.8274e-06	2.26e-06	6.0918e-05	
0.031529	0.0071771	0.0005705	0.60112	0.002545	0.0088313	0.015666	4.3379e-06	1.002e-06	3.6573e-05	0.0015529	0.0032371	0.015464	0.00011515	0.017607	5.1787e-06	0.0099241	0.0084473	0.023038	0.0053464	0.00037771	0.0014265	0.00081939	7.4645e-05	0.0016568	9.6941e-05	2.7371e-06	2.2812e-06	5.8954e-05	
0.031543	0.0071786	0.00056674	0.60137	0.0025425	0.0088279	0.015659	4.2939e-06	1.1491e-06	3.5646e-05	0.001551	0.0032353	0.015467	0.00010863	0.017614	4.8684e-06	0.0099279	0.008447	0.023012	0.005346	0.00037582	0.0014236	0.00081575	7.5144e-05	0.0016545	9.6336e-05	2.6279e-06	2.3062e-06	5.7061e-05	
0.031557	0.0071802	0.00056301	0.60165	0.0025401	0.0088247	0.015655	4.2109e-06	1.2972e-06	3.4733e-05	0.0015491	0.0032334	0.015469	0.00010063	0.017621	4.5992e-06	0.009932	0.0084467	0.022987	0.0053458	0.00037398	0.0014208	0.00081219	7.5657e-05	0.0016521	9.5738e-05	2.4876e-06	2.3351e-06	5.5239e-05	
0.031571	0.0071817	0.00055927	0.60191	0.0025376	0.0088214	0.015652	4.1337e-06	1.4377e-06	3.3792e-05	0.0015472	0.0032316	0.015471	9.474e-05	0.017628	4.3481e-06	0.0099359	0.0084464	0.022961	0.0053455	0.00037211	0.001418	0.00080858	7.6157e-05	0.0016498	9.5128e-05	2.2892e-06	2.359e-06	5.3371e-05	
0.031586	0.0071834	0.00055556	0.6022	0.0025352	0.0088182	0.015651	4.0627e-06	1.5792e-06	3.2866e-05	0.0015454	0.0032297	0.015473	9.0091e-05	0.017636	4.116e-06	0.0099401	0.0084461	0.022936	0.0053452	0.0003703	0.0014152	0.00080505	7.6671e-05	0.0016474	9.4527e-05	2.125e-06	2.3875e-06	5.158e-05	
0.0316	0.007185	0.00055183	0.60248	0.0025328	0.0088149	0.01565	3.9847e-06	1.7132e-06	3.4087e-05	0.0015435	0.0032279	0.015476	8.4869e-05	0.017643	3.8719e-06	0.0099441	0.0084458	0.02291	0.0053449	0.00036845	0.0014124	0.00081084	7.7172e-05	0.0016451	9.3915e-05	1.9429e-06	2.411e-06	4.9745e-05	
0.031614	0.0071865	0.00054814	0.60278	0.0025303	0.0088116	0.01565	3.912e-06	1.8391e-06	3.5276e-05	0.0015416	0.003226	0.015478	8.0649e-05	0.01765	3.644e-06	0.0099481	0.0084455	0.022884	0.0053446	0.00036656	0.0014096	0.00081658	7.766e-05	0.0016427	9.331e-05	1.7891e-06	2.4385e-06	4.7977e-05	
