Vicugna_pacos	Tursiops_truncatus	Sus_scrofa	Rangifer_tarandus	Platanista_minor	Platanista_gangetica	Physeter_catodon	Ovis_aries	Orcinus_orca	Neophocaena_asiaeorientalis	Muntiacus_muntjak	Monodon_monoceros	Lipotes_vexillifer	Hippopotamus_amphibius	Giraffa_camelopardalis	Cervus_elaphus	Catagonus_wagneri	Capra_hircus	Camelus_ferus	Camelus_bactrianus	Bubalus_bubalis	Bos_taurus	Bos_mutus	Bison_bison	Balaenoptera_acutorostrata	Axis_porcinus	
0.00098003	0.033901	1.9556e-05	0.00011404	0.01	0.0036595	0.0012619	0.16065	0.00035303	0.00042127	0.0054524	0.0014761	0.0051992	0.0085655	9.6062e-06	0.00066799	0.00025508	0.0036013	0.01	0.01	5.8384e-05	0.00048642	0.71644	0.0029844	0.00031598	0.030439	
0.0009789	0.033114	1.847e-05	0.00010623	0.01	0.0036567	0.0012516	0.1608	0.00034986	0.00041946	0.0054382	0.0014689	0.0051982	0.0081287	9.4116e-06	0.00066236	0.00025199	0.0036014	0.01	0.01	5.7792e-05	0.00048157	0.71705	0.0029811	0.00031431	0.03045	
0.00097772	0.032312	1.8435e-05	9.8243e-05	0.01	0.0036538	0.0012411	0.16096	0.00034668	0.00041763	0.0054234	0.0014616	0.0051969	0.0076488	9.2046e-06	0.00065668	0.00024856	0.0036014	0.01	0.01	5.7172e-05	0.00047667	0.71765	0.0029778	0.00031256	0.030461	
0.0009765	0.031498	1.8382e-05	9.7614e-05	0.01	0.0036509	0.0012302	0.16111	0.00034348	0.00041574	0.0054081	0.0014702	0.0051955	0.0071292	8.9866e-06	0.00065095	0.00024501	0.0036015	0.01	0.01	5.6524e-05	0.00047173	0.71825	0.0029744	0.00031076	0.030472	
0.00097525	0.030674	1.8317e-05	9.6945e-05	0.01	0.0036481	0.0012191	0.16126	0.00034027	0.00041383	0.0053924	0.0014787	0.005194	0.006576	8.759e-06	0.0006452	0.00024136	0.0036015	0.01	0.01	5.5855e-05	0.00046676	0.71885	0.0029711	0.00030892	0.030483	
0.00097406	0.029867	1.8272e-05	9.6317e-05	0.01	0.0036452	0.0012085	0.16141	0.00033707	0.00041196	0.0053775	0.0014875	0.0051927	0.0060914	8.5413e-06	0.0006395	0.00023792	0.0036015	0.01	0.01	5.5201e-05	0.00046185	0.71946	0.0029678	0.00030716	0.030494	
0.00097293	0.029075	1.8247e-05	9.5727e-05	0.01	0.0036424	0.0011984	0.16157	0.00033389	0.00041014	0.0053635	0.0014964	0.0051917	0.0056646	8.3326e-06	0.00063385	0.00023467	0.0036017	0.01	0.01	5.4563e-05	0.00045699	0.72007	0.0029645	0.0003055	0.030505	
0.00097187	0.028299	1.8241e-05	9.5174e-05	0.01	0.0036396	0.0011888	0.16173	0.00033073	0.00040835	0.0053501	0.0015055	0.005191	0.0052876	8.1324e-06	0.00062826	0.0002316	0.0036019	0.01	0.01	5.3939e-05	0.00045218	0.72069	0.0029612	0.00030391	0.030517	
0.00097077	0.027513	1.8223e-05	9.4584e-05	0.01	0.0036368	0.0011789	0.16189	0.00032756	0.00040654	0.0053365	0.0015145	0.0051901	0.0048887	7.9236e-06	0.00062264	0.00022844	0.003602	0.01	0.01	5.3294e-05	0.00044735	0.72131	0.0029579	0.00030228	0.030529	
0.00096965	0.02672	1.8194e-05	9.4035e-05	0.01	0.003634	0.0011689	0.16204	0.00032438	0.00040472	0.0053235	0.0015235	0.0051892	0.0044698	7.7068e-06	0.00061707	0.00022522	0.0036022	0.01	0.01	5.2628e-05	0.00044249	0.72193	0.0029546	0.00030062	0.030541	
0.00095989	0.025944	1.8187e-05	9.3527e-05	0.01	0.0036312	0.0011594	0.16221	0.00032121	0.00040294	0.0053114	0.0015326	0.0051885	0.0041044	7.4996e-06	0.00061155	0.00022219	0.0035878	0.01	0.01	5.198e-05	0.00043769	0.72256	0.0029513	0.00029905	0.030554	
0.00095031	0.025183	1.7462e-05	9.3058e-05	0.01	0.0036284	0.0011504	0.16238	0.00031807	0.00040119	0.0053001	0.001542	0.0051881	0.0037842	7.3013e-06	0.0006061	0.0002194	0.0035737	0.01	0.01	5.1347e-05	0.00043294	0.7232	0.002948	0.00029756	0.030567	
0.0009409	0.024435	1.678e-05	9.262e-05	0.01	0.0036256	0.0011417	0.16255	0.00031494	0.00039949	0.0052894	0.0015516	0.005188	0.0034981	7.1097e-06	0.00060068	0.00021674	0.0035596	0.01	0.01	5.0726e-05	0.00042825	0.72384	0.0029448	0.00029615	0.03058	
0.00093165	0.023701	1.6142e-05	9.2216e-05	0.01	0.0036229	0.0011334	0.16272	0.00031182	0.00039781	0.0052794	0.0015613	0.0051881	0.0032449	6.9255e-06	0.00059532	0.00021423	0.0035458	0.01	0.01	5.0119e-05	0.0004236	0.72449	0.0029415	0.00028769	0.030594	
0.00092254	0.022979	1.554e-05	9.184e-05	0.01	0.0036202	0.0011254	0.1629	0.00030872	0.00039618	0.00527	0.0015712	0.0051884	0.0030172	6.747e-06	0.00059	0.00021184	0.003532	0.01	0.01	4.9521e-05	0.000419	0.72515	0.0029383	0.00027949	0.030608	
0.0009134	0.02225	1.4922e-05	9.1434e-05	0.01	0.0036174	0.0011173	0.16308	0.00030561	0.00039452	0.0052603	0.0015811	0.0051886	0.0027797	6.562e-06	0.00058466	0.00020941	0.0035182	0.01	0.01	4.8905e-05	0.00041438	0.72581	0.0029351	0.00027121	0.030622	
0.00090422	0.021516	1.4291e-05	9.1001e-05	0.01	0.0036147	0.0011091	0.16325	0.00030249	0.00039286	0.0052505	0.0015909	0.0051888	0.0025335	6.3708e-06	0.0005793	0.00020694	0.0035044	0.01	0.01	4.8273e-05	0.00040974	0.72646	0.0029318	0.00026286	0.030635	
0.00089519	0.020795	1.3699e-05	9.0598e-05	0.01	0.0036119	0.0011012	0.16324	0.00029939	0.00039122	0.0052413	0.0016009	0.0051892	0.0023137	6.186e-06	0.00057398	0.0002046	0.0034908	0.01	0.01	4.7653e-05	0.00040515	0.72713	0.0029286	0.00025478	0.03065	
0.0008863	0.020084	1.3139e-05	9.0222e-05	0.01	0.0036092	0.0010937	0.16324	0.00029629	0.00038962	0.0052327	0.0016111	0.0051899	0.0021152	6.0062e-06	0.00056871	0.00020236	0.0034773	0.01	0.01	4.7041e-05	0.00040059	0.7278	0.0029254	0.00024694	0.030664	
0.00087755	0.019384	1.2609e-05	8.987e-05	0.01	0.0036065	0.0010864	0.16323	0.00029321	0.00038805	0.0052246	0.0016214	0.0051907	0.0019359	5.8314e-06	0.00056347	0.00020024	0.0034639	0.01	0.01	4.6438e-05	0.00039608	0.72848	0.0029222	0.00023933	0.030679	
0.00086894	0.018694	1.2108e-05	8.9492e-05	0.01	0.0036039	0.0010795	0.16322	0.00029015	0.0003865	0.0052164	0.0016319	0.0051918	0.0017738	5.6507e-06	0.00055821	0.00019822	0.0034505	0.01	0.01	4.5818e-05	0.00039155	0.72916	0.0029189	0.00023194	0.030694	
0.00086045	0.018015	1.1634e-05	8.9139e-05	0.01	0.0036012	0.0010728	0.16322	0.00028709	0.00038499	0.0052087	0.0016426	0.005193	0.0016275	5.4747e-06	0.00055299	0.0001963	0.0034373	0.01	0.01	4.5208e-05	0.00038706	0.72984	0.0029157	0.00022477	0.030709	
0.00085211	0.017347	1.119e-05	8.8815e-05	0.01	0.0035985	0.0010664	0.16321	0.00028405	0.00038351	0.0052015	0.0016535	0.0051946	0.0014969	5.3043e-06	0.00054782	0.00019448	0.0034242	0.01	0.01	4.4607e-05	0.00038261	0.73054	0.0029125	0.00021783	0.030724	
0.00084374	0.016673	1.0734e-05	8.8463e-05	0.01	0.0035959	0.0010598	0.16321	0.00028101	0.00038201	0.0051942	0.0016643	0.005196	0.00136	5.1276e-06	0.00054262	0.00019263	0.003411	0.01	0.01	4.399e-05	0.00037814	0.73123	0.0029093	0.00021082	0.03074	
0.0008355	0.016011	1.0306e-05	8.8141e-05	0.01	0.0035932	0.0010536	0.16321	0.00027797	0.00038054	0.0051875	0.0016754	0.0051977	0.0012383	4.9564e-06	0.00053747	0.00019088	0.003398	0.01	0.01	4.3383e-05	0.00037372	0.73193	0.0029061	0.00020405	0.030756	
0.00082742	0.015361	9.9063e-06	8.7851e-05	0.01	0.0035906	0.0010477	0.16321	0.00027495	0.00037911	0.0051815	0.0016867	0.0051996	0.0011304	4.7911e-06	0.00053237	0.00018924	0.0033851	0.01	0.01	4.2787e-05	0.00036935	0.73264	0.002903	0.00019751	0.030772	
0.0008195	0.014723	9.5358e-06	8.7596e-05	0.01	0.003588	0.0010421	0.16321	0.00027195	0.00037772	0.0051761	0.0016982	0.0051776	0.001036	4.6319e-06	0.00052731	0.00018771	0.0033724	0.01	0.01	4.2205e-05	0.00036503	0.73335	0.0028998	0.00019122	0.030788	
0.00081173	0.014096	9.1907e-06	8.7374e-05	0.01	0.0035854	0.0010368	0.16321	0.00026896	0.00037635	0.0051714	0.0017099	0.005156	0.00095272	4.4781e-06	0.0005223	0.00018628	0.0033599	0.01	0.01	4.1635e-05	0.00036075	0.73408	0.0028967	0.00018515	0.030805	
0.00080413	0.013484	8.8791e-06	8.7194e-05	0.01	0.0035828	0.0010318	0.16305	0.00026599	0.00037503	0.0051674	0.001722	0.0051352	0.00088159	4.3313e-06	0.00051735	0.00017952	0.0033475	0.01	0.01	4.108e-05	0.00035654	0.73482	0.0028935	0.00017934	0.030823	
0.00079671	0.012886	8.5951e-06	8.7058e-05	0.01	0.0035803	0.0010271	0.1629	0.00026304	0.00037375	0.0051642	0.0017343	0.0051149	0.00082121	4.1915e-06	0.00051246	0.00017316	0.0033354	0.01	0.01	4.0541e-05	0.00035238	0.73557	0.0028904	0.00017378	0.030841	
0.00078921	0.012279	8.2946e-06	8.6879e-05	0.01	0.0035777	0.0010222	0.16275	0.00026008	0.00037245	0.0051606	0.0017465	0.0050943	0.00075435	4.0433e-06	0.00050753	0.00016663	0.0033231	0.01	0.01	3.9979e-05	0.00034818	0.73631	0.0028873	0.00016811	0.030858	
0.00078189	0.011685	7.1293e-06	8.6744e-05	0.01	0.0035752	0.0010177	0.1626	0.00025714	0.00037118	0.0051579	0.001759	0.0050744	0.00069769	3.902e-06	0.00050266	0.00016061	0.0033111	0.01	0.01	3.9433e-05	0.00034405	0.73707	0.0028842	0.00016269	0.030877	
0.00077447	0.011083	6.8955e-06	8.6565e-05	0.01	0.0035727	0.001013	0.16245	0.00025418	0.0003699	0.0051547	0.0017714	0.0050542	0.00063441	3.752e-06	0.00049775	0.00015283	0.0032989	0.01	0.01	3.8864e-05	0.00033988	0.73782	0.0028811	0.00015714	0.030895	
0.00076723	0.010494	6.6853e-06	8.6432e-05	0.01	0.0035701	0.0010087	0.1623	0.00025124	0.00036865	0.0051523	0.0017841	0.0050347	0.00058123	3.6093e-06	0.0004929	0.00014556	0.003287	0.01	0.01	3.8311e-05	0.00033576	0.73858	0.002878	0.00015186	0.030913	
0.0007599	0.0098992	6.8905e-06	8.6255e-05	0.01	0.0035676	0.0010041	0.16215	0.00024829	0.00036738	0.0051495	0.0017966	0.0050148	0.00052158	3.4579e-06	0.00048801	0.00013769	0.003275	0.01	0.01	3.7734e-05	0.00033161	0.73934	0.0028749	0.00014645	0.030932	
0.00075249	0.0092943	7.0808e-06	8.6033e-05	0.01	0.0035651	0.00099946	0.162	0.00024532	0.00036608	0.0051462	0.0018089	0.0049947	0.00054479	3.2978e-06	0.00048308	0.00012956	0.0032629	0.01	0.01	3.7132e-05	0.00032742	0.74009	0.0028718	0.00014092	0.03095	
0.00074526	0.0087041	7.2938e-06	8.5859e-05	0.01	0.0035625	0.00099511	0.16186	0.00024237	0.00036483	0.0051438	0.0018215	0.0049752	0.00057421	3.1449e-06	0.00047821	0.00012197	0.003251	0.01	0.01	3.6548e-05	0.0003233	0.74086	0.0028687	0.00013564	0.030968	
0.00073794	0.008103	7.4896e-06	8.5635e-05	0.01	0.00356	0.00099058	0.16171	0.0002394	0.00036355	0.0051409	0.001834	0.0049553	0.00059822	2.9826e-06	0.0004733	0.00011409	0.0032389	0.01	0.01	3.5938e-05	0.00031913	0.74162	0.0028656	0.00013023	0.030987	
0.00073081	0.0075182	7.712e-06	8.5465e-05	0.01	0.0035575	0.0009864	0.16156	0.00023646	0.00036231	0.005139	0.0018468	0.0049362	0.00062974	2.8286e-06	0.00046845	0.00010679	0.0032271	0.01	0.01	3.5348e-05	0.00031502	0.7424	0.0028625	0.0001251	0.031006	
0.0007236	0.0069225	7.9163e-06	8.5245e-05	0.01	0.0035549	0.00098205	0.16141	0.0002335	0.00036105	0.0051365	0.0018595	0.0049167	0.00065552	2.6651e-06	0.00046356	9.9203e-05	0.0032298	0.01	0.01	3.4731e-05	0.00031088	0.74317	0.0028593	0.00011983	0.031024	
0.0007166	0.0063431	7.9093e-06	8.508e-05	0.01	0.0035524	0.00097804	0.16125	0.00023056	0.00035984	0.005135	0.0018725	0.004898	0.00068941	2.5098e-06	0.00045874	9.4478e-05	0.0032325	0.01	0.01	3.4135e-05	0.0003068	0.74395	0.0028563	0.00011483	0.031043	
0.00070949	0.0057528	7.8883e-06	8.4864e-05	0.01	0.0035499	0.00097386	0.1611	0.00022761	0.00035859	0.0051329	0.0018853	0.0048788	0.00071729	2.3451e-06	0.00045388	8.9563e-05	0.0032352	0.01	0.01	3.3513e-05	0.00030268	0.74473	0.0028531	0.0001097	0.031062	
0.0007023	0.0051529	7.8546e-06	8.4604e-05	0.01	0.0035473	0.00096952	0.16094	0.00022464	0.00035733	0.0051305	0.001898	0.0048594	0.00074003	2.1718e-06	0.00044897	8.4482e-05	0.0032379	0.01	0.01	3.2865e-05	0.00029852	0.7455	0.00285	0.00010444	0.031081	
0.00069502	0.0045419	7.8081e-06	8.4292e-05	0.01	0.0035448	0.00096499	0.16078	0.00022165	0.00035603	0.0051275	0.0019104	0.0048397	0.00075711	1.9888e-06	0.00044402	7.9226e-05	0.0032404	0.01	0.01	3.4078e-05	0.00029432	0.74627	0.0028469	9.9043e-05	0.0311	
0.00068763	0.0039196	7.7472e-06	8.393e-05	0.01	0.0035423	0.00096027	0.16062	0.00021864	0.00035471	0.005124	0.0019227	0.0048195	0.0007687	1.796e-06	0.00043903	7.3761e-05	0.003243	0.01	0.01	3.5257e-05	0.00029007	0.74703	0.0028437	9.3496e-05	0.031118	
0.00068015	0.0032859	7.6717e-06	8.3518e-05	0.01	0.0035397	0.00095536	0.16046	0.00021562	0.00035336	0.0051199	0.0019347	0.004799	0.00077491	1.5933e-06	0.00043398	6.8079e-05	0.0032455	0.01	0.01	3.6405e-05	0.00028578	0.74778	0.0028405	8.7796e-05	0.031136	
0.00067256	0.0026407	7.5815e-06	8.3054e-05	0.01	0.0035372	0.00095025	0.16029	0.00021258	0.00035197	0.0051154	0.0019466	0.0047781	0.00077578	1.3805e-06	0.00042889	6.2174e-05	0.0032479	0.01	0.01	3.7521e-05	0.00028144	0.74854	0.0028374	8.1941e-05	0.031153	
0.00066518	0.00256	7.4519e-06	8.2544e-05	0.01	0.0035347	0.00094496	0.16012	0.0002095	0.00035057	0.0051104	0.0019583	0.0047569	0.00077188	1.1585e-06	0.00042376	6.1137e-05	0.0032503	0.01	0.01	3.8608e-05	0.00027706	0.74928	0.0028341	7.5949e-05	0.031171	
0.00065772	0.0024758	7.3084e-06	8.1988e-05	0.01	0.0035321	0.00093949	0.15995	0.0002064	0.00034913	0.005105	0.0019698	0.0047353	0.00076318	9.2705e-07	0.00041859	6.0053e-05	0.0032526	0.01	0.01	3.9666e-05	0.00027264	0.75003	0.0028309	6.9817e-05	0.031188	
0.00065017	0.0023882	7.1507e-06	8.1385e-05	0.01	0.0035295	0.00093384	0.15978	0.00020328	0.00034767	0.0050991	0.0019812	0.0047135	0.00074965	6.8611e-07	0.00041338	5.8919e-05	0.0032549	0.01	0.01	4.0696e-05	0.00026818	0.75077	0.0028277	6.3542e-05	0.031204	
0.00064282	0.0023025	7.0158e-06	8.084e-05	0.01	0.0035269	0.0009286	0.15962	0.00020019	0.00034628	0.0050942	0.0019807	0.0046924	0.00074319	4.5532e-07	0.00040824	5.7884e-05	0.0032573	0.01	0.01	4.1757e-05	0.00026379	0.75152	0.0028245	5.7596e-05	0.031222	
0.00063539	0.0022133	6.867e-06	8.0261e-05	0.01	0.0035244	0.00092319	0.15945	0.00019708	0.00034486	0.0050888	0.0019802	0.004671	0.00073196	4.3985e-07	0.00040306	5.6801e-05	0.0032596	0.01	0.01	4.279e-05	0.00025937	0.75227	0.0028212	5.151e-05	0.031239	
0.00062814	0.0021258	6.743e-06	7.9732e-05	0.01	0.0035218	0.00091813	0.15929	0.000194	0.00034348	0.0050843	0.0019798	0.0046503	0.00072683	4.2366e-07	0.00039794	5.5806e-05	0.0032621	0.01	0.01	4.3849e-05	0.000255	0.75303	0.002818	4.5713e-05	0.031257	
0.00062081	0.0020347	6.6056e-06	7.9156e-05	0.01	0.0035193	0.00091291	0.15912	0.00019089	0.00034208	0.0051352	0.0019793	0.0046294	0.00071699	4.0235e-07	0.00039279	5.4763e-05	0.0032644	0.01	0.01	4.488e-05	0.0002506	0.75378	0.0028148	4.4913e-05	0.031274	
0.00061339	0.0019402	6.4545e-06	7.8534e-05	0.01	0.0035167	0.00090758	0.15895	0.00018778	0.00034065	0.0051851	0.0019787	0.0046081	0.00070237	3.7591e-07	0.00038759	5.3673e-05	0.0032668	0.01	0.01	4.5882e-05	0.00024616	0.75453	0.0028115	4.4085e-05	0.031292	
0.00060588	0.0018422	6.2895e-06	7.7866e-05	0.01	0.0035141	0.00090207	0.15878	0.00018464	0.0003392	0.0052338	0.001978	0.0045866	0.00068292	3.4433e-07	0.00038235	5.2535e-05	0.0032691	0.01	0.01	4.6856e-05	0.00024168	0.75528	0.0028083	4.3228e-05	0.031309	
0.00059858	0.0017462	6.1465e-06	7.7255e-05	0.01	0.0035115	0.00089697	0.15862	0.00018153	0.00033779	0.0052851	0.0019776	0.0045658	0.00067048	3.1237e-07	0.00037718	5.1494e-05	0.0032715	0.01	0.01	4.7861e-05	0.00023727	0.75604	0.0028051	4.2424e-05	0.031326	
0.00059118	0.0016464	5.9882e-06	7.6593e-05	0.01	0.0035089	0.00089166	0.15845	0.00017841	0.00033636	0.0053352	0.001977	0.0045447	0.00065276	2.7505e-07	0.00037196	5.0398e-05	0.0032739	0.01	0.01	4.8834e-05	0.00023281	0.75679	0.0028018	4.1587e-05	0.031344	
0.00058396	0.0015482	5.8489e-06	7.598e-05	0.01	0.0035064	0.0008867	0.15829	0.0001753	0.00033497	0.0053875	0.0019766	0.0045242	0.00056055	2.37e-07	0.00036681	4.9387e-05	0.0032763	0.01	0.01	4.9764e-05	0.00022832	0.75754	0.0027985	4.0797e-05	0.031362	
0.00057692	0.0014514	5.7275e-06	7.5415e-05	0.01	0.0035038	0.00088209	0.15813	0.00017221	0.00033364	0.0054423	0.0019637	0.0045045	0.00048265	1.981e-07	0.00036173	4.8455e-05	0.0032789	0.01	0.01	5.0722e-05	0.00022388	0.75831	0.0027953	4.005e-05	0.03138	
0.00057008	0.0013565	5.6285e-06	7.4905e-05	0.01	0.0035013	0.00087783	0.15798	0.00016915	0.00033235	0.0054999	0.0019513	0.0044854	0.00041824	1.5855e-07	0.00035672	4.5265e-05	0.0032815	0.01	0.01	5.1712e-05	0.00021952	0.75908	0.0027921	3.935e-05	0.031399	
0.00056316	0.0012628	5.517e-06	7.4349e-05	0.01	0.0034988	0.00087388	0.15782	0.00016611	0.00033111	0.0055562	0.0019392	0.004467	0.00037146	1.8796e-07	0.00035166	4.1961e-05	0.0032841	0.01	0.01	5.2672e-05	0.00021512	0.75985	0.0027888	3.8691e-05	0.031418	
0.00055613	0.0011656	5.3925e-06	7.3744e-05	0.01	0.0034963	0.00086975	0.15767	0.00016305	0.00032984	0.0056112	0.0019269	0.0044483	0.000318	2.1237e-07	0.00034656	3.8533e-05	0.0032869	0.01	0.01	5.3601e-05	0.00021068	0.76062	0.0027856	3.8003e-05	0.031437	
0.00054931	0.0010699	5.2867e-06	7.3192e-05	0.01	0.0034938	0.00086596	0.15753	0.00016002	0.00032861	0.005669	0.001915	0.0044303	0.00027379	2.3564e-07	0.00034153	3.536e-05	0.0032897	0.01	0.01	5.4562e-05	0.00020631	0.7614	0.0027823	3.7359e-05	0.031456	
0.00049962	0.00028601	5.2062e-06	6.8663e-05	0.01	0.0034766	0.00083873	0.15649	0.00015148	0.00031987	0.0060642	0.0018307	0.0043028	0.00014669	2.8692e-07	0.00030586	2.5737e-05	0.0033094	0.01	0.01	6.0863e-05	0.00017528	0.76684	0.0027595	3.2647e-05	0.031588	
0.00049236	0.00015814	5.3595e-06	6.7796e-05	0.01	0.0034741	0.00083461	0.15634	0.0001516	0.00031858	0.0061244	0.0018183	0.0042842	0.00014386	2.783e-07	0.0003008	2.5087e-05	0.0033121	0.01	0.01	6.1703e-05	0.0001708	0.76762	0.0027562	3.1926e-05	0.031608	
0.00048501	0.0001436	5.4996e-06	6.6883e-05	0.01	0.0034716	0.00083034	0.15619	0.00015171	0.00031726	0.0061838	0.0018059	0.0042653	0.00013821	3.8882e-07	0.00029571	2.4404e-05	0.0033148	0.01	0.01	6.2514e-05	0.00016627	0.76839	0.0027529	3.118e-05	0.031627	
