Rousettus_aegyptiacus	Rhinolophus_ferrumequinum	Pteropus_giganteus	Pipistrellus_pipistrellus	Phyllostomus_discolor	Myotis_myotis	Myotis_lucifugus	Molossus_molossus	Miniopterus_natalensis	Megaderma_lyra	Hipposideros_armiger	Eptesicus_fuscus	Desmodus_rotundus	Artibeus_jamaicensis	Aeorestes_cinereus	
3.6861e-05	1.3923e-06	2.3526e-05	6.3878e-05	0.3261	0.011007	0.0043508	0.19409	0.039356	0.84968	3.8611e-06	0.00010375	1.791e-06	4.7997e-05	0.99561	
3.335e-05	1.3332e-06	2.3518e-05	6.3272e-05	0.32669	0.010993	0.0043803	0.18354	0.040189	0.84873	3.4273e-06	0.00010138	1.7876e-06	4.6146e-05	0.99577	
3.0105e-05	1.2849e-06	2.3526e-05	6.2616e-05	0.3276	0.010978	0.0044091	0.16435	0.040833	0.84802	3.05e-06	9.8939e-05	1.7907e-06	4.4463e-05	0.99593	
2.7083e-05	1.2455e-06	2.3548e-05	6.2049e-05	0.32838	0.010964	0.0044393	0.15046	0.040985	0.8475	2.7172e-06	9.661e-05	1.7861e-06	4.2688e-05	0.9961	
2.3942e-05	1.1985e-06	2.3558e-05	6.1432e-05	0.32905	0.010949	0.0044687	0.13443	0.041112	0.84688	2.3575e-06	9.4219e-05	1.7754e-06	4.0817e-05	0.99627	
2.1016e-05	1.16e-06	2.3582e-05	6.0901e-05	0.32999	0.010934	0.0044966	0.12227	0.041287	0.84643	2.0397e-06	9.1938e-05	1.7701e-06	3.9091e-05	0.99631	
1.829e-05	1.1293e-06	2.3621e-05	6.0449e-05	0.33123	0.010919	0.004526	0.11304	0.041514	0.84614	1.7586e-06	8.9758e-05	1.7699e-06	3.75e-05	0.99637	
1.5769e-05	1.1069e-06	2.3677e-05	5.867e-05	0.33284	0.010904	0.0045545	0.10625	0.041805	0.84599	1.5137e-06	8.7695e-05	1.7758e-06	3.6049e-05	0.99643	
1.5409e-05	1.075e-06	2.3701e-05	5.6783e-05	0.33435	0.010888	0.0045821	0.098416	0.042064	0.84578	1.5214e-06	8.5576e-05	1.775e-06	3.4507e-05	0.99649	
1.5084e-05	1.0518e-06	2.3741e-05	5.5113e-05	0.33628	0.010874	0.0046113	0.092652	0.042392	0.84571	1.4039e-06	8.3562e-05	1.7802e-06	3.31e-05	0.99656	
1.4792e-05	1.0362e-06	2.3799e-05	5.3638e-05	0.3387	0.01086	0.0046423	0.088414	0.042371	0.84579	1.3031e-06	8.1648e-05	1.7916e-06	3.1818e-05	0.99665	
1.4532e-05	1.028e-06	2.3873e-05	5.2336e-05	0.34169	0.010847	0.004675	0.085304	0.041972	0.84601	1.2169e-06	7.983e-05	1.8091e-06	3.0653e-05	0.99674	
1.4298e-05	1.0261e-06	2.3962e-05	5.1174e-05	0.34529	0.010835	0.0047095	0.082951	0.041644	0.84638	1.1424e-06	7.8094e-05	1.8322e-06	2.9585e-05	0.99685	
1.4092e-05	1.0316e-06	2.4069e-05	4.9945e-05	0.34858	0.010822	0.0047431	0.08027	0.041283	0.84605	1.08e-06	7.6315e-05	1.8488e-06	2.8448e-05	0.99696	
1.3914e-05	1.0443e-06	2.4193e-05	4.8864e-05	0.35262	0.010811	0.0047786	0.078308	0.040994	0.84458	1.0281e-06	7.4625e-05	1.8719e-06	2.7416e-05	0.99698	
1.3717e-05	1.2704e-06	2.4303e-05	4.7712e-05	0.35629	0.010798	0.0048131	0.076036	0.040672	0.84298	9.6323e-07	7.2888e-05	1.888e-06	2.6311e-05	0.997	
1.3561e-05	1.5268e-06	2.39e-05	4.6685e-05	0.35716	0.010787	0.0048494	0.074325	0.039568	0.83801	9.0745e-07	7.123e-05	1.9098e-06	2.5303e-05	0.99703	
1.3432e-05	1.6409e-06	2.3525e-05	4.5591e-05	0.36516	0.010775	0.0048848	0.07234	0.038365	0.83574	9.0258e-07	6.9525e-05	1.9241e-06	2.4201e-05	0.99706	
1.3325e-05	1.7718e-06	2.317e-05	4.4615e-05	0.37465	0.010764	0.0049219	0.070841	0.03734	0.83392	9.0375e-07	6.7897e-05	1.944e-06	2.3185e-05	0.99709	
1.3202e-05	1.8918e-06	2.2801e-05	4.3583e-05	0.38341	0.010753	0.0049582	0.069133	0.036235	0.8319	8.9794e-07	6.6228e-05	1.9574e-06	2.2106e-05	0.99711	
1.3063e-05	2.0012e-06	2.2417e-05	4.2492e-05	0.39147	0.010741	0.0049936	0.067191	0.035044	0.82967	8.8674e-07	6.4518e-05	1.9645e-06	2.0962e-05	0.99714	
1.2946e-05	2.1272e-06	2.2054e-05	4.1518e-05	0.40105	0.01073	0.0050308	0.065722	0.034029	0.82788	8.8154e-07	6.2884e-05	1.9771e-06	1.9904e-05	0.99717	
1.2811e-05	2.2414e-06	2.1676e-05	4.0481e-05	0.40978	0.010719	0.005067	0.064024	0.032925	0.82587	8.6886e-07	6.1205e-05	1.9828e-06	1.8777e-05	0.9972	
1.2651e-05	2.2409e-06	2.1268e-05	3.9568e-05	0.42017	0.010709	0.0051052	0.062792	0.032003	0.82452	8.743e-07	5.9609e-05	1.9943e-06	1.7733e-05	0.99724	
1.2474e-05	2.2328e-06	2.0846e-05	3.8602e-05	0.42973	0.010698	0.0051426	0.061382	0.031008	0.82303	8.7275e-07	5.7974e-05	1.9992e-06	1.6627e-05	0.99727	
1.2322e-05	2.0872e-06	2.0447e-05	3.7753e-05	0.4335	0.010651	0.0051824	0.060361	0.030177	0.82187	8.7866e-07	5.6419e-05	2.0132e-06	1.3589e-05	0.99731	
1.2152e-05	1.9278e-06	2.0033e-05	3.6847e-05	0.43691	0.010603	0.0052212	0.059172	0.029271	0.82057	8.7706e-07	5.4821e-05	2.0202e-06	1.041e-05	0.99735	
1.1967e-05	1.7552e-06	1.9603e-05	3.5887e-05	0.44003	0.010554	0.0052591	0.057812	0.028293	0.81912	8.6845e-07	5.3183e-05	2.0207e-06	7.1014e-06	0.99739	
1.1803e-05	1.604e-06	1.9195e-05	3.4862e-05	0.44262	0.010504	0.0052961	0.054992	0.027825	0.81797	8.6584e-07	5.3397e-05	2.1209e-06	3.3459e-06	0.99742	
1.1621e-05	1.439e-06	1.8771e-05	3.3772e-05	0.44479	0.010453	0.0053322	0.05174	0.027312	0.81668	8.5576e-07	5.359e-05	2.2115e-06	2.7029e-06	0.99745	
1.1423e-05	1.2598e-06	1.8331e-05	3.2614e-05	0.4466	0.010402	0.0053672	0.047995	0.026751	0.81522	8.3821e-07	5.3762e-05	2.2927e-06	2.7617e-06	0.99747	
1.1206e-05	1.0655e-06	1.7874e-05	3.1384e-05	0.44821	0.010349	0.0054014	0.043691	0.026139	0.81359	8.1318e-07	5.392e-05	2.3658e-06	2.7914e-06	0.9975	
1.0974e-05	1.0695e-06	1.7403e-05	3.0089e-05	0.44966	0.010296	0.0054347	0.038819	0.025479	0.81178	7.8036e-07	5.406e-05	2.4314e-06	2.7936e-06	0.99752	
1.0725e-05	1.0678e-06	1.6918e-05	2.8726e-05	0.45095	0.010242	0.0054673	0.033311	0.024767	0.80979	7.4044e-07	5.418e-05	2.4898e-06	2.7684e-06	0.99754	
1.046e-05	1.0602e-06	1.6417e-05	2.7292e-05	0.45209	0.010187	0.005499	0.027084	0.024	0.8076	6.9331e-07	5.4282e-05	2.5403e-06	2.7143e-06	0.99756	
1.022e-05	1.0598e-06	1.5941e-05	2.6017e-05	0.45358	0.010134	0.0055326	0.022459	0.023357	0.80064	6.5361e-07	5.4414e-05	2.5993e-06	2.6681e-06	0.99759	
9.9641e-06	1.0536e-06	1.545e-05	2.4675e-05	0.45491	0.01008	0.0055654	0.021815	0.022665	0.79303	6.0692e-07	5.4527e-05	2.6511e-06	2.5945e-06	0.99761	
9.7302e-06	1.0535e-06	1.4981e-05	2.3467e-05	0.45441	0.010028	0.0055999	0.019765	0.022074	0.7868	5.6619e-07	5.4667e-05	2.7105e-06	2.5265e-06	0.99764	
9.4809e-06	1.0478e-06	1.4497e-05	2.2198e-05	0.45379	0.0099754	0.0056336	0.017458	0.021438	0.77999	5.1874e-07	5.4789e-05	2.7626e-06	2.4316e-06	0.99766	
9.2159e-06	1.0364e-06	1.3999e-05	2.0866e-05	0.45305	0.0099219	0.0056665	0.014861	0.020755	0.77255	4.6444e-07	5.4892e-05	2.8077e-06	2.3097e-06	0.99769	
8.9351e-06	1.0194e-06	1.3487e-05	1.9468e-05	0.45219	0.0098677	0.0056987	0.011936	0.020021	0.76442	4.0313e-07	5.4977e-05	2.8457e-06	2.1608e-06	0.99771	
8.6791e-06	1.0093e-06	1.2999e-05	1.822e-05	0.44824	0.0098155	0.0057327	0.0097566	0.019404	0.75791	3.4889e-07	5.5092e-05	2.8923e-06	2.0199e-06	0.99773	
8.4058e-06	9.9302e-07	1.2495e-05	1.6902e-05	0.44393	0.0097623	0.0057658	0.0072606	0.018734	0.7507	2.8729e-07	5.5187e-05	2.931e-06	1.8507e-06	0.99776	
8.1546e-06	9.8297e-07	1.2013e-05	1.5728e-05	0.44032	0.0097111	0.0058006	0.0053602	0.016633	0.74483	2.3158e-07	5.428e-05	2.9776e-06	1.6866e-06	0.99779	
7.9244e-06	9.7899e-07	1.1551e-05	1.4674e-05	0.43732	0.0096618	0.0058372	0.0039139	0.014836	0.72692	1.8097e-07	5.3418e-05	3.0325e-06	1.5269e-06	0.99783	
7.7167e-06	9.8194e-07	1.1111e-05	1.3562e-05	0.43376	0.0096117	0.005873	0.0028527	0.013344	0.71268	1.3544e-07	5.2529e-05	3.1043e-06	1.3157e-06	0.99786	
7.5279e-06	9.9098e-07	1.069e-05	1.2564e-05	0.43082	0.0095633	0.0059105	0.0020461	0.012069	0.7011	9.3469e-08	5.1685e-05	3.1856e-06	1.1096e-06	0.9979	
7.323e-06	9.9372e-07	1.0255e-05	1.1333e-05	0.4277	0.0095169	0.0059501	0.0011495	0.010626	0.68819	4.5312e-08	5.062e-05	3.2578e-06	8.7445e-07	0.99797	
7.0736e-06	9.8987e-07	1.0368e-05	1.024e-05	0.42411	0.0094723	0.0059919	0.00096605	0.0087617	0.67395	4.4212e-08	4.9611e-05	3.3209e-06	9.7565e-07	0.99804	
6.8083e-06	9.8019e-07	1.0472e-05	9.0874e-06	0.42018	0.009427	0.0060327	0.00075494	0.0084874	0.65826	3.9271e-08	4.8572e-05	3.3759e-06	1.0526e-06	0.99811	
6.4921e-06	9.6464e-07	1.1477e-05	7.873e-06	0.41715	0.0093809	0.0060726	0.00070987	0.008455	0.64095	3.0472e-08	4.7504e-05	3.3811e-06	1.1395e-06	0.99818	
6.1586e-06	1.0104e-06	1.2459e-05	7.7444e-06	0.4133	0.0093341	0.0061115	0.00065478	0.0084123	0.6214	3.239e-08	4.6405e-05	3.6557e-06	1.1731e-06	0.99824	
5.8519e-06	1.0657e-06	1.3488e-05	7.5976e-06	0.40143	0.0092892	0.0061527	0.00061758	0.008391	0.60589	3.3317e-08	4.5263e-05	3.9566e-06	1.2079e-06	0.99829	
5.5267e-06	1.1105e-06	1.449e-05	7.4337e-06	0.39279	0.0092434	0.0061927	0.00057002	0.0087048	0.58856	7.1109e-08	4.4086e-05	4.1895e-06	1.2694e-06	0.99834	
5.2485e-06	1.1653e-06	1.4756e-05	7.297e-06	0.38567	0.0091995	0.0062351	0.0005383	0.0090821	0.53718	1.1214e-07	4.2969e-05	4.4454e-06	1.3317e-06	0.9984	
4.953e-06	1.2123e-06	1.5009e-05	7.1437e-06	0.37785	0.0091547	0.0062763	0.0004976	0.009427	0.47993	1.4732e-07	4.1819e-05	4.6865e-06	1.3684e-06	0.99846	
4.6398e-06	1.2518e-06	1.5249e-05	6.975e-06	0.36935	0.0091092	0.0063166	0.00044801	0.0097447	0.41613	1.7678e-07	4.0637e-05	4.9144e-06	1.3803e-06	0.99851	
4.31e-06	1.3015e-06	1.5477e-05	6.7905e-06	0.36011	0.0090629	0.0063559	0.00038872	0.010037	0.36776	2.0965e-07	3.9423e-05	5.1295e-06	1.3674e-06	0.99856	
4.0051e-06	1.3621e-06	1.5722e-05	6.6338e-06	0.35249	0.0090185	0.0063974	0.00034647	0.01039	0.32933	2.4642e-07	3.827e-05	5.367e-06	1.3554e-06	0.99862	
3.6827e-06	1.4114e-06	1.5954e-05	6.4602e-06	0.34697	0.0089732	0.0064378	0.00029477	0.010712	0.28642	5.0709e-07	3.7083e-05	5.5458e-06	1.3715e-06	0.99868	
3.3842e-06	1.4719e-06	1.6202e-05	6.2692e-06	0.34244	0.0089271	0.0064772	0.00025794	0.011106	0.25234	8.0408e-07	3.5861e-05	5.7448e-06	1.3885e-06	0.99873	
3.1079e-06	1.547e-06	1.6468e-05	6.1059e-06	0.33873	0.0088828	0.0065188	0.0002323	0.011579	0.22533	8.9056e-07	3.4698e-05	5.9657e-06	1.4066e-06	0.99879	
2.8167e-06	1.6137e-06	1.6721e-05	5.9274e-06	0.3359	0.0088378	0.0065594	0.00020254	0.012016	0.19557	9.6785e-07	3.3505e-05	6.1562e-06	1.4384e-06	0.99885	
2.5465e-06	1.6024e-06	1.6992e-05	5.7752e-06	0.33361	0.0087947	0.0066023	0.00018199	0.012541	0.17235	9.6776e-07	3.237e-05	6.3684e-06	1.4717e-06	0.99891	
2.2963e-06	1.5816e-06	1.7283e-05	5.6473e-06	0.33176	0.0087533	0.0066476	0.0001687	0.013169	0.14187	9.5802e-07	3.1291e-05	6.605e-06	1.5055e-06	0.99893	
2.0638e-06	1.5703e-06	1.7592e-05	5.5417e-06	0.32957	0.0087136	0.0066954	0.00016143	0.01392	0.11767	9.5574e-07	3.0265e-05	6.7392e-06	1.5007e-06	0.99895	
1.8506e-06	1.548e-06	1.7926e-05	5.4218e-06	0.33046	0.0086731	0.0067419	0.00014939	0.014609	0.11121	9.4245e-07	2.9208e-05	6.8609e-06	1.4687e-06	0.99897	
1.6239e-06	1.5181e-06	1.8247e-05	5.2884e-06	0.33121	0.0086319	0.0067874	0.00013233	0.015241	0.1103	9.2132e-07	2.8122e-05	6.9706e-06	1.4105e-06	0.99898	
1.4125e-06	1.3524e-06	1.8587e-05	5.1772e-06	0.33228	0.0085925	0.0068355	0.00012119	0.015996	0.10962	9.0906e-07	2.7089e-05	7.098e-06	1.354e-06	0.999	
1.4281e-06	1.3588e-06	1.8851e-05	5.0529e-06	0.3332	0.0085523	0.0068824	0.00015181	0.016694	0.10877	8.8134e-07	2.6028e-05	7.2142e-06	1.2724e-06	0.99902	
1.4474e-06	1.3727e-06	1.9132e-05	5.3002e-06	0.33252	0.0085115	0.0069282	0.00016318	0.017253	0.10811	8.6016e-07	2.4933e-05	7.3471e-06	1.1913e-06	0.99904	
1.4584e-06	1.3795e-06	1.94e-05	5.5284e-06	0.3317	0.0084698	0.0069729	0.00016981	0.017764	0.10736	8.3123e-07	2.3807e-05	7.4675e-06	1.0843e-06	0.99906	
1.4608e-06	1.4012e-06	1.9652e-05	5.7383e-06	0.33068	0.0084274	0.0070164	0.00017183	0.018231	0.10589	8.152e-07	2.2648e-05	7.5752e-06	1.3805e-06	0.99907	
1.4554e-06	1.4162e-06	1.9893e-05	5.9321e-06	0.32952	0.0083842	0.0070588	0.00016961	0.018662	0.10425	7.9215e-07	2.1459e-05	7.6719e-06	1.6472e-06	0.99909	
1.4546e-06	1.4403e-06	2.0151e-05	6.1558e-06	0.32521	0.0083428	0.0071037	0.00017271	0.019181	0.10297	7.7597e-07	2.0326e-05	7.7865e-06	1.9278e-06	0.99911	
1.4458e-06	1.4567e-06	2.0397e-05	6.3628e-06	0.3205	0.0083007	0.0071475	0.00017157	0.01966	0.10155	7.5197e-07	1.9164e-05	7.8898e-06	2.1784e-06	0.99912	
1.4431e-06	1.4812e-06	2.0181e-05	6.598e-06	0.31657	0.0082601	0.0071935	0.00017512	0.020226	0.097153	7.3374e-07	1.8051e-05	8.0094e-06	2.4399e-06	0.99911	
1.4325e-06	1.499e-06	1.9953e-05	6.8157e-06	0.31228	0.0082189	0.0072385	0.0001744	0.020748	0.092306	7.0865e-07	1.6909e-05	8.1175e-06	2.6711e-06	0.9991	
1.414e-06	1.5339e-06	1.9712e-05	7.0166e-06	0.3076	0.0081769	0.0072824	0.0001694	0.02123	0.086552	6.9598e-07	1.5738e-05	8.2144e-06	2.8723e-06	0.99909	
1.4e-06	1.5794e-06	1.949e-05	7.2494e-06	0.30377	0.0081367	0.0073288	0.00013027	0.02181	0.081988	6.8931e-07	1.4622e-05	8.3297e-06	3.0876e-06	0.99908	
1.3896e-06	1.6351e-06	1.9282e-05	7.5135e-06	0.29959	0.0080979	0.0073775	0.00010214	0.021967	0.078285	6.8766e-07	1.3551e-05	8.43e-06	3.2719e-06	0.99904	
1.3835e-06	1.6823e-06	1.9093e-05	7.7511e-06	0.28798	0.0080585	0.0074251	9.8053e-05	0.022079	0.073982	6.7906e-07	1.3551e-05	8.5842e-06	3.5283e-06	0.99899	
1.3698e-06	1.7412e-06	1.8892e-05	7.9719e-06	0.27545	0.0080185	0.0074716	9.0465e-05	0.022176	0.070786	6.7609e-07	1.354e-05	8.7267e-06	3.7541e-06	0.99894	
1.3497e-06	1.7945e-06	1.8683e-05	8.1813e-06	0.26227	0.0079781	0.0075175	8.0039e-05	0.022263	0.0674	6.6811e-07	1.352e-05	8.861e-06	3.9543e-06	0.99888	
1.3236e-06	1.8428e-06	1.8465e-05	8.3805e-06	0.24849	0.0079373	0.0075628	6.6893e-05	0.022341	0.063837	6.5537e-07	1.3491e-05	8.9879e-06	4.1301e-06	0.99883	
1.2915e-06	1.8863e-06	1.8241e-05	8.5702e-06	0.23411	0.0078954	0.0079627	5.1012e-05	0.02241	0.060094	6.3797e-07	1.3454e-05	9.1077e-06	4.282e-06	0.99877	
1.2609e-06	1.9372e-06	1.8026e-05	8.7803e-06	0.22146	0.0078547	0.0083755	3.7613e-05	0.022504	0.056888	6.2348e-07	1.3424e-05	9.24e-06	4.4397e-06	0.99872	
1.2312e-06	1.9948e-06	1.782e-05	9.0096e-06	0.21017	0.007815	0.0088004	2.5765e-05	0.022619	0.054095	6.1118e-07	1.34e-05	9.3838e-06	4.6012e-06	0.99868	
1.2029e-06	2.0607e-06	1.7624e-05	9.2618e-06	0.20021	0.0077764	0.0092389	1.5308e-05	0.022761	0.051694	6.0151e-07	1.3382e-05	9.5412e-06	4.7693e-06	0.99845	
1.1686e-06	2.1212e-06	1.742e-05	9.503e-06	0.18982	0.0077374	0.0096733	2.1548e-05	0.022893	0.049173	5.8722e-07	1.3357e-05	9.6907e-06	4.9127e-06	0.99844	
1.1355e-06	2.1902e-06	1.7226e-05	9.7677e-06	0.18064	0.0076996	0.010122	2.8388e-05	0.023051	0.047001	5.754e-07	1.3338e-05	9.8539e-06	5.0626e-06	0.99842	
1.0967e-06	2.2542e-06	1.7025e-05	1.0022e-05	0.17111	0.0076614	0.010566	3.3211e-05	0.023202	0.044735	5.5924e-07	1.3311e-05	1.001e-05	5.189e-06	0.99841	
1.0586e-06	2.326e-06	1.6832e-05	1.0299e-05	0.16259	0.0076242	0.011024	3.8578e-05	0.023377	0.042755	5.4496e-07	1.3289e-05	1.0178e-05	5.3199e-06	0.9984	
1.0145e-06	2.3923e-06	1.6631e-05	1.0564e-05	0.15369	0.0075867	0.011477	4.1787e-05	0.023542	0.040675	5.2611e-07	1.326e-05	1.0339e-05	5.426e-06	0.99839	
9.645e-07	2.453e-06	1.6423e-05	1.0818e-05	0.14441	0.0075489	0.011926	4.2863e-05	0.023699	0.038489	5.0268e-07	1.3221e-05	1.0492e-05	5.5075e-06	0.99838	
9.1665e-07	2.5251e-06	1.6227e-05	1.1102e-05	0.13641	0.0073891	0.012395	4.518e-05	0.023548	0.036666	4.8266e-07	1.3192e-05	1.0662e-05	5.6007e-06	0.99837	
