Vombatus_ursinus	Trichosurus_vulpecula	Thylacinus_cynocephalus	Tachyglossus_aculeatus	Sarcophilus_harrisii	Phascolarctos_cinereus	Ornithorhynchus_anatinus	Monodelphis_domestica	Macropus_eugenii	Gracilinanus_agilis	Dromiciops_gliroides	Antechinus_flavipes	
0.00010056	0.0001445	0.00015301	0.00016938	0.00050664	0.00041154	0.96094	0.00016605	2.3653e-05	8.4435e-05	7.0509e-05	9.7284e-05	
9.9312e-05	0.00014109	0.00014966	0.00015449	0.00050215	0.00040875	0.96275	0.00016342	2.2464e-05	8.1506e-05	6.8431e-05	9.416e-05	
9.8015e-05	0.00013751	0.00014618	0.00013881	0.00049754	0.00040587	0.96442	0.00016065	2.1196e-05	7.8479e-05	6.6189e-05	9.0972e-05	
9.6824e-05	0.00013426	0.00014295	0.0001222	0.00049315	0.00040317	0.96598	0.00015762	2.0086e-05	7.5262e-05	6.4296e-05	8.7908e-05	
9.5575e-05	0.00013083	0.00013959	0.00011087	0.00048864	0.00040037	0.96654	0.0001544	1.8892e-05	7.1925e-05	6.2229e-05	8.4773e-05	
9.4429e-05	0.00012772	0.00013648	9.8662e-05	0.00048433	0.00039775	0.96705	0.00015153	1.7848e-05	6.8799e-05	6.0471e-05	8.176e-05	
9.3226e-05	0.00012443	0.00013323	8.5728e-05	0.00047991	0.00039503	0.96751	0.00014847	1.6724e-05	6.5557e-05	5.8549e-05	7.8676e-05	
9.2123e-05	0.00012145	0.00013022	7.4186e-05	0.00047569	0.00039248	0.96807	0.00014574	1.574e-05	6.2518e-05	5.6917e-05	7.5712e-05	
9.1102e-05	0.00011871	0.00012741	6.1873e-05	0.00047165	0.00039008	0.96858	0.00014326	1.4866e-05	5.9648e-05	5.5509e-05	7.2848e-05	
9.0159e-05	0.00011619	0.00012478	5.0726e-05	0.00046778	0.00038783	0.96918	0.00014103	1.4089e-05	5.6937e-05	5.4301e-05	7.0082e-05	
8.9291e-05	0.00011389	0.00012203	4.3343e-05	0.00046381	0.00038571	0.96931	0.00013903	1.3401e-05	5.4388e-05	5.1213e-05	6.7257e-05	
8.8378e-05	0.00011145	0.00011951	3.8316e-05	0.00046003	0.00038351	0.96906	0.00013689	1.2655e-05	5.174e-05	4.7834e-05	6.4542e-05	
8.7416e-05	0.00010887	0.00011687	3.5356e-05	0.00045614	0.00038122	0.9683	0.00013156	1.185e-05	5.013e-05	4.415e-05	6.1763e-05	
8.654e-05	0.00010653	0.00011444	3.3342e-05	0.00045244	0.00037909	0.96627	0.00012591	1.1147e-05	4.8442e-05	4.0985e-05	5.9091e-05	
8.5621e-05	0.00010407	0.00011218	3.1195e-05	0.0004489	0.00037687	0.96408	0.00011998	1.0394e-05	4.669e-05	3.7584e-05	5.6509e-05	
8.4774e-05	0.00010181	0.00011008	2.9258e-05	0.00044551	0.0003748	0.96218	0.00011455	9.7234e-06	4.5039e-05	3.4599e-05	5.4014e-05	
8.3995e-05	9.9746e-05	0.00010812	2.751e-05	0.00044228	0.00037285	0.96052	0.0001096	9.1276e-06	4.3481e-05	3.1982e-05	5.1602e-05	
8.3176e-05	9.757e-05	0.00010608	2.5619e-05	0.00043895	0.00037083	0.95872	0.0001044	8.4887e-06	4.1864e-05	2.917e-05	4.9138e-05	
8.2425e-05	9.5578e-05	0.00010418	2.358e-05	0.00043578	0.00036894	0.95675	9.964e-05	7.9203e-06	4.034e-05	2.6703e-05	4.6756e-05	
8.1746e-05	9.3783e-05	0.00010243	2.1953e-05	0.00043277	0.00036719	0.95111	9.5348e-05	7.424e-06	3.8915e-05	2.458e-05	4.4465e-05	
8.1136e-05	9.217e-05	0.00010082	2.0508e-05	0.00042991	0.00036558	0.94627	9.1477e-05	6.9912e-06	3.7583e-05	2.2753e-05	4.2261e-05	
8.0584e-05	9.0706e-05	9.9324e-05	1.9206e-05	0.0004272	0.00036409	0.94204	8.7942e-05	6.6079e-06	3.6328e-05	2.1153e-05	4.0129e-05	
8.0095e-05	8.9402e-05	9.796e-05	1.8526e-05	0.00042464	0.00036273	0.93249	8.4759e-05	6.2756e-06	3.5156e-05	1.9781e-05	3.8079e-05	
7.966e-05	8.8231e-05	9.6701e-05	1.7764e-05	0.00042221	0.00036149	0.92207	8.1857e-05	5.9831e-06	3.4054e-05	1.8583e-05	3.6096e-05	
7.9189e-05	8.6968e-05	9.537e-05	1.7091e-05	0.00041969	0.00036017	0.91298	7.8781e-05	5.6618e-06	3.29e-05	1.7275e-05	3.4064e-05	
7.8681e-05	8.5612e-05	9.3967e-05	1.6848e-05	0.00041708	0.00035877	0.89274	7.5524e-05	5.3104e-06	3.1695e-05	1.5848e-05	3.1982e-05	
7.8234e-05	8.4408e-05	9.2684e-05	1.697e-05	0.00041461	0.0003575	0.84791	7.2077e-05	5.0051e-06	3.0431e-05	1.4627e-05	2.9978e-05	
7.7838e-05	8.3327e-05	9.1501e-05	1.6408e-05	0.00041228	0.00035635	0.81866	6.8927e-05	4.7354e-06	2.924e-05	1.3558e-05	2.8039e-05	
7.7504e-05	8.2362e-05	9.0412e-05	1.5915e-05	0.00041006	0.00035054	0.79299	6.6047e-05	4.4973e-06	2.8114e-05	1.2622e-05	2.6161e-05	
7.7216e-05	8.1505e-05	8.941e-05	1.5486e-05	0.00040796	0.00034498	0.77041	6.3411e-05	4.2875e-06	2.7051e-05	1.1801e-05	2.4342e-05	
7.6972e-05	8.075e-05	8.8491e-05	1.5116e-05	0.00040598	0.00033967	0.75052	6.0998e-05	4.103e-06	2.6046e-05	1.1081e-05	2.2578e-05	
7.678e-05	8.0107e-05	8.7494e-05	1.4681e-05	0.00040391	0.00033462	0.72883	5.8818e-05	3.9452e-06	2.5105e-05	1.0468e-05	2.0773e-05	
7.6557e-05	7.9396e-05	8.644e-05	1.419e-05	0.00040177	0.00032944	0.70549	5.6516e-05	3.7691e-06	2.4123e-05	9.7949e-06	1.8926e-05	
7.6384e-05	7.8793e-05	8.548e-05	1.3768e-05	0.00039976	0.00032451	0.68527	5.4433e-05	3.6178e-06	2.3201e-05	9.2164e-06	1.7143e-05	
7.6259e-05	7.8294e-05	8.4611e-05	1.341e-05	0.00039787	0.00031982	0.66774	5.255e-05	3.4893e-06	2.2337e-05	8.721e-06	1.5421e-05	
7.6182e-05	7.7896e-05	8.3829e-05	1.3113e-05	0.00039611	0.00031537	0.65257	5.0851e-05	3.3817e-06	2.1527e-05	8.2994e-06	1.3757e-05	
7.6148e-05	7.7585e-05	8.0456e-05	1.2866e-05	0.00039445	0.00031112	0.63922	4.9303e-05	3.2911e-06	2.0763e-05	7.9362e-06	1.2144e-05	
7.6162e-05	7.7374e-05	7.7314e-05	1.2558e-05	0.00039292	0.00030709	0.62461	4.7916e-05	3.2193e-06	2.0049e-05	7.6344e-06	1.0587e-05	
7.6226e-05	7.7262e-05	7.4392e-05	1.2303e-05	0.00039151	0.00030328	0.61183	4.6678e-05	3.1654e-06	1.9384e-05	7.3886e-06	9.084e-06	
7.6259e-05	7.7084e-05	7.1343e-05	1.1994e-05	0.00038993	0.00029935	0.59797	4.5568e-05	3.0965e-06	1.8763e-05	7.103e-06	8.9646e-06	
7.6336e-05	7.6993e-05	6.8482e-05	1.1736e-05	0.00038846	0.00029561	0.58584	4.457e-05	3.0427e-06	1.8179e-05	6.864e-06	8.8511e-06	
7.6386e-05	7.6843e-05	6.5516e-05	1.1785e-05	0.00038692	0.00029176	0.55877	4.3502e-05	2.9753e-06	1.7565e-05	6.5901e-06	8.7233e-06	
7.6479e-05	7.6779e-05	6.2735e-05	1.1877e-05	0.00038548	0.0002881	0.53509	4.2544e-05	2.9226e-06	1.6988e-05	6.3609e-06	8.6015e-06	
7.6617e-05	7.6802e-05	6.0128e-05	1.1919e-05	0.00038415	0.00028461	0.50938	4.1686e-05	2.884e-06	1.6446e-05	6.1843e-06	8.4853e-06	
7.68e-05	7.691e-05	5.7684e-05	1.1911e-05	0.00038293	0.00028129	0.48146	4.0923e-05	2.859e-06	1.5938e-05	6.0449e-06	8.3747e-06	
7.7028e-05	7.7106e-05	5.5395e-05	1.1854e-05	0.0003818	0.00027814	0.45114	4.0249e-05	2.8473e-06	1.5461e-05	5.9402e-06	8.2696e-06	
7.7225e-05	7.7235e-05	5.3007e-05	1.1748e-05	0.0003806	0.00027489	0.41823	3.9511e-05	2.8217e-06	1.4954e-05	5.8038e-06	8.1496e-06	
7.7475e-05	7.7466e-05	5.0791e-05	1.1696e-05	0.00037952	0.00027181	0.39014	3.8692e-05	2.8117e-06	1.4407e-05	5.3923e-06	8.0368e-06	
7.7772e-05	7.6117e-05	4.8714e-05	1.1688e-05	0.00037854	0.0002689	0.36558	3.7964e-05	2.8168e-06	1.3892e-05	5.0355e-06	7.9292e-06	
7.8036e-05	7.4673e-05	4.6547e-05	1.1268e-05	0.00037748	0.00026588	0.35432	3.7171e-05	2.8081e-06	1.3347e-05	4.6358e-06	7.8069e-06	
7.8268e-05	7.3133e-05	4.4285e-05	1.0912e-05	0.00037635	0.00026276	0.34468	3.6481e-05	2.7855e-06	1.284e-05	4.3921e-06	7.6698e-06	
7.7575e-05	7.1751e-05	4.2183e-05	1.0504e-05	0.00037534	0.00025983	0.33426	3.5885e-05	2.7784e-06	1.2369e-05	4.1914e-06	7.5397e-06	
7.6943e-05	7.0497e-05	4.0212e-05	1.0157e-05	0.00037442	0.00025705	0.32552	3.5364e-05	2.7841e-06	1.1925e-05	4.0235e-06	7.4147e-06	
7.6271e-05	6.9155e-05	3.8157e-05	9.7576e-06	0.00037343	0.00025417	0.31605	3.4787e-05	2.7762e-06	1.1453e-05	3.8253e-06	7.2751e-06	
7.5559e-05	6.7723e-05	3.6015e-05	9.3055e-06	0.00037237	0.0002512	0.30578	3.4154e-05	2.7549e-06	1.0954e-05	3.5957e-06	7.121e-06	
7.4915e-05	6.6437e-05	3.4022e-05	8.914e-06	0.00037142	0.00024839	0.29697	3.3607e-05	2.7486e-06	1.0487e-05	3.4047e-06	6.9736e-06	
7.4232e-05	6.5064e-05	3.2156e-05	8.5801e-06	0.00037057	0.00024549	0.28943	3.3149e-05	2.7287e-06	1.0055e-05	3.1672e-06	6.8309e-06	
7.3513e-05	6.3609e-05	3.0218e-05	8.2995e-06	0.00036965	0.00024251	0.28299	3.2644e-05	2.6963e-06	9.5997e-06	3.3809e-06	6.6747e-06	
7.2854e-05	6.2281e-05	2.8398e-05	8.0589e-06	0.00036883	0.00023967	0.27735	3.2206e-05	2.6766e-06	9.169e-06	3.6287e-06	6.523e-06	
7.226e-05	6.1091e-05	2.6704e-05	7.863e-06	0.00036811	0.00023699	0.27252	3.1843e-05	2.6717e-06	8.7662e-06	3.9211e-06	6.3775e-06	
7.172e-05	6.0013e-05	2.5113e-05	7.7103e-06	0.00036749	0.00023445	0.26839	3.1981e-05	2.6791e-06	7.8202e-06	4.2586e-06	6.2362e-06	
7.1145e-05	5.8856e-05	2.3454e-05	7.5153e-06	0.0003668	0.00023182	0.26391	3.1967e-05	2.6733e-06	7.75e-06	4.5586e-06	6.0808e-06	
7.063e-05	5.7822e-05	2.1908e-05	7.3606e-06	0.00036622	0.00022934	0.26006	3.2017e-05	2.6819e-06	7.694e-06	4.9113e-06	5.931e-06	
7.0084e-05	5.6721e-05	2.0302e-05	7.1677e-06	0.00036558	0.00022678	0.25593	3.2131e-05	2.6785e-06	7.6541e-06	5.2274e-06	5.7682e-06	
6.9595e-05	5.5737e-05	1.8805e-05	7.0134e-06	0.00036503	0.00022437	0.25238	3.2308e-05	2.6893e-06	7.6279e-06	5.5994e-06	5.6106e-06	
6.9163e-05	5.4863e-05	1.7407e-05	6.8959e-06	0.0003646	0.0002221	0.24933	3.2551e-05	2.7144e-06	7.6153e-06	6.0351e-06	5.4581e-06	
6.8698e-05	5.392e-05	1.5949e-05	6.739e-06	0.00036409	0.00021975	0.24603	3.2749e-05	2.7265e-06	7.5845e-06	6.4266e-06	5.292e-06	
6.8288e-05	5.3086e-05	1.459e-05	6.545e-06	0.00036369	0.00021754	0.24247	3.2906e-05	2.7534e-06	7.5367e-06	6.7407e-06	5.131e-06	
6.7849e-05	5.2189e-05	1.3178e-05	6.3851e-06	0.00036323	0.00021525	0.2394	3.3021e-05	2.7678e-06	7.4716e-06	7.0188e-06	4.9569e-06	
6.7458e-05	5.1385e-05	1.1849e-05	6.2718e-06	0.00035816	0.00021309	0.23678	3.3194e-05	2.7952e-06	7.4182e-06	7.3468e-06	4.7876e-06	
6.7113e-05	5.0668e-05	1.0598e-05	6.1872e-06	0.00035328	0.00021104	0.23451	3.3426e-05	2.8359e-06	7.3762e-06	7.7302e-06	4.6218e-06	
6.6814e-05	5.0036e-05	9.4216e-06	6.0621e-06	0.00034859	0.0002091	0.23203	3.3719e-05	2.8904e-06	7.3457e-06	8.1759e-06	4.4592e-06	
6.6486e-05	4.9346e-05	8.197e-06	5.769e-06	0.00034378	0.0002071	0.23166	3.3969e-05	2.9318e-06	7.2978e-06	8.5771e-06	4.2837e-06	
6.621e-05	4.8751e-05	7.0545e-06	5.6933e-06	0.00033919	0.00020522	0.23022	3.3339e-05	2.99e-06	7.2817e-06	9.0554e-06	4.1129e-06	
6.5903e-05	4.8093e-05	6.9808e-06	5.4375e-06	0.00033447	0.00020327	0.23026	3.2649e-05	3.0336e-06	7.247e-06	9.4819e-06	3.9283e-06	
6.5646e-05	4.7528e-05	6.9235e-06	5.22e-06	0.00032996	0.00020144	0.23044	3.205e-05	3.0945e-06	7.2262e-06	9.4239e-06	3.7482e-06	
6.5439e-05	4.7051e-05	6.8821e-06	4.956e-06	0.00032564	0.00019973	0.23054	3.1536e-05	3.1737e-06	7.2195e-06	8.8159e-06	3.5724e-06	
6.5201e-05	4.6514e-05	6.8208e-06	4.7303e-06	0.00032107	0.00019796	0.23078	3.1108e-05	3.2374e-06	7.2293e-06	8.1282e-06	3.8726e-06	
6.4937e-05	4.5923e-05	6.7414e-06	4.5399e-06	0.0003226	0.00019611	0.23119	3.0634e-05	3.2873e-06	7.2219e-06	7.3791e-06	4.151e-06	
6.4644e-05	4.5277e-05	6.6444e-06	4.3821e-06	0.00032406	0.0001942	0.23177	3.0233e-05	3.3235e-06	7.2291e-06	6.5559e-06	4.4154e-06	
6.4401e-05	4.472e-05	6.5635e-06	4.1882e-06	0.00032564	0.00019242	0.23226	2.9763e-05	3.3776e-06	7.2102e-06	5.8542e-06	4.687e-06	
6.4131e-05	4.411e-05	6.465e-06	4.0258e-06	0.00032715	0.00019056	0.23293	2.9246e-05	3.4178e-06	7.174e-06	5.0918e-06	4.9446e-06	
6.3904e-05	4.3575e-05	6.3825e-06	3.8862e-06	0.00032878	0.00018882	0.23376	2.8796e-05	3.4736e-06	7.1491e-06	4.4219e-06	5.2097e-06	
6.3719e-05	4.3112e-05	6.3127e-06	3.8291e-06	0.00033051	0.00018717	0.23355	2.8409e-05	3.5457e-06	7.1353e-06	3.8332e-06	5.4808e-06	
6.3575e-05	4.2719e-05	6.2553e-06	3.7912e-06	0.00033235	0.00018562	0.23347	2.8139e-05	3.635e-06	6.6745e-06	3.3157e-06	5.7582e-06	
6.3477e-05	4.2403e-05	6.2128e-06	3.7156e-06	0.0003308	0.00018417	0.23329	2.7934e-05	3.7459e-06	6.2415e-06	2.8695e-06	6.046e-06	
6.3426e-05	4.2163e-05	6.1849e-06	3.6635e-06	0.00032936	0.00018283	0.23327	2.7791e-05	3.8802e-06	5.8343e-06	2.4846e-06	6.343e-06	
6.342e-05	4.1996e-05	6.1715e-06	3.6343e-06	0.00032803	0.00018159	0.23339	2.7709e-05	4.0402e-06	5.4514e-06	2.1526e-06	6.6495e-06	
6.3388e-05	4.1781e-05	6.1404e-06	3.6247e-06	0.00032663	0.0001803	0.23365	2.741e-05	4.1826e-06	5.5072e-06	1.7855e-06	6.9397e-06	
6.3402e-05	4.1639e-05	6.1237e-06	3.6374e-06	0.00032534	0.0001791	0.23407	2.7176e-05	4.3521e-06	5.5744e-06	1.4672e-06	7.2397e-06	
6.3387e-05	4.1445e-05	6.0889e-06	3.6175e-06	0.00032398	0.00017784	0.23441	2.6897e-05	4.5016e-06	5.6243e-06	1.1137e-06	7.5235e-06	
6.3344e-05	4.12e-05	6.0359e-06	3.6221e-06	0.00032255	0.00017652	0.23491	2.6571e-05	4.6316e-06	5.6568e-06	1.1136e-06	7.7912e-06	
6.3341e-05	3.9485e-05	5.9948e-06	3.5954e-06	0.00032121	0.00017529	0.23533	2.6197e-05	4.7885e-06	5.6703e-06	1.1246e-06	8.0667e-06	
6.3378e-05	3.7906e-05	5.9653e-06	3.5336e-06	0.00031997	0.00017414	0.23566	2.4554e-05	4.9708e-06	5.7056e-06	1.1452e-06	8.3503e-06	
6.346e-05	3.6471e-05	5.9498e-06	3.4901e-06	0.00031884	0.00017308	0.23612	2.3073e-05	5.1854e-06	5.7525e-06	1.1799e-06	8.6444e-06	
6.3517e-05	3.496e-05	5.9179e-06	3.417e-06	0.00031765	0.00017197	0.23651	2.1512e-05	5.3798e-06	5.7834e-06	1.711e-06	8.9233e-06	
6.355e-05	3.3374e-05	5.8699e-06	3.3144e-06	0.00031639	0.00017082	0.23683	1.9855e-05	5.5552e-06	5.7968e-06	2.2009e-06	9.1873e-06	
6.3507e-05	3.1925e-05	5.8347e-06	3.2319e-06	0.00031523	0.00016945	0.2373	1.8349e-05	5.7616e-06	5.8206e-06	2.76e-06	9.4609e-06	
6.3505e-05	3.0594e-05	5.8112e-06	3.1673e-06	0.00031417	0.00016817	0.23793	1.6975e-05	5.9999e-06	5.8542e-06	3.3957e-06	9.7437e-06	
6.3479e-05	2.9195e-05	5.7719e-06	3.0741e-06	0.00031306	0.00016683	0.23847	1.553e-05	6.2175e-06	5.8722e-06	3.9839e-06	1.0012e-05	
6.3493e-05	2.7908e-05	5.744e-06	2.9978e-06	0.00031203	0.00016559	0.23917	1.4208e-05	6.4679e-06	5.8997e-06	4.6526e-06	1.0288e-05	
6.3483e-05	2.6556e-05	5.7003e-06	2.8932e-06	0.00031094	0.00016429	0.23979	1.2818e-05	6.6968e-06	5.9116e-06	5.2713e-06	1.055e-05	
6.3514e-05	2.5311e-05	5.6681e-06	2.8053e-06	0.00030995	0.00016308	0.24058	1.1547e-05	6.9609e-06	5.9333e-06	5.9777e-06	1.0822e-05	
6.3587e-05	2.417e-05	5.6479e-06	2.7341e-06	0.00030905	0.00016195	0.24155	1.0387e-05	7.265e-06	5.9653e-06	6.7881e-06	1.1104e-05	
6.3632e-05	2.2959e-05	5.6103e-06	2.6332e-06	0.00030809	0.00016077	0.24242	9.3502e-06	7.541e-06	6.0127e-06	7.5186e-06	1.1369e-05	
6.3651e-05	2.1683e-05	5.5563e-06	2.701e-06	0.00030706	0.00015954	0.2425	8.41e-06	7.7921e-06	6.073e-06	8.1816e-06	1.1618e-05	
6.371e-05	2.0513e-05	5.5133e-06	2.9203e-06	0.00030613	0.00015838	0.2417	7.5481e-06	7.7322e-06	6.1433e-06	8.9403e-06	1.1876e-05	
6.3741e-05	1.9271e-05	5.4526e-06	3.1051e-06	0.00030512	0.00015717	0.24079	6.6288e-06	7.6515e-06	6.1959e-06	9.6301e-06	1.2118e-05	
6.3743e-05	1.7956e-05	5.3741e-06	3.2569e-06	0.00030405	0.0001559	0.23977	5.807e-06	7.5495e-06	6.265e-06	1.0245e-05	1.2342e-05	
6.3717e-05	1.6565e-05	5.2779e-06	3.43e-06	0.00030291	0.00015457	0.23894	4.9304e-06	7.426e-06	6.3162e-06	1.08e-05	1.2549e-05	
6.3663e-05	1.5094e-05	5.1636e-06	3.5688e-06	0.0003017	0.00015318	0.238	4.8889e-06	7.2803e-06	6.3283e-06	1.1297e-05	1.274e-05	
6.3582e-05	1.5166e-05	5.0326e-06	3.6763e-06	0.00030042	0.00015174	0.23695	4.8261e-06	7.1119e-06	6.3239e-06	1.1744e-05	1.2915e-05	
6.3477e-05	1.5206e-05	4.8846e-06	3.8059e-06	0.00029908	0.00015024	0.2361	4.7419e-06	6.9223e-06	6.303e-06	1.2145e-05	1.3074e-05	
6.3345e-05	1.5214e-05	4.7195e-06	3.9589e-06	0.00029768	0.00014869	0.23541	4.6361e-06	6.7109e-06	6.2656e-06	1.25e-05	1.3217e-05	
6.3188e-05	1.5191e-05	4.5373e-06	4.0797e-06	0.00029622	0.00014708	0.23464	4.5086e-06	6.4771e-06	6.2117e-06	1.2811e-05	1.3346e-05	
6.3071e-05	1.52e-05	4.3674e-06	4.2285e-06	0.00029485	0.00014555	0.23405	4.3992e-06	6.2748e-06	6.1678e-06	1.2594e-05	1.3482e-05	
6.2925e-05	1.5175e-05	4.1793e-06	4.3421e-06	0.00029341	0.00014397	0.23337	4.2665e-06	6.0485e-06	6.1063e-06	1.2334e-05	1.3603e-05	
6.2754e-05	1.5119e-05	3.9739e-06	4.4235e-06	0.0002919	0.00014233	0.2326	4.1121e-06	5.7998e-06	6.0284e-06	1.2032e-05	1.3707e-05	
6.2623e-05	1.5096e-05	3.7811e-06	4.5271e-06	0.00029049	0.00014078	0.23199	3.9758e-06	4.9062e-06	5.9604e-06	1.1787e-05	1.3821e-05	
6.2467e-05	1.5042e-05	3.5711e-06	4.5902e-06	0.00028902	0.00013918	0.23124	3.818e-06	3.954e-06	5.876e-06	1.1502e-05	1.3919e-05	
6.2284e-05	1.4956e-05	3.8189e-06	4.621e-06	0.00028748	0.00013751	0.23041	3.6382e-06	2.9399e-06	5.775e-06	1.1176e-05	1.4001e-05	
6.2142e-05	1.4903e-05	3.7643e-06	4.9573e-06	0.00028604	0.00013594	0.22853	3.4766e-06	2.0322e-06	5.684e-06	1.0907e-05	1.4092e-05	
6.1971e-05	1.4805e-05	4.2576e-06	5.3394e-06	0.00028452	0.00013431	0.22695	3.3374e-06	1.9133e-06	5.6073e-06	1.0576e-05	1.4166e-05	
6.1836e-05	1.4735e-05	4.7757e-06	5.7572e-06	0.00028309	0.00013275	0.22558	3.2113e-06	1.8074e-06	5.5383e-06	1.0296e-05	1.4247e-05	
6.174e-05	1.4697e-05	5.3235e-06	6.219e-06	0.00028174	0.00013128	0.22442	3.0993e-06	1.7147e-06	5.4782e-06	1.0068e-05	1.4337e-05	
6.1621e-05	1.4631e-05	5.848e-06	6.6408e-06	0.00028034	0.00012976	0.22316	2.9695e-06	1.6108e-06	5.4033e-06	9.8063e-06	1.4412e-05	
6.1541e-05	1.4595e-05	6.4022e-06	7.1073e-06	0.00027903	0.00012831	0.22209	2.8526e-06	1.519e-06	5.3368e-06	9.5928e-06	1.4496e-05	
6.144e-05	1.4533e-05	6.9347e-06	7.5363e-06	0.00027767	0.00012683	0.22094	2.7194e-06	1.4172e-06	5.2565e-06	9.3504e-06	1.4566e-05	
6.1373e-05	1.4497e-05	7.4939e-06	8.0054e-06	0.00027638	0.00012542	0.21996	2.5964e-06	1.3251e-06	5.1827e-06	9.1481e-06	1.4643e-05	
6.1282e-05	1.4433e-05	8.0277e-06	8.4307e-06	0.00027504	0.00012396	0.21888	2.4554e-06	1.2219e-06	5.0938e-06	8.9131e-06	1.4705e-05	
6.1169e-05	1.4339e-05	8.4614e-06	8.813e-06	0.00027382	0.00012245	0.21771	2.2662e-06	1.107e-06	5.5758e-06	8.6436e-06	1.4781e-05	
6.1099e-05	1.428e-05	8.9272e-06	9.2511e-06	0.00027269	0.00012103	0.21674	2.0943e-06	1.0059e-06	6.0853e-06	8.4278e-06	1.4868e-05	
6.1e-05	1.4176e-05	9.3648e-06	9.7571e-06	0.0002715	0.00011956	0.21597	2.1433e-06	1.0877e-06	6.3767e-06	8.6764e-06	1.4938e-05	
6.0946e-05	1.4108e-05	9.7767e-06	1.0337e-05	0.00027025	0.00011817	0.21539	2.1724e-06	1.1821e-06	6.6423e-06	8.7289e-06	1.4993e-05	
6.0825e-05	1.4073e-05	1.0217e-05	1.0997e-05	0.00026908	0.0001166	0.21497	2.2099e-06	1.2883e-06	6.9236e-06	8.8209e-06	1.5056e-05	
6.0741e-05	1.4065e-05	1.0684e-05	1.1724e-05	0.00026799	0.00011511	0.21467	2.2553e-06	1.4066e-06	7.22e-06	8.951e-06	1.5128e-05	
6.0632e-05	1.4028e-05	1.1127e-05	1.2393e-05	0.00026685	0.00011357	0.2143	2.284e-06	1.5124e-06	7.497e-06	9.0496e-06	1.5184e-05	
6.0564e-05	1.4023e-05	1.1601e-05	1.314e-05	0.00026579	0.00011212	0.21407	2.3223e-06	1.6325e-06	7.7918e-06	9.1917e-06	1.5249e-05	
6.0471e-05	1.3988e-05	1.205e-05	1.3829e-05	0.00026467	0.00011061	0.21377	2.3475e-06	1.7399e-06	8.0656e-06	9.3021e-06	1.53e-05	
6.0358e-05	1.3926e-05	1.2476e-05	1.4467e-05	0.00026351	0.00010906	0.2134	2.3571e-06	1.836e-06	8.3215e-06	9.384e-06	1.5336e-05	
6.0279e-05	1.3891e-05	1.2929e-05	1.5044e-05	0.00026242	0.00010758	0.21297	2.3742e-06	1.9442e-06	8.5923e-06	9.5034e-06	1.538e-05	
6.0178e-05	1.3829e-05	1.3359e-05	1.5563e-05	0.00026128	0.00010606	0.21245	2.3756e-06	2.0407e-06	8.8449e-06	9.5937e-06	1.5409e-05	
6.0056e-05	1.3739e-05	1.3766e-05	1.6628e-05	0.00026008	0.00010449	0.21059	2.9578e-06	2.1257e-06	9.0505e-06	9.6552e-06	1.5424e-05	
5.9967e-05	1.3675e-05	1.4198e-05	1.7786e-05	0.00025896	0.00010299	0.20896	3.5781e-06	2.2221e-06	9.269e-06	9.7516e-06	1.5446e-05	
5.9857e-05	1.3583e-05	1.4607e-05	1.8879e-05	0.00025779	0.00010145	0.20721	4.1683e-06	2.3069e-06	9.47e-06	9.8198e-06	1.5453e-05	
