Trachemys_scripta	Terrapene_carolina	Pelodiscus_sinensis	Mauremys_reevesii	Gopherus_evgoodei	Dermochelys_coriacea	Chrysemys_picta	Chelonoidis_abingdonii	Chelonia_mydas	
0.0010091	5.0315e-05	1.6912e-07	0.00013478	0.00029361	3.1342e-05	0.00032419	0.00025909	8.7022e-06	
0.0010064	5.1232e-05	1.4487e-07	0.00013566	0.0002925	3.1403e-05	0.00032523	0.00026082	8.647e-06	
0.0010037	5.2138e-05	1.276e-07	0.00013652	0.00029138	3.1472e-05	0.00032624	0.00026253	8.5997e-06	
0.001001	5.3053e-05	1.1407e-07	0.00013741	0.00029028	3.1551e-05	0.00032728	0.00026429	8.56e-06	
0.00099822	5.3957e-05	9.5232e-08	0.00013828	0.00028916	3.1622e-05	0.00032829	0.00026602	8.5125e-06	
0.00099547	5.485e-05	1.2395e-07	0.00013913	0.00028802	3.1686e-05	0.00032927	0.00026773	8.4572e-06	
0.00099276	5.5752e-05	1.5864e-07	0.00014002	0.00028691	3.1758e-05	0.00033029	0.00026948	8.4095e-06	
0.00099002	5.6644e-05	1.868e-07	0.00014089	0.00028578	3.1823e-05	0.00033127	0.00027122	8.3541e-06	
0.00098726	5.7525e-05	2.0872e-07	0.00014173	0.00028463	3.188e-05	0.00033222	0.00027293	8.291e-06	
0.00098452	5.8412e-05	2.3518e-07	0.00014261	0.0002835	3.1944e-05	0.0003332	0.00027468	8.2336e-06	
0.00098181	5.9306e-05	2.6693e-07	0.00014352	0.0002824	3.2015e-05	0.0003342	0.00027647	8.1819e-06	
0.00097908	6.0189e-05	2.9148e-07	0.0001444	0.00028127	3.2078e-05	0.00033517	0.00027823	8.1222e-06	
0.00097633	6.106e-05	3.091e-07	0.00014526	0.00028012	3.2134e-05	0.00033611	0.00027997	8.0544e-06	
0.0009736	6.1938e-05	3.3183e-07	0.00014616	0.00027899	3.2196e-05	0.00033707	0.00028175	7.9921e-06	
0.0009709	6.2823e-05	3.6032e-07	0.00014708	0.00027789	3.2265e-05	0.00033806	0.00028357	7.9354e-06	
0.00096821	6.3715e-05	3.9545e-07	0.00014803	0.0002768	3.2341e-05	0.00033907	0.00028544	7.884e-06	
0.00096551	6.4596e-05	4.2315e-07	0.00014896	0.0002757	3.2409e-05	0.00034006	0.00028727	7.8253e-06	
0.00096284	6.5485e-05	4.5989e-07	0.00014844	0.00027462	3.2486e-05	0.00034108	0.00028916	7.7735e-06	
0.00096015	6.6364e-05	4.8826e-07	0.0001479	0.00027353	3.2555e-05	0.00034206	0.00029102	7.7138e-06	
0.00095743	6.7231e-05	5.0857e-07	0.00014734	0.00027241	3.2616e-05	0.00034301	0.00029286	7.6461e-06	
0.00095475	6.8107e-05	5.3791e-07	0.0001468	0.00027131	3.2686e-05	0.000344	0.00029474	7.5854e-06	
0.00095205	6.8972e-05	5.5892e-07	0.00014625	0.0002702	3.2748e-05	0.00034495	0.0002966	7.5167e-06	
0.00094937	6.9845e-05	5.8946e-07	0.00014573	0.00026912	3.2818e-05	0.00034594	0.00029639	7.4548e-06	
0.00094668	7.0708e-05	6.1159e-07	0.00014519	0.00026802	3.2881e-05	0.0003469	0.00029617	7.3852e-06	
0.00094398	7.1565e-05	6.4349e-07	0.00014468	0.00026694	3.2952e-05	0.00034784	0.00029597	7.3221e-06	
0.00094128	7.2419e-05	6.841e-07	0.00014419	0.00026589	3.303e-05	0.00034878	0.0002958	7.264e-06	
0.00093857	7.3267e-05	7.1578e-07	0.00014369	0.00026481	3.31e-05	0.0003497	0.00029561	7.1983e-06	
0.00093589	7.4124e-05	7.5873e-07	0.00014321	0.00026376	3.3178e-05	0.00035066	0.00029545	7.1389e-06	
0.00093319	7.4971e-05	7.9251e-07	0.00014272	0.00026269	3.3249e-05	0.00035159	0.00029527	7.072e-06	
0.00093052	7.5825e-05	8.3824e-07	0.00014225	0.00026164	3.3328e-05	0.00035254	0.00029512	7.0113e-06	
0.00092787	7.6689e-05	8.9767e-07	0.00014181	0.00026062	3.3415e-05	0.00035353	0.000295	6.9566e-06	
0.00092521	7.7541e-05	9.4669e-07	0.00014136	0.00025958	3.3495e-05	0.00035449	0.00029486	6.8946e-06	
0.00092257	7.8382e-05	9.8648e-07	0.00014089	0.00025851	3.3568e-05	0.00035548	0.00029471	6.8256e-06	
0.00091995	7.9229e-05	1.0375e-06	0.00014044	0.00025747	3.3647e-05	0.00035649	0.00029458	6.7613e-06	
0.00091732	8.0065e-05	1.079e-06	0.00013997	0.00025641	3.3719e-05	0.00035748	0.00029443	6.6901e-06	
0.00091471	8.0909e-05	1.1323e-06	0.00013953	0.00025537	3.3798e-05	0.00035849	0.00029431	6.6235e-06	
0.00091212	8.1759e-05	1.1988e-06	0.00013911	0.00025435	3.3884e-05	0.00035952	0.00029421	6.5613e-06	
0.00090951	8.2599e-05	1.2547e-06	0.00013867	0.00025331	3.3962e-05	0.00036053	0.0002941	6.4924e-06	
0.00090693	8.3447e-05	1.328e-06	0.00013826	0.0002523	3.405e-05	0.00036157	0.00029401	6.4294e-06	
0.0009043	8.4309e-05	1.4217e-06	0.00013788	0.00025131	3.4145e-05	0.00036256	0.00029396	6.3721e-06	
0.00090166	8.5145e-05	1.5397e-06	0.00013753	0.00025034	3.425e-05	0.00036352	0.00029393	6.3205e-06	
0.000899	8.597e-05	1.6423e-06	0.00013716	0.00024935	3.4346e-05	0.00036445	0.00029388	6.2617e-06	
0.00089636	8.6804e-05	1.7707e-06	0.00013681	0.00024839	3.4452e-05	0.00036541	0.00029386	6.2084e-06	
0.00089375	8.7647e-05	1.93e-06	0.00013649	0.00024744	3.4565e-05	0.00036641	0.00029387	6.1605e-06	
0.00089116	8.7075e-05	2.1262e-06	0.0001362	0.00024652	3.4688e-05	0.00036743	0.00029391	6.1179e-06	
0.00088856	8.6492e-05	3.6938e-06	0.00013589	0.00024558	3.4802e-05	0.00036842	0.00029393	6.0683e-06	
0.00088597	8.5914e-05	5.5132e-06	0.0001356	0.00024466	3.4924e-05	0.00036944	0.00029397	6.0224e-06	
0.0008834	8.5341e-05	7.6161e-06	0.00013533	0.00024376	3.5051e-05	0.00037048	0.00029404	5.9799e-06	
0.00088085	8.4772e-05	1.0039e-05	0.00013507	0.00024287	3.5185e-05	0.00037154	0.00029412	5.9405e-06	
0.00087832	8.4207e-05	1.2824e-05	0.00013484	0.00024199	3.5325e-05	0.00037262	0.00029423	5.9042e-06	
0.00087577	8.3633e-05	1.5434e-05	0.00013459	0.0002411	3.5458e-05	0.00037368	0.00029432	5.8618e-06	
0.00087321	8.3051e-05	1.7905e-05	0.00013433	0.00024019	3.5585e-05	0.00037471	0.0002944	5.8139e-06	
0.00087067	8.2474e-05	2.0791e-05	0.00013409	0.0002393	3.5719e-05	0.00037577	0.0002945	5.7698e-06	
0.00086814	8.1901e-05	2.408e-05	0.00013387	0.00023843	3.5859e-05	0.00037685	0.00029463	5.7284e-06	
0.00086563	8.1332e-05	2.792e-05	0.00013367	0.00023757	3.6006e-05	0.00037795	0.00029477	5.6905e-06	
0.00086311	8.0755e-05	3.1543e-05	0.00013346	0.0002367	3.6147e-05	0.00037903	0.00029491	5.6469e-06	
0.00086058	8.0169e-05	3.4967e-05	0.00013323	0.00023581	3.6281e-05	0.00038009	0.00029503	5.5977e-06	
0.00085806	7.9589e-05	3.8951e-05	0.00013302	0.00023494	3.6423e-05	0.00038116	0.00029517	5.5521e-06	
0.00085554	7.8999e-05	4.2718e-05	0.0001328	0.00023406	3.6558e-05	0.00038222	0.0002953	5.5007e-06	
0.00085299	7.8402e-05	4.6284e-05	0.00013257	0.00023316	3.6688e-05	0.00038325	0.00029542	5.4438e-06	
0.00085047	7.7809e-05	5.0429e-05	0.00013236	0.00023228	3.6824e-05	0.0003843	0.00029557	5.3904e-06	
0.00084794	7.7207e-05	5.4374e-05	0.00013214	0.00023139	3.6954e-05	0.00038533	0.0002957	5.3316e-06	
0.00084542	7.6611e-05	5.8965e-05	0.00013194	0.00023051	3.7092e-05	0.00038639	0.00029585	5.2763e-06	
0.00084292	7.602e-05	6.4322e-05	0.00013176	0.00022965	3.7237e-05	0.00038748	0.00029603	5.2246e-06	
0.00084041	7.542e-05	6.9372e-05	0.00013156	0.00022877	3.7376e-05	0.00038853	0.0002962	5.1671e-06	
0.00083792	7.4825e-05	7.5281e-05	0.00013139	0.00022791	3.7522e-05	0.00038962	0.00029639	5.1133e-06	
0.00083541	7.4222e-05	8.0835e-05	0.0001312	0.00022704	3.7661e-05	0.00039067	0.00029656	5.0535e-06	
0.00083293	7.3623e-05	8.7366e-05	0.00013103	0.00022618	3.7809e-05	0.00039176	0.00029677	4.9976e-06	
0.00083046	7.3031e-05	8.8993e-05	0.00013089	0.00022534	3.7965e-05	0.00039288	0.00029699	4.9457e-06	
0.00082798	7.2429e-05	9.0502e-05	0.00013073	0.00022449	3.8114e-05	0.00039397	0.00029721	4.888e-06	
0.00082549	7.1819e-05	9.1899e-05	0.00013056	0.00022362	3.8256e-05	0.00039503	0.00029741	4.8243e-06	
0.00082302	7.1213e-05	9.3546e-05	0.00013041	0.00022277	3.8406e-05	0.00039612	0.00029763	4.7637e-06	
0.00082056	7.0613e-05	9.5549e-05	0.00013028	0.00022193	3.8564e-05	0.00039724	0.00029788	4.7073e-06	
0.00081813	7.0019e-05	9.7988e-05	0.00013018	0.00022112	3.8732e-05	0.00039839	0.00029816	4.6552e-06	
0.00081572	6.9431e-05	0.00010088	0.0001301	0.00022032	3.8907e-05	0.00039957	0.00029846	4.6063e-06	
0.00081328	6.8831e-05	0.00010349	0.00012999	0.00021951	3.9075e-05	0.00040071	0.00029874	4.5507e-06	
0.00081084	6.8222e-05	0.00010588	0.00012988	0.00021867	3.9231e-05	0.00040183	0.00029901	4.9392e-06	
0.00080841	6.7618e-05	0.00010874	0.00012978	0.00021786	3.9397e-05	0.00040297	0.0002993	5.341e-06	
0.00080596	6.7004e-05	0.00011133	0.00012967	0.00021702	3.9554e-05	0.00040409	0.00029958	5.7311e-06	
0.00080354	6.6397e-05	0.00011216	0.00012954	0.00021617	3.9722e-05	0.00040524	0.00029984	6.1388e-06	
0.00080115	6.5799e-05	0.00011326	0.00012943	0.00021534	3.9907e-05	0.00040643	0.00030013	6.2028e-06	
0.00079877	6.5206e-05	0.00011469	0.00012935	0.00021453	4.0102e-05	0.00040765	0.00030045	6.2719e-06	
0.00079638	6.4603e-05	0.00011597	0.00012925	0.0002137	4.0287e-05	0.00040884	0.00030075	6.3336e-06	
0.00079401	6.4005e-05	0.00011753	0.00012917	0.00021289	4.0482e-05	0.00041007	0.00030107	6.4003e-06	
0.00079162	6.3397e-05	0.00011894	0.00012907	0.00021206	4.0668e-05	0.00041125	0.00030138	6.4597e-06	
0.00078922	6.2778e-05	0.0001202	0.00012896	0.00021121	4.0846e-05	0.00041241	0.00030167	6.5116e-06	
0.00078683	6.2167e-05	0.0001218	0.00012888	0.00021039	4.1035e-05	0.00041361	0.0003001	6.5702e-06	
0.00078448	6.1564e-05	0.00012382	0.00012882	0.00020959	4.1235e-05	0.00041484	0.00029857	6.6354e-06	
0.00078214	6.0965e-05	0.00012627	0.00012878	0.00020881	4.1445e-05	0.00041611	0.00029708	6.706e-06	
0.00077983	6.0374e-05	0.00012688	0.00012877	0.00020805	4.1667e-05	0.00041742	0.00029563	6.7835e-06	
0.0007775	5.9772e-05	0.00012739	0.00012875	0.00020728	4.1879e-05	0.00041869	0.00029416	6.8528e-06	
0.00077519	5.9177e-05	0.00012811	0.00012875	0.00020652	4.2103e-05	0.00042	0.00029274	6.9292e-06	
0.00077286	5.8571e-05	0.00012872	0.00012873	0.00020575	4.2319e-05	0.00042128	0.00029129	6.9979e-06	
0.00077056	5.7971e-05	0.00012953	0.00012873	0.00020499	4.2544e-05	0.00042259	0.00028988	7.0722e-06	
0.00076824	5.736e-05	0.00013022	0.00012872	0.00020422	4.2759e-05	0.00042386	0.00028845	7.1383e-06	
0.00076593	5.6754e-05	0.00012991	0.00012873	0.00020346	4.2984e-05	0.00042517	0.00028705	7.21e-06	
0.00076365	5.6155e-05	0.00012977	0.00012877	0.00020272	4.3221e-05	0.00042652	0.0002857	7.2889e-06	
0.0007614	5.5562e-05	0.00012981	0.00012883	0.00020201	4.3471e-05	0.00042791	0.00028439	7.3752e-06	
0.00075916	5.4977e-05	0.00013002	0.00012892	0.00020131	4.3733e-05	0.00042934	0.00028312	7.4692e-06	
0.00075691	5.4381e-05	0.00013015	0.00012899	0.0002006	4.3986e-05	0.00043074	0.00028184	7.5553e-06	
0.00075468	5.379e-05	0.00013043	0.00012908	0.0001999	4.4249e-05	0.00043217	0.00028058	7.6474e-06	
0.00075243	5.3188e-05	0.00013062	0.00012916	0.00019919	4.4502e-05	0.00043356	0.00027931	7.731e-06	
0.00075021	5.2593e-05	0.00013099	0.00012926	0.00019849	4.4769e-05	0.000435	0.00027807	7.8225e-06	
0.00074796	5.1987e-05	0.00013126	0.00012935	0.00019778	4.5025e-05	0.0004364	0.00027681	7.9059e-06	
0.0007457	5.1371e-05	0.00013145	0.00012941	0.00019705	4.5272e-05	0.00043776	0.00027553	7.9812e-06	
0.00074342	5.0744e-05	0.00013155	0.00012946	0.0001963	4.551e-05	0.00043909	0.00027423	8.0486e-06	
0.00074112	5.0107e-05	0.00013125	0.00012949	0.00019551	4.5766e-05	0.00044038	0.00027579	8.126e-06	
0.00073884	4.9474e-05	0.00012991	0.00012954	0.00019475	4.6005e-05	0.00044171	0.00027556	8.1925e-06	
0.00073658	4.8846e-05	0.00012884	0.00012962	0.00019401	4.6256e-05	0.00044307	0.00027536	8.2653e-06	
0.0007343	4.8208e-05	0.00012762	0.00012968	0.00019325	4.6496e-05	0.00044439	0.00027515	8.3294e-06	
0.00073201	4.7559e-05	0.00012622	0.00012972	0.00019247	4.6725e-05	0.00044568	0.00027491	8.385e-06	
0.00072973	4.6916e-05	0.00012514	0.00012978	0.00019171	4.6968e-05	0.00044701	0.00027471	8.4483e-06	
0.00072744	4.6262e-05	0.00012391	0.00012983	0.00019093	4.72e-05	0.0004483	0.00027448	8.5031e-06	
0.00072516	4.5613e-05	0.00011974	0.00012989	0.00019016	4.7443e-05	0.00044963	0.00027428	8.5641e-06	
0.00072287	4.4954e-05	0.00011534	0.00012994	0.00018938	4.7676e-05	0.00045092	0.00027407	8.6166e-06	
0.0007206	4.4301e-05	0.00011179	0.00013002	0.00018862	4.7922e-05	0.00045225	0.00027388	8.6768e-06	
0.00071835	4.3654e-05	0.00010892	0.00013012	0.00018787	4.818e-05	0.00045362	0.00027372	8.7448e-06	
0.00071612	4.3011e-05	0.00010653	0.00013025	0.00018715	4.8449e-05	0.00045502	0.00027358	8.8189e-06	
0.00071388	4.2357e-05	0.00010388	0.00013036	0.0001864	4.8708e-05	0.00045639	0.00027343	8.8846e-06	
0.00071161	4.1694e-05	0.00010093	0.00013045	0.00018564	4.8957e-05	0.00045772	0.00027326	8.942e-06	
0.00070933	4.102e-05	9.7669e-05	0.00013052	0.00018486	4.9197e-05	0.00045902	0.00027307	8.9912e-06	
0.00070703	4.0336e-05	9.4054e-05	0.00013057	0.00018406	4.9427e-05	0.00046029	0.00027287	9.0321e-06	
0.00070475	3.9658e-05	9.1123e-05	0.00013065	0.00018328	4.9669e-05	0.00046159	0.00027269	9.0806e-06	
0.00070246	3.897e-05	9.0974e-05	0.00013071	0.00018248	4.9902e-05	0.00046286	0.0002725	9.1214e-06	
0.00070015	3.8272e-05	9.0757e-05	0.00013076	0.00018167	5.0127e-05	0.0004641	0.00027229	9.1545e-06	
0.00069786	3.758e-05	9.0684e-05	0.00013084	0.00018087	5.0364e-05	0.00046538	0.00027212	9.1952e-06	
0.00069558	3.6893e-05	9.0727e-05	0.00013093	0.00018009	5.0611e-05	0.00046669	0.00027196	9.2418e-06	
0.0006933	3.6195e-05	9.0699e-05	0.00013101	0.0001793	5.0848e-05	0.00046797	0.00027179	9.2802e-06	
0.00069102	3.55e-05	9.0789e-05	0.00013111	0.00017851	5.1096e-05	0.00046927	0.00027164	9.3245e-06	
0.00068874	3.4796e-05	9.0807e-05	0.00013119	0.00017771	5.1334e-05	0.00047055	0.00027147	9.3606e-06	
0.00068647	3.4098e-05	9.0966e-05	0.00013129	0.00017693	5.1585e-05	0.00047186	0.00027133	9.4043e-06	
0.00068418	3.3389e-05	9.106e-05	0.00013138	0.00017613	5.1827e-05	0.00047314	0.00027118	9.4404e-06	
0.00068188	3.2672e-05	9.109e-05	0.00013146	0.00017532	5.206e-05	0.00047439	0.00027101	9.4686e-06	
0.00067957	3.1944e-05	9.1053e-05	0.00013152	0.00017449	5.2283e-05	0.00047561	0.00027082	9.4891e-06	
0.00067727	3.1222e-05	9.1161e-05	0.0001316	0.00017368	5.252e-05	0.00047687	0.00027067	9.5184e-06	
0.000675	3.0505e-05	9.1391e-05	0.00013171	0.00017288	5.2768e-05	0.00047816	0.00027054	9.5539e-06	
0.0006727	2.9777e-05	9.1545e-05	0.0001318	0.00017206	5.3006e-05	0.00047941	0.00027039	9.5809e-06	
0.00067039	2.9039e-05	9.1631e-05	0.00013187	0.00017123	5.3234e-05	0.00048063	0.00027022	9.5999e-06	
0.0006681	2.8305e-05	9.1842e-05	0.00013196	0.00017042	5.3473e-05	0.00048189	0.00026792	9.6253e-06	
0.00066579	2.7562e-05	9.1983e-05	0.00013204	0.00016959	5.3702e-05	0.00048311	0.0002656	9.6427e-06	
0.0006635	2.6824e-05	9.2277e-05	0.00013215	0.00016877	5.3946e-05	0.00048438	0.00026333	9.6683e-06	
0.00066124	2.6092e-05	9.2738e-05	0.00013228	0.00016798	5.4203e-05	0.00048569	0.00026113	9.7022e-06	
0.00065899	2.5366e-05	9.2383e-05	0.00013244	0.00016721	5.4475e-05	0.00048704	0.00025898	9.7447e-06	
0.00065677	2.4644e-05	9.2162e-05	0.00013262	0.00016645	5.4758e-05	0.00048843	0.00025689	9.7939e-06	
0.00065457	2.3908e-05	9.1867e-05	0.00013279	0.00016567	5.5031e-05	0.00048987	0.00025476	9.8349e-06	
0.00065239	2.3175e-05	9.1703e-05	0.00013298	0.00016492	5.5317e-05	0.00049134	0.00025269	9.8854e-06	
0.00065024	2.2448e-05	9.0472e-05	0.00013319	0.00016418	5.5617e-05	0.00049286	0.00025067	9.9447e-06	
0.0006481	2.1727e-05	8.6446e-05	0.00013344	0.00016345	5.5932e-05	0.00049442	0.0002487	1.0013e-05	
0.00064595	2.0995e-05	8.1962e-05	0.00013372	0.00016275	5.6236e-05	0.00049595	0.00024679	1.0072e-05	
0.00064378	2.0253e-05	7.6996e-05	0.00013399	0.00016203	5.653e-05	0.00049744	0.00024485	1.0123e-05	
0.00064162	1.9515e-05	7.2815e-05	0.00013428	0.00016133	5.6835e-05	0.00049896	0.00024295	1.0179e-05	
0.00063948	1.8779e-05	6.9283e-05	0.00013459	0.00016063	5.7151e-05	0.00050052	0.0002411	1.0243e-05	
0.00063736	1.8046e-05	6.6289e-05	0.00013492	0.00015995	5.7478e-05	0.00050211	0.00023928	1.0312e-05	
0.00063522	1.7305e-05	6.3045e-05	0.00013524	0.00015926	5.7797e-05	0.00050367	0.00023744	1.0374e-05	
0.00063307	1.6554e-05	5.95e-05	0.00013554	0.00015855	5.8106e-05	0.0005052	0.00023558	1.0428e-05	
0.0006309	1.6847e-05	5.5663e-05	0.00013583	0.00015782	5.8406e-05	0.0005067	0.0002337	1.0475e-05	
0.00062875	1.7139e-05	5.2387e-05	0.00013613	0.00015711	5.8717e-05	0.00050822	0.00023185	1.0527e-05	
0.00062658	1.7424e-05	4.8863e-05	0.00013643	0.00015638	5.9019e-05	0.00050972	0.00022999	1.0572e-05	
0.00062443	1.7707e-05	4.5836e-05	0.00013674	0.00015566	5.9332e-05	0.00051125	0.00022816	1.0623e-05	
0.00062229	1.7991e-05	4.33e-05	0.00013707	0.00015496	5.9657e-05	0.00051282	0.00022637	1.068e-05	
0.00062014	1.8267e-05	4.0567e-05	0.00013739	0.00015424	5.9973e-05	0.00051435	0.00022456	1.0731e-05	
0.000618	1.8543e-05	3.8269e-05	0.00013774	0.00015354	6.0302e-05	0.00051592	0.00022279	1.0788e-05	
0.00061588	1.8818e-05	3.6332e-05	0.0001381	0.00015285	6.0642e-05	0.00051753	0.00022106	1.0852e-05	
0.00061375	1.9086e-05	3.4251e-05	0.00013846	0.00015214	6.0974e-05	0.00051911	0.00021931	1.0908e-05	
0.00061163	1.9353e-05	3.2449e-05	0.00013883	0.00015145	6.1317e-05	0.00052071	0.0002176	1.097e-05	
0.0006095	1.9613e-05	3.0514e-05	0.00013919	0.00015074	6.165e-05	0.00052229	0.00021586	1.1025e-05	
0.00060737	1.9871e-05	2.8838e-05	0.00013956	0.00015004	6.1994e-05	0.0005239	0.00021416	1.1085e-05	
0.00060527	2.0129e-05	2.7385e-05	0.00013996	0.00014935	6.2348e-05	0.00052553	0.00021249	1.1151e-05	
0.00060315	2.0379e-05	2.5836e-05	0.00014034	0.00014865	6.2694e-05	0.00052714	0.0002108	1.121e-05	
0.00060104	2.0629e-05	2.4529e-05	0.00014075	0.00014796	6.3052e-05	0.00052879	0.00020915	1.1275e-05	
0.00059893	2.0872e-05	2.3126e-05	0.00014114	0.00014726	6.3402e-05	0.0005304	0.00020748	1.1334e-05	
0.00059683	2.1115e-05	2.163e-05	0.00014152	0.00014654	6.3745e-05	0.00053205	0.0002058	1.1385e-05	
0.00059474	2.1358e-05	2.0365e-05	0.00014192	0.00014584	6.4099e-05	0.00053374	0.00020415	1.1444e-05	
0.00059267	2.16e-05	1.9295e-05	0.00014234	0.00014515	6.4466e-05	0.00053547	0.00020253	1.1509e-05	
0.00059061	2.1842e-05	1.8363e-05	0.00014279	0.00014447	6.4843e-05	0.00053722	0.00020095	1.158e-05	
