Zonotrichia_albicollis	Upupa_epops	Tyto_alba	Tinamus_guttatus	Tauraco_erythrolophus	Taeniopygia_guttata	Struthio_camelus	Strigops_habroptila	Stachyridopsis_ruficeps	Spheniscus_demersus	Serinus_canaria	Rhea_americana	Pygoscelis_adeliae	Pterocles_gutturalis	Podilymbus_podiceps	Phoenicopterus_ruber	Phalacrocorax_carbo	Phaethon_lepturus	Passer_domesticus	Parus_major	Oxyura_jamaicensis	Oriolus_oriolus	Opisthocomus_hoazin	Nothoprocta_perdicaria	Nipponia_nippon	Nettapus_auritus	Nestor_notabilis	Mesitornis_unicolor	Merops_nubicus	Melopsittacus_undulatus	Manacus_vitellinus	Malurus_cyaneus	Lonchura_striata	Leptosomus_discolor	Haliaeetus_leucocephalus	Gymnogyps_californianus	Geospiza_fortis	Geococcyx_californianus	Gavia_stellata	Galbula_dea	Fulmarus_glacialis	Ficedula_albicollis	Falco_tinnunculus	Falco_peregrinus	Egretta_garzetta	Dryobates_pubescens	Dromaius_novaehollandiae	Cygnus_olor	Cygnus_atratus	Cuculus_canorus	Corythaeola_cristata	Corvus_moneduloides	Corvus_brachyrhynchos	Columba_livia	Coloeus_monedula	Cnemophilus_loriae	Ciconia_maguari	Chloebia_gouldiae	Chlamydotis_macqueenii	Cathartes_aura	Casuarius_casuarius	Cariama_cristata	Camarhynchus_parvulus	Calypte_anna	Calidris_pugnax	Cairina_moschata	Buteo_japonicus	Buceros_rhinoceros	Branta_canadensis	Aythya_fuligula	Asarcornis_scutulata	Aquila_chrysaetos	Apteryx_rowi	Apteryx_australis	Aptenodytes_forsteri	Apaloderma_vittatum	Antrostomus_carolinensis	Anser_cygnoides	Anser_brachyrhynchus	Anseranas_semipalmata	Anas_platyrhynchos	Acanthisitta_chloris	
0.83568	2.2818e-05	0.00053831	0.15102	0.00078796	0.0050016	0.017031	1.4813e-05	8.8917e-05	7.8179e-05	6.1372e-05	0.00037597	2.9071e-05	1.5945e-05	1.057e-05	0.00023486	0.0001298	0.00012024	0.00024583	8.7743e-06	2.1001e-05	0.00029579	5.0227e-05	0.17299	5.8384e-06	0.00018274	3.0124e-05	1.6877e-05	7.4027e-07	1.4287e-06	5.6981e-06	4.5107e-06	0.0053169	5.5884e-05	0.77456	0.0039109	0.0028639	1.951e-05	1.7425e-06	6.3402e-06	6.1159e-05	0.0006782	0.011786	0.00080663	8.5515e-06	1.043e-06	0.00050127	0.0013818	0.00012331	0.00013829	0.00037254	0.0014536	0.01	1.1336e-05	0.020323	0.00040831	7.0662e-05	0.0005334	2.6186e-06	0.79648	0.00023962	4.5078e-05	0.007322	1.3875e-05	3.1739e-06	0.00016605	0.0015528	0.0073996	0.0044848	0.0035569	0.0019141	0.00080665	0.010905	0.0076171	0.0074312	9.2246e-08	1.3653e-05	0.0003763	0.00635	0.00012536	0.00067128	4.2875e-06	
0.83658	2.2421e-05	0.00053841	0.15078	0.00078742	0.0049921	0.017053	1.463e-05	8.8425e-05	7.6977e-05	6.0056e-05	0.00037378	2.6952e-05	1.5529e-05	9.9221e-06	0.00023285	0.00012835	0.00011047	0.00022466	9.3087e-06	1.9597e-05	0.0002878	4.8723e-05	0.17498	5.7295e-06	0.00018088	2.8473e-05	1.5794e-05	6.9171e-07	1.3528e-06	5.3113e-06	4.7636e-06	0.0053185	5.5121e-05	0.77535	0.0039103	0.0028605	1.9083e-05	1.5575e-06	6.0892e-06	5.7286e-05	0.00067659	0.011794	0.00080152	8.2598e-06	7.2972e-07	0.00049879	0.0013792	0.0001211	0.00013565	0.00037072	0.0014495	0.01	1.0375e-05	0.020321	0.00040399	6.9101e-05	0.00053211	2.1605e-06	0.79727	0.00023824	4.0299e-05	0.0073205	1.2748e-05	2.9432e-06	0.00015798	0.0015491	0.007408	0.0044851	0.0035541	0.0019108	0.00080552	0.0109	0.0076148	0.0074214	1.1142e-07	1.2786e-05	0.00037203	0.0063478	0.00012365	0.00066896	4.0389e-06	
0.83743	2.1966e-05	0.00053843	0.15049	0.0007868	0.0049825	0.017073	1.4433e-05	8.7892e-05	7.5744e-05	5.8687e-05	0.0003714	2.4756e-05	1.51e-05	9.2396e-06	0.00023075	0.00012678	0.00010032	0.00020268	9.8172e-06	1.8145e-05	0.00027947	4.7128e-05	0.17672	5.6126e-06	0.00017895	2.6768e-05	1.4649e-05	6.3307e-07	1.2695e-06	4.8926e-06	4.999e-06	0.0053198	5.4311e-05	0.77614	0.0039097	0.0028571	1.8613e-05	1.3628e-06	5.8094e-06	5.3307e-05	0.00067479	0.011802	0.00079636	7.9442e-06	3.8982e-07	0.00049626	0.0013765	0.00011887	0.00013288	0.00036885	0.0014455	0.01	1.0252e-05	0.02032	0.00039949	6.744e-05	0.00053077	1.6645e-06	0.79806	0.00023685	3.5328e-05	0.0073191	1.1518e-05	2.6884e-06	0.00014976	0.0015454	0.0074152	0.0044854	0.0035512	0.0019075	0.00080435	0.010896	0.0076124	0.0074111	1.2359e-07	1.1881e-05	0.00036774	0.0063456	0.00012185	0.00066656	3.7439e-06	
0.83825	2.1445e-05	0.00053839	0.15017	0.0007861	0.0049727	0.017092	1.4223e-05	8.7321e-05	7.4482e-05	5.727e-05	0.00036884	2.2488e-05	1.4645e-05	8.5248e-06	0.00022856	0.00012509	8.9801e-05	0.00017995	1.0302e-05	1.665e-05	0.00027082	4.5457e-05	0.17826	5.4881e-06	0.00017698	2.5012e-05	1.3444e-05	5.6454e-07	1.1793e-06	4.4428e-06	5.2184e-06	0.005321	5.3456e-05	0.77692	0.0039091	0.0028536	1.8078e-05	1.3839e-06	5.4963e-06	5.2827e-05	0.00067282	0.01181	0.00079116	7.6055e-06	3.394e-07	0.0004937	0.0013738	0.00011662	0.00013337	0.00036693	0.0014413	0.01	1.0118e-05	0.020318	0.00039481	6.5685e-05	0.00053431	1.6053e-06	0.79884	0.00023544	3.0177e-05	0.0073176	1.0186e-05	2.4083e-06	0.00014141	0.0015417	0.0074758	0.0044857	0.0035483	0.0019042	0.00080316	0.010892	0.00761	0.0074005	2.6574e-07	1.094e-05	0.00036344	0.0063433	0.00011995	0.00066409	3.3998e-06	
0.83915	2.1043e-05	0.00053849	0.14993	0.00078139	0.0049632	0.017114	1.4028e-05	8.5194e-05	7.3277e-05	5.595e-05	0.00035955	2.0363e-05	1.4242e-05	7.8749e-06	0.00022654	0.00012364	8.0082e-05	0.00015884	1.0824e-05	1.5243e-05	0.00026285	4.3947e-05	0.18023	5.3729e-06	0.00017514	2.3356e-05	1.2359e-05	5.1019e-07	1.0987e-06	4.0595e-06	5.4558e-06	0.0053225	5.2691e-05	0.77772	0.0039085	0.0028502	1.7648e-05	1.4071e-06	5.224e-06	5.2393e-05	0.0006712	0.011818	0.0007859	7.3134e-06	2.9639e-07	0.00049121	0.0013712	0.0001144	0.00013216	0.00036515	0.0014373	0.01	9.6467e-06	0.020316	0.00039051	6.4121e-05	0.00053799	1.5581e-06	0.79963	0.00023405	2.5384e-05	0.0073161	9.0612e-06	2.1797e-06	0.00013332	0.0015381	0.0075497	0.004486	0.0035454	0.0019009	0.00080203	0.010888	0.0076077	0.0073906	4.2655e-07	1.0072e-05	0.00035916	0.0063411	0.00011824	0.00066177	3.1552e-06	
0.84013	1.9737e-05	0.00053872	0.14976	0.00077696	0.0049538	0.017138	1.3116e-05	8.3248e-05	7.212e-05	5.471e-05	0.00035113	1.8353e-05	1.3879e-05	7.2758e-06	0.00022467	0.00012238	7.0998e-05	0.00013902	1.1379e-05	1.3905e-05	0.00025541	3.9138e-05	0.18262	5.2652e-06	0.0001734	2.1785e-05	1.1365e-05	4.6574e-07	1.0258e-06	3.7213e-06	5.7089e-06	0.0053243	5.1998e-05	0.77854	0.003908	0.0028468	1.7281e-05	1.4318e-06	4.9826e-06	5.1994e-05	0.00066319	0.011826	0.00078071	7.0565e-06	2.587e-07	0.00048878	0.0013686	0.00011222	0.00013108	0.00036344	0.0014333	0.01	9.23e-06	0.020315	0.00038652	6.2705e-05	0.0005418	1.52e-06	0.80044	0.0002327	2.0876e-05	0.0073146	8.0885e-06	1.9852e-06	0.00012544	0.0015346	0.0076375	0.0044864	0.0035426	0.0018977	0.00080094	0.010884	0.0076054	0.0073815	6.0539e-07	9.2616e-06	0.00035489	0.0063389	0.00011668	0.00065956	2.9733e-06	
0.84107	1.8266e-05	0.00053887	0.14954	0.00077236	0.0049444	0.01716	1.2177e-05	8.1196e-05	7.0931e-05	5.3416e-05	0.0003422	1.6268e-05	1.3491e-05	6.6443e-06	0.00022271	0.00012099	6.1545e-05	0.00013629	1.1905e-05	1.2515e-05	0.00024782	3.8465e-05	0.18474	5.1495e-06	0.00017438	2.016e-05	1.0313e-05	5.1875e-07	9.4586e-07	3.3544e-06	5.9438e-06	0.0053259	5.1256e-05	0.77935	0.0039076	0.0028434	1.6874e-05	1.4496e-06	5.2637e-06	5.156e-05	0.00065476	0.011834	0.00077547	6.7777e-06	2.1587e-07	0.00048631	0.001366	0.00011002	0.00012991	0.00036168	0.0014293	0.01	8.7767e-06	0.020313	0.00038235	6.1286e-05	0.00054553	1.474e-06	0.80124	0.00023132	2.0357e-05	0.0073131	7.0241e-06	1.7698e-06	0.00011741	0.001531	0.0077169	0.0044868	0.0035397	0.0018944	0.00079982	0.010879	0.0076031	0.0073719	7.6615e-07	8.4146e-06	0.0003506	0.0063367	0.00011502	0.00065727	2.7559e-06	
0.84209	1.3815e-05	0.00053914	0.14922	0.00076803	0.00491	0.017185	1.1273e-05	7.9317e-05	6.9789e-05	5.2199e-05	0.00033411	1.4295e-05	1.3142e-05	6.062e-06	0.00022088	0.00011979	5.271e-05	0.00013377	1.2466e-05	1.1193e-05	0.00024074	3.7857e-05	0.18642	5.041e-06	0.00017544	1.8615e-05	9.3501e-06	5.8293e-07	8.7287e-07	3.0304e-06	6.1947e-06	0.0053279	5.0584e-05	0.78017	0.0039071	0.00284	1.6528e-05	1.4689e-06	5.2163e-06	5.1163e-05	0.00064701	0.011842	0.00077029	6.5324e-06	1.7857e-07	0.0004839	0.0013634	0.00010784	0.00012885	0.00036	0.0014253	0.01	8.3736e-06	0.020312	0.00037848	5.9863e-05	0.0005494	1.4368e-06	0.80205	0.00022997	1.9881e-05	0.0073117	6.1026e-06	1.5863e-06	0.00010959	0.0015276	0.0078116	0.0044872	0.0035369	0.0018912	0.00079875	0.010875	0.0076008	0.007363	9.4605e-07	7.6234e-06	0.00034633	0.0063345	0.00011351	0.0006551	2.5944e-06	
0.84318	1.0201e-05	0.00053755	0.14897	0.00076396	0.0048762	0.017213	1.0402e-05	7.7597e-05	6.8692e-05	5.1056e-05	0.00032679	1.2428e-05	1.2829e-05	5.5248e-06	0.00021919	0.00011876	4.4452e-05	0.00013143	1.3062e-05	9.937e-06	0.00023413	3.7308e-05	0.18849	4.9395e-06	0.00017658	1.7144e-05	8.4683e-06	6.6029e-07	8.0623e-07	2.7445e-06	6.4625e-06	0.0053301	4.9977e-05	0.78101	0.0039066	0.0028367	1.6235e-05	1.4896e-06	5.189e-06	5.08e-05	0.00063991	0.01185	0.00076518	6.3171e-06	1.456e-07	0.00048155	0.001361	0.0001057	0.00012792	0.00035839	0.0014214	0.01	8.0152e-06	0.02031	0.00037489	5.8438e-05	0.00055342	1.4079e-06	0.80285	0.00022864	1.9444e-05	0.0073102	5.305e-06	1.4302e-06	0.00010198	0.0015242	0.0078423	0.0044877	0.0035341	0.001888	0.00079772	0.010871	0.0075986	0.0073549	9.71e-07	6.8843e-06	0.00034208	0.0063324	0.00011213	0.00065304	2.4758e-06	
0.84438	7.3365e-06	0.00053188	0.14881	0.00076017	0.004843	0.017244	9.5711e-06	7.605e-05	6.7646e-05	4.9994e-05	0.00032029	1.0677e-05	1.2553e-05	5.0363e-06	0.00021764	0.0001179	3.6821e-05	0.00012931	1.3703e-05	8.7536e-06	0.00022805	3.6824e-05	0.19108	4.8463e-06	0.00017781	1.5757e-05	7.6734e-06	7.5658e-07	7.466e-07	2.4979e-06	6.7523e-06	0.0053327	4.9441e-05	0.78117	0.003906	0.0028333	1.5998e-05	1.5126e-06	5.186e-06	5.048e-05	0.00061695	0.011859	0.00076014	6.1331e-06	1.1712e-07	0.00047927	0.0013585	0.00010359	0.00012711	0.00035686	0.0014175	0.01	7.7033e-06	0.020309	0.00037161	5.7182e-05	0.00055762	1.3883e-06	0.80365	0.00022734	1.9056e-05	0.0073088	4.6318e-06	1.3013e-06	9.4608e-05	0.0015211	0.00788	0.0044882	0.0035313	0.0018848	0.00079675	0.010868	0.0075964	0.0073475	1.0069e-06	6.2018e-06	0.0003378	0.0063303	0.0001109	0.00065111	2.3954e-06	
0.84567	4.9882e-06	0.00052671	0.14871	0.00075662	0.0048104	0.017278	8.7162e-06	7.4636e-05	6.6642e-05	4.8997e-05	0.00031442	9.0191e-06	1.2308e-05	4.5857e-06	0.00021622	0.0001145	2.9689e-05	0.00012735	1.4385e-05	7.6285e-06	0.00022238	3.6393e-05	0.19418	4.7596e-06	0.00017912	1.4325e-05	6.9455e-06	8.7302e-07	6.8132e-07	2.2803e-06	7.0613e-06	0.0053356	4.7526e-05	0.78134	0.0039056	0.00283	1.5802e-05	1.5373e-06	5.2045e-06	5.0194e-05	0.00059577	0.011867	0.00075505	5.9728e-06	2.2435e-08	0.00047704	0.0013562	0.00010152	0.00012641	0.00035541	0.0014137	0.01	7.4266e-06	0.020308	0.00036857	5.6049e-05	0.00056197	1.376e-06	0.80446	0.00022606	1.8704e-05	0.0073073	4.0491e-06	1.1919e-06	8.7425e-05	0.001518	0.0079248	0.0044888	0.0035286	0.0018817	0.00079583	0.010864	0.0075942	0.0073408	1.0512e-06	5.5641e-06	0.00033354	0.0063281	0.00010979	0.0006493	2.3404e-06	
0.84706	4.6335e-06	0.00052129	0.14868	0.00075294	0.0047782	0.017315	7.8379e-06	7.3345e-05	6.568e-05	4.8062e-05	0.00030912	7.4494e-06	1.2045e-05	4.1129e-06	0.00021473	0.00011097	2.8597e-05	0.00012555	1.511e-05	6.4693e-06	0.00021646	3.5929e-05	0.19788	4.6658e-06	0.00018039	1.285e-05	6.1785e-06	9.756e-07	6.1029e-07	2.04e-06	7.4924e-06	0.0053389	4.5521e-05	0.7815	0.003905	0.0028266	1.5583e-05	1.5554e-06	5.2004e-06	4.9872e-05	0.00057622	0.011875	0.00074992	5.8045e-06	7.7679e-09	0.00047488	0.0013538	9.9424e-05	0.00012564	0.00035393	0.0014099	0.01	7.1309e-06	0.020307	0.00036519	5.4877e-05	0.00056648	1.3575e-06	0.80527	0.00022481	1.8314e-05	0.0073059	4.0246e-06	1.0712e-06	8.0121e-05	0.0015149	0.0079653	0.0044894	0.0035258	0.0018785	0.00079488	0.01086	0.0075921	0.0073347	1.0843e-06	4.897e-06	0.00032926	0.006326	0.00010861	0.00064741	2.2714e-06	
