Zootoca_vivipara	Vipera_berus	Thamnophis_elegans	Sceloporus_undulatus	Python_bivittatus	Ptyas_mucosa	Pseudonaja_textilis	Protobothrops_mucrosquamatus	Pogona_vitticeps	Podarcis_muralis	Pituophis_catenifer	Pantherophis_obsoletus	Notechis_scutatus	Naja_naja	Laticauda_colubrina	Lacerta_agilis	Hydrophis_cyanocinctus	Gekko_japonicus	Crotalus_tigris	Chrysopelea_ornata	Bothrops_jararaca	Anolis_carolinensis	
0.0012143	0.00010286	1.2801e-05	5.0146e-06	4.6187e-05	9.0476e-05	0.0056347	6.8018e-05	7.3584e-06	0.00014634	7.7977e-06	5.1054e-05	5.9516e-06	0.00023832	0.00010869	0.0085862	0.0054425	0.001792	5.9325e-08	7.2432e-06	0.0011661	2.2006e-05	
0.001221	0.00010197	1.2331e-05	4.7162e-06	4.4931e-05	9.0013e-05	0.005624	6.624e-05	6.3964e-06	0.00014629	7.4073e-06	4.953e-05	5.9423e-06	0.00023458	0.0001076	0.0085933	0.0054398	0.001784	4.8536e-08	7.0152e-06	0.0011651	1.9982e-05	
0.0012275	0.00010105	1.1827e-05	4.3857e-06	4.3589e-05	8.9528e-05	0.0056132	6.4425e-05	5.2291e-06	0.0001462	7.0027e-06	4.7981e-05	5.9239e-06	0.00023074	0.0001065	0.0086	0.005437	0.0017745	3.4894e-08	6.7705e-06	0.0011641	1.77e-05	
0.0012337	0.00010018	1.138e-05	4.0062e-06	4.1833e-05	8.9079e-05	0.0056026	6.2666e-05	3.8419e-06	0.00014605	6.6202e-06	4.647e-05	5.9031e-06	0.00022708	0.00010542	0.0086065	0.0054344	0.0017637	2.4072e-08	6.5484e-06	0.0011632	1.7387e-05	
0.001235	9.9268e-05	1.0983e-05	3.7234e-06	4.0303e-05	8.8665e-05	0.0055923	6.087e-05	2.9091e-06	0.00014667	6.2589e-06	4.4994e-05	5.88e-06	0.00022359	0.00010436	0.0086032	0.005432	0.0017439	2.7447e-08	6.3477e-06	0.0011622	1.636e-05	
0.0012361	9.8323e-05	1.0558e-05	3.4129e-06	3.8684e-05	8.8231e-05	0.0055818	5.904e-05	1.8019e-06	0.00014724	5.8853e-06	4.3497e-05	5.848e-06	0.00022002	0.0001033	0.0085996	0.0054294	0.0017348	2.9105e-08	6.1324e-06	0.0011612	1.521e-05	
0.0012375	9.7434e-05	1.0182e-05	3.1489e-06	3.7218e-05	8.7831e-05	0.0055715	5.7267e-05	9.5019e-07	0.00014787	5.5321e-06	4.2035e-05	5.8136e-06	0.00021661	0.00010226	0.0085966	0.0054271	0.001715	3.179e-08	5.9376e-06	0.0011603	1.4294e-05	
0.0012387	9.6512e-05	9.7791e-06	2.8556e-06	3.5664e-05	8.7413e-05	0.0055611	5.546e-05	8.5629e-07	0.00014845	5.1669e-06	4.0552e-05	5.7702e-06	0.00021312	0.0001012	0.0085933	0.0054247	0.001691	3.2723e-08	5.7286e-06	0.0011593	1.3256e-05	
0.0012402	9.5646e-05	9.4221e-06	2.6059e-06	3.4257e-05	8.7028e-05	0.005551	5.3707e-05	7.9862e-07	0.00014909	4.8215e-06	3.9103e-05	5.7245e-06	0.0002098	0.00010017	0.0085905	0.0054225	0.0016739	3.4742e-08	5.5394e-06	0.0011584	1.2429e-05	
0.0012415	9.4744e-05	9.0375e-06	2.3943e-06	3.2754e-05	8.6622e-05	0.0055407	5.1919e-05	7.8204e-07	0.00014968	4.4633e-06	3.7631e-05	5.6695e-06	0.00020638	9.9123e-05	0.0085874	0.0054201	0.0016656	3.4892e-08	5.3352e-06	0.0011575	1.1776e-05	
0.0012427	9.3811e-05	8.6269e-06	2.1611e-06	3.1166e-05	8.6197e-05	0.0055302	5.0097e-05	7.092e-07	0.00015022	4.0931e-06	3.6137e-05	5.6055e-06	0.00020288	9.8059e-05	0.0085841	0.0054177	0.0016624	3.3273e-08	5.1169e-06	0.0011565	1.1041e-05	
0.0012442	9.2938e-05	8.2665e-06	1.9661e-06	2.9739e-05	8.5809e-05	0.0055201	4.8335e-05	6.716e-07	0.00015084	3.7448e-06	3.4681e-05	5.5397e-06	0.00019956	9.7026e-05	0.0085813	0.0054154	0.0016545	3.2932e-08	4.9205e-06	0.0011556	1.0473e-05	
0.0012459	8.9664e-05	7.9468e-06	1.8051e-06	2.8445e-05	8.5454e-05	0.0055101	4.6627e-05	6.604e-07	0.00015152	3.415e-06	3.326e-05	5.4715e-06	0.0001964	9.602e-05	0.0085791	0.0054134	0.0016485	3.3641e-08	4.7423e-06	0.0011548	8.7166e-06	
0.0012475	8.654e-05	7.6638e-06	1.6691e-06	2.7275e-05	8.5131e-05	0.0055004	4.497e-05	6.7618e-07	0.00015215	3.1027e-06	3.1873e-05	5.4009e-06	0.00019338	9.504e-05	0.0085767	0.0054115	0.0016397	3.5442e-08	4.581e-06	0.001154	7.3097e-06	
0.0012493	8.3559e-05	7.4142e-06	1.5546e-06	2.6216e-05	8.484e-05	0.005491	4.3363e-05	7.1816e-07	0.00015285	2.8067e-06	3.0517e-05	5.328e-06	0.0001905	9.4086e-05	0.0085747	0.0054099	0.0016207	3.8448e-08	4.4354e-06	0.0011534	6.1808e-06	
0.0012514	8.0713e-05	7.195e-06	1.459e-06	2.526e-05	8.4579e-05	0.0054818	4.1805e-05	7.8949e-07	0.00015362	2.5263e-06	2.9193e-05	5.2527e-06	0.00018776	9.3158e-05	0.0085733	0.0054084	0.0016058	4.2851e-08	4.3046e-06	0.0011528	5.2751e-06	
0.0012538	7.8012e-05	7.0066e-06	1.3822e-06	2.4409e-05	8.4352e-05	0.0054728	4.0298e-05	9.0325e-07	0.00015446	2.2621e-06	2.7903e-05	5.1754e-06	0.00018517	9.2256e-05	0.0085726	0.0054071	0.0015747	4.9231e-08	4.1894e-06	0.0011524	4.5826e-06	
0.0012561	7.5238e-05	6.8e-06	1.2927e-06	2.3494e-05	8.4105e-05	0.0054637	3.8758e-05	9.5412e-07	0.00015525	1.9877e-06	2.6591e-05	5.0888e-06	0.0001825	9.1339e-05	0.0085715	0.0054058	0.0015349	5.3368e-08	4.0623e-06	0.0011519	3.7984e-06	
0.0012581	7.2388e-05	6.5746e-06	1.1896e-06	2.2513e-05	8.3839e-05	0.0054545	3.8956e-05	9.4311e-07	0.00015599	1.703e-06	2.5258e-05	4.9931e-06	0.00017975	9.0404e-05	0.0085701	0.0054043	0.0015158	5.5329e-08	3.923e-06	0.0011513	2.9109e-06	
0.0012605	6.9682e-05	6.38e-06	1.1049e-06	2.1638e-05	8.3607e-05	0.0054455	3.9172e-05	9.7465e-07	0.0001568	1.4346e-06	2.3959e-05	4.8954e-06	0.00017715	8.9497e-05	0.0085693	0.005403	0.0014766	5.9287e-08	3.7993e-06	0.0011508	2.2159e-06	
0.0012627	6.6902e-05	6.1673e-06	1.0377e-06	2.0692e-05	8.3355e-05	0.0054363	3.9371e-05	1.0772e-06	0.00015756	1.16e-06	2.2637e-05	4.7885e-06	0.00017448	8.8573e-05	0.0085682	0.0054016	0.0014197	6.1012e-08	3.6637e-06	0.0011503	1.6794e-06	
0.0012648	6.4054e-05	5.9373e-06	9.9126e-07	1.9685e-05	8.3085e-05	0.005427	3.9554e-05	1.0888e-06	0.00015826	1.1378e-06	2.129e-05	4.6726e-06	0.00017174	8.7634e-05	0.0085669	0.0054001	0.0013931	6.0666e-08	3.5169e-06	0.0011497	1.2874e-06	
0.0012672	6.1349e-05	5.7377e-06	9.5642e-07	1.8783e-05	8.2849e-05	0.005418	3.9755e-05	1.1481e-06	0.00015904	1.118e-06	1.9977e-05	4.5546e-06	0.00016914	8.6722e-05	0.0085661	0.0053988	0.0013728	6.2306e-08	3.3854e-06	0.0011492	9.7989e-07	
0.0012698	5.878e-05	5.5657e-06	9.322e-07	1.7976e-05	8.2645e-05	0.0054092	3.9975e-05	1.2606e-06	0.0001599	1.1004e-06	1.8696e-05	4.4347e-06	0.00016668	8.5837e-05	0.0085659	0.0053977	0.0013304	6.6055e-08	3.2683e-06	0.0011489	7.3833e-07	
0.0012728	5.6339e-05	5.4186e-06	9.1787e-07	1.7257e-05	8.2474e-05	0.0054007	4.0214e-05	1.4367e-06	0.00016085	1.0851e-06	1.7447e-05	4.3127e-06	0.00016434	8.4978e-05	0.0085664	0.0053969	0.001298	7.2207e-08	3.1644e-06	0.0011486	5.4835e-07	
0.001276	5.401e-05	5.2922e-06	9.1202e-07	1.6609e-05	8.233e-05	0.0053925	4.047e-05	1.2625e-06	0.00016186	1.0716e-06	1.6227e-05	4.1882e-06	0.00016212	8.4143e-05	0.0085673	0.0053962	0.0012725	8.0879e-08	3.0717e-06	0.0011483	3.9539e-07	
0.0012797	5.18e-05	5.1505e-06	9.1566e-07	1.605e-05	8.2168e-05	0.005384	4.0745e-05	1.1535e-06	0.00016057	1.0546e-06	1.4986e-05	4.6198e-06	0.00015983	8.3291e-05	0.008569	0.0053954	0.0012216	7.5404e-08	2.9684e-06	0.0011482	2.7499e-07	
0.0012831	4.9528e-05	4.9938e-06	9.105e-07	1.5441e-05	8.1988e-05	0.0053753	4.1003e-05	9.7372e-07	0.00015922	1.0334e-06	1.4939e-05	5.0406e-06	0.00015748	8.2423e-05	0.0085703	0.0053945	0.0011627	6.7326e-08	2.8544e-06	0.0011481	1.3559e-07	
0.0012864	4.7361e-05	4.858e-06	8.9212e-07	1.4901e-05	8.1836e-05	0.0053669	4.1278e-05	7.1397e-07	0.00015782	1.0139e-06	1.4898e-05	5.4625e-06	0.00015524	8.1578e-05	0.0085714	0.0053726	0.0010953	6.163e-08	2.7516e-06	0.001148	1.1718e-07	
0.00129	4.5292e-05	4.7414e-06	8.8207e-07	1.442e-05	8.1712e-05	0.0053587	4.1571e-05	5.1042e-07	0.00015649	9.9627e-07	1.4861e-05	5.8857e-06	0.00015311	8.0756e-05	0.008573	0.0053511	0.0010424	5.7934e-08	2.6593e-06	0.001148	1.027e-07	
0.0012939	4.3318e-05	4.6426e-06	8.8013e-07	1.3992e-05	8.1616e-05	0.0053508	4.1881e-05	3.4748e-07	0.00015524	9.8035e-07	1.4828e-05	6.3102e-06	0.00014606	7.9956e-05	0.0085751	0.0053299	0.0010007	5.5998e-08	2.5767e-06	0.0011481	9.1419e-08	
0.0012981	4.1434e-05	4.5606e-06	8.8624e-07	1.3614e-05	8.1548e-05	0.0053431	4.221e-05	2.1271e-07	0.00015407	9.6611e-07	1.48e-05	6.7362e-06	0.00013932	7.9178e-05	0.0085778	0.0053091	0.00096804	5.5701e-08	2.5033e-06	0.0011482	8.2802e-08	
0.0013021	3.9496e-05	4.466e-06	1.0302e-06	1.3195e-05	8.1462e-05	0.0053352	4.252e-05	2.4993e-07	0.00015284	9.4842e-07	1.4764e-05	7.1512e-06	0.00013241	7.8385e-05	0.0085802	0.0052881	0.00095199	5.3251e-08	2.4205e-06	0.0011484	6.2923e-08	
0.0013071	3.751e-05	4.3596e-06	1.0912e-06	1.3172e-05	8.1359e-05	0.0053272	4.2814e-05	4.0008e-07	0.00015188	9.2746e-07	1.4719e-05	7.5555e-06	0.00012534	7.7577e-05	0.0085666	0.0052669	0.00092696	4.8735e-08	2.3286e-06	0.0011484	5.9667e-08	
0.0013119	3.5473e-05	4.2411e-06	1.1421e-06	1.3117e-05	8.124e-05	0.005319	4.3091e-05	4.9646e-07	0.00015087	9.0321e-07	1.4666e-05	7.9493e-06	0.00011812	7.6756e-05	0.0085526	0.0052455	0.00091549	6.5198e-08	2.2275e-06	0.0011484	5.1462e-08	
0.0013171	3.3528e-05	4.14e-06	1.2056e-06	1.3098e-05	8.1148e-05	0.0053111	4.3386e-05	6.3202e-07	0.00014993	8.8068e-07	1.4617e-05	8.3446e-06	0.00011122	7.5956e-05	0.0085393	0.0052245	0.00089127	8.6284e-08	2.1361e-06	0.0011486	4.4571e-08	
0.0013221	3.1535e-05	4.0271e-06	1.2586e-06	1.3048e-05	8.104e-05	0.0053031	4.3665e-05	7.1081e-07	0.00014894	8.5488e-07	1.456e-05	8.7293e-06	0.00010416	7.5143e-05	0.0085257	0.0052034	0.00088018	1.0375e-07	2.0356e-06	0.0011486	3.2824e-08	
0.0013196	2.9641e-05	3.9309e-06	1.3267e-06	1.3039e-05	8.096e-05	0.0052952	4.3964e-05	5.3525e-07	0.00014804	8.3076e-07	1.4508e-05	9.1173e-06	9.7426e-05	7.4351e-05	0.0085131	0.0051825	0.00085727	1.2779e-07	1.9444e-06	0.0011488	2.2553e-08	
0.001317	2.7694e-05	3.8222e-06	1.3756e-06	1.2997e-05	8.0862e-05	0.0052873	4.4245e-05	2.8495e-07	0.00014709	8.032e-07	1.4447e-05	9.4943e-06	9.0518e-05	7.3544e-05	0.0085002	0.0051615	0.00083022	1.4744e-07	1.8436e-06	0.0011489	3.1752e-08	
0.0013142	2.7398e-05	3.7018e-06	1.4141e-06	1.2922e-05	8.0747e-05	0.0052795	4.44e-05	3.2308e-07	0.00014608	7.7238e-07	1.4378e-05	9.8747e-06	8.395e-05	7.276e-05	0.0084868	0.0051409	0.00081774	1.6082e-07	1.7339e-06	0.0011579	3.6438e-08	
0.0013117	2.7127e-05	3.5999e-06	1.4669e-06	1.2889e-05	8.0663e-05	0.0052721	4.4574e-05	3.7678e-07	0.00014516	7.4355e-07	1.4314e-05	1.0258e-05	7.7704e-05	7.2001e-05	0.0084743	0.0051206	0.00080829	1.7984e-07	1.6346e-06	0.0011671	4.2023e-08	
0.0013091	2.6838e-05	3.4856e-06	1.5085e-06	1.2822e-05	8.0561e-05	0.0052644	4.4731e-05	3.8091e-07	0.00014418	7.1132e-07	1.4241e-05	1.063e-05	7.1302e-05	7.1226e-05	0.0084614	0.0051002	0.00079729	1.9475e-07	1.5259e-06	0.0011763	4.2864e-08	
0.0013063	2.653e-05	3.3586e-06	1.5666e-06	1.2718e-05	8.044e-05	0.0052566	4.487e-05	4.1727e-07	0.00014314	6.7562e-07	1.4159e-05	1.099e-05	7.0434e-05	7.0436e-05	0.0084481	0.0050796	0.00079154	2.0582e-07	1.4075e-06	0.0011853	4.4934e-08	
0.0013033	2.6251e-05	3.2183e-06	1.6075e-06	1.2578e-05	8.0302e-05	0.0052487	4.503e-05	4.0255e-07	0.00014205	6.3644e-07	1.4069e-05	1.134e-05	6.9535e-05	6.9632e-05	0.0084344	0.0050588	0.00078478	1.95e-07	1.2793e-06	0.0011945	9.2031e-08	
0.0013006	2.5996e-05	3.0975e-06	1.6639e-06	1.2479e-05	8.0194e-05	0.005241	4.521e-05	4.0607e-07	0.00014104	5.9934e-07	1.3984e-05	1.1692e-05	6.8689e-05	6.885e-05	0.0084215	0.0050383	0.00077061	1.8896e-07	1.1619e-06	0.0012041	1.5033e-07	
0.0012978	2.5764e-05	2.9943e-06	1.7514e-06	1.2421e-05	8.0118e-05	0.0052336	4.541e-05	4.4162e-07	0.00013996	5.6417e-07	1.3905e-05	1.2047e-05	6.7894e-05	6.8092e-05	0.0084082	0.0050183	0.00076155	1.8722e-07	1.0545e-06	0.0012138	1.6113e-07	
0.0012948	2.5555e-05	2.9073e-06	1.8129e-06	1.2405e-05	8.0071e-05	0.0052264	4.5631e-05	5.9692e-07	0.00013883	5.3079e-07	1.3831e-05	1.2405e-05	6.7148e-05	6.7357e-05	0.0083945	0.0049986	0.00075611	1.8963e-07	9.5598e-07	0.0012239	1.6238e-07	
0.0012921	2.5276e-05	2.809e-06	1.8935e-06	1.2344e-05	8.0007e-05	0.0052191	4.6022e-05	8.2348e-07	0.00013778	4.9409e-07	1.3749e-05	1.2751e-05	6.6374e-05	6.6607e-05	0.0083817	0.0049787	0.00074492	1.7251e-07	8.4878e-07	0.0012365	1.6855e-07	
0.0012898	2.4981e-05	2.7001e-06	2.0029e-06	1.225e-05	7.9926e-05	0.0052116	4.6395e-05	8.8728e-07	0.00013681	4.5422e-07	1.3658e-05	1.3087e-05	6.5574e-05	6.5843e-05	0.0083696	0.0049587	0.00073718	1.5142e-07	7.3324e-07	0.0012489	1.8134e-07	
0.0012877	2.471e-05	2.6072e-06	2.137e-06	1.2196e-05	7.9876e-05	0.0052044	4.6791e-05	9.963e-07	0.00013592	4.1611e-07	1.3572e-05	1.3425e-05	6.4823e-05	6.5102e-05	0.0083583	0.004939	0.00072101	1.3625e-07	6.2658e-07	0.0012617	2.0006e-07	
0.0012859	2.4461e-05	2.5288e-06	2.2998e-06	1.2181e-05	7.9855e-05	0.0051974	4.7211e-05	1.1607e-06	0.0001351	3.7963e-07	1.3492e-05	1.3766e-05	6.4118e-05	6.4383e-05	0.0083478	0.0049197	0.00068774	1.2579e-07	5.2788e-07	0.0012748	2.2583e-07	
0.0012839	2.4196e-05	2.4401e-06	2.4439e-06	1.2134e-05	7.9817e-05	0.0051903	4.7611e-05	1.2554e-06	0.00013422	3.3992e-07	1.3404e-05	1.4096e-05	6.3386e-05	6.365e-05	0.0083369	0.0049002	0.00064928	1.1195e-07	4.2097e-07	0.0012878	2.4376e-07	
0.0012823	2.3913e-05	2.3405e-06	2.5703e-06	1.2053e-05	7.9762e-05	0.005183	4.7992e-05	1.2819e-06	0.00013342	2.9695e-07	1.3306e-05	1.4415e-05	6.2626e-05	6.2903e-05	0.0083267	0.0048805	0.00060255	9.4486e-08	3.0563e-07	0.0013006	2.5408e-07	
0.0012805	2.3613e-05	2.2297e-06	2.7317e-06	1.1939e-05	7.9688e-05	0.005176	4.8353e-05	1.225e-06	0.00013257	2.5066e-07	1.32e-05	1.4736e-05	6.1909e-05	6.2175e-05	0.0083162	0.0048612	0.00054842	7.4618e-08	3.1018e-07	0.0013132	2.725e-07	
0.001279	2.3334e-05	2.1326e-06	2.9236e-06	1.1861e-05	7.9642e-05	0.0051692	4.8736e-05	1.2134e-06	0.00013179	2.0578e-07	1.3098e-05	1.5059e-05	6.1233e-05	6.1466e-05	0.0083065	0.0048421	0.00050612	5.9217e-08	3.1536e-07	0.0013262	2.981e-07	
0.0012773	2.405e-05	2.0247e-06	3.0941e-06	1.1749e-05	7.9578e-05	0.0051622	4.9099e-05	1.1349e-06	0.00013095	1.5762e-07	1.2987e-05	1.5371e-05	6.053e-05	6.0744e-05	0.0082963	0.004823	0.00048629	4.0297e-08	3.1557e-07	0.0013389	3.153e-07	
0.0012755	2.4807e-05	1.9314e-06	3.236e-06	1.1677e-05	7.9544e-05	0.0051555	4.9485e-05	1.2055e-06	0.00013007	1.1108e-07	1.2882e-05	1.5685e-05	5.9871e-05	6.0043e-05	0.0082859	0.0048041	0.00047354	2.5767e-08	3.1679e-07	0.0013521	3.2275e-07	
0.0012731	2.554e-05	1.8284e-06	3.3597e-06	1.1575e-05	7.9494e-05	0.005149	4.9853e-05	1.212e-06	0.00012903	6.1477e-08	1.2769e-05	1.6003e-05	5.9255e-05	5.9362e-05	0.0083013	0.0047856	0.00046711	2.7752e-08	4.5333e-07	0.001365	3.2249e-07	
0.001271	2.625e-05	1.7085e-06	3.5141e-06	1.1539e-05	7.9411e-05	0.0051427	5.0204e-05	1.2713e-06	0.00012806	5.8172e-08	1.2637e-05	1.6325e-05	5.8681e-05	5.8702e-05	0.0083177	0.0047675	0.00046228	5.615e-08	1.2616e-06	0.0013779	3.2998e-07	
0.0012693	2.7002e-05	1.5768e-06	3.7038e-06	1.0995e-05	7.9312e-05	0.0051368	5.0578e-05	1.3893e-06	0.00012717	5.28e-08	1.2497e-05	1.6649e-05	5.8146e-05	5.8062e-05	0.008335	0.0047496	0.00045208	6.3158e-08	2.0349e-06	0.001391	3.457e-07	
