Manis_tricuspis	Manis_pentadactyla	Manis_javanica	
0.0007933	0.00020097	0.093875	
0.00079054	0.0001999	0.093195	
0.0007877	0.00019882	0.092497	
0.00078477	0.00019772	0.091778	
0.00078203	0.00019665	0.091101	
0.00077946	0.00019562	0.090463	
0.00077865	0.00019455	0.089801	
0.00077777	0.00019347	0.089119	
0.00077684	0.00019236	0.088418	
0.00077603	0.00019129	0.087756	
0.00077533	0.00019025	0.087129	
0.00077473	0.00018924	0.086537	
0.00077425	0.00018826	0.085976	
0.00077387	0.00018731	0.085446	
0.00077359	0.00018639	0.084945	
0.00077341	0.00018549	0.084472	
0.00077332	0.00018462	0.084023	
0.00077318	0.00018373	0.083561	
0.000773	0.00018282	0.083085	
0.00077278	0.00018191	0.082599	
0.00077265	0.00018101	0.082138	
0.00077249	0.00018011	0.081667	
0.00077241	0.00017922	0.081218	
0.0007723	0.00017833	0.080759	
0.00077215	0.00017742	0.08029	
0.00077209	0.00017654	0.079845	
0.00077211	0.00017567	0.079421	
0.00077222	0.00017483	0.079018	
0.00077228	0.00017397	0.078603	
0.00077231	0.0001731	0.07818	
0.00077231	0.00017222	0.077747	
0.00077227	0.00017133	0.077304	
0.00077233	0.00017046	0.076885	
0.00077246	0.00016961	0.076485	
0.00077268	0.00016878	0.076107	
0.00077286	0.00016794	0.075719	
0.00077313	0.00016713	0.075352	
0.00077337	0.0001663	0.074977	
0.00077369	0.00016549	0.07462	
0.00077397	0.00016466	0.074253	
0.00077422	0.00016383	0.073878	
0.00077171	0.00016302	0.073525	
0.00076932	0.00016223	0.07319	
0.00076704	0.00016146	0.072875	
0.00076488	0.00016071	0.072579	
0.00076282	0.00015998	0.072298	
0.00076072	0.00015924	0.072009	
0.00075872	0.00015852	0.071738	
0.00075669	0.00015778	0.071459	
0.00075462	0.00015704	0.071173	
0.00075251	0.00015629	0.07088	
0.00075038	0.00015552	0.07058	
0.0007482	0.00015475	0.070274	
0.00074613	0.00015399	0.069982	
0.00074401	0.00015322	0.069683	
0.00074186	0.00015244	0.069376	
0.00073981	0.00015168	0.069086	
0.00073772	0.00015091	0.068789	
0.00073572	0.00015016	0.068506	
0.00073369	0.00014939	0.068216	
0.00073176	0.00014865	0.067943	
0.00072993	0.00014792	0.067686	
0.00072818	0.0001472	0.067443	
0.0007264	0.00014648	0.067192	
0.00072458	0.00014574	0.066935	
0.00072285	0.00014502	0.066692	
0.00072109	0.0001443	0.066442	
0.0007193	0.00014356	0.066186	
0.00071747	0.00014281	0.065923	
0.00071574	0.00014208	0.065675	
0.0007141	0.00014136	0.065443	
0.00071254	0.00014066	0.065224	
0.00071095	0.00013995	0.064998	
0.00070944	0.00013926	0.064785	
0.0007079	0.00013856	0.064566	
0.00070645	0.00013787	0.064362	
0.00070507	0.00013719	0.064169	
0.00070367	0.00013651	0.063972	
0.00070224	0.00013582	0.063769	
0.00070089	0.00013514	0.063578	
0.00069961	0.00013448	0.0634	
0.00069831	0.0001338	0.063216	
0.00069697	0.00013312	0.063026	
0.00069562	0.00013243	0.06283	
0.00069433	0.00013176	0.062647	
0.00069302	0.00013107	0.062459	
0.0006918	0.0001304	0.062284	
0.00069066	0.00012975	0.062123	
0.0006896	0.00012911	0.061976	
0.00068851	0.00012847	0.061824	
0.00068751	0.00012784	0.061684	
0.00068659	0.00012722	0.061558	
0.00068574	0.00012662	0.061445	
0.00068496	0.00012603	0.061344	
0.00068416	0.00012543	0.061236	
0.00068342	0.00012485	0.06114	
0.00068275	0.00012428	0.061056	
0.00068215	0.00012372	0.060982	
0.00068152	0.00012315	0.060903	
0.00068086	0.00012258	0.060818	
0.00068019	0.00012199	0.060729	
0.00067958	0.00012142	0.06065	
0.00067894	0.00012084	0.060566	
0.00067838	0.00012027	0.060495	
0.0006778	0.0001197	0.060419	
0.00067719	0.00011911	0.060337	
0.00067665	0.00011855	0.060268	
0.00067619	0.00011799	0.060212	
0.00067571	0.00011743	0.06015	
0.00067529	0.00011688	0.060099	
0.00067495	0.00011634	0.060061	
0.00067467	0.00011582	0.060035	
0.00067446	0.0001153	0.060019	
0.00067422	0.00011478	0.059997	
0.00067405	0.00011428	0.059988	
0.00067386	0.00011376	0.059973	
0.00067364	0.00011323	0.059952	
0.00067348	0.00011272	0.059942	
0.0006733	0.0001122	0.059927	
0.00067318	0.00011169	0.059923	
0.00067314	0.00011119	0.05993	
0.00067315	0.0001107	0.059948	
0.00067314	0.00011021	0.059961	
0.0006731	0.0001097	0.059967	
0.00067314	0.00010921	0.059986	
0.00067314	0.00010871	0.06	
0.00067323	0.00010823	0.060026	
0.00067339	0.00010775	0.060066	
0.00067363	0.00010729	0.060118	
0.00067393	0.00010685	0.060182	
0.0006743	0.00010641	0.060257	
0.00067476	0.00010599	0.060347	
0.0006753	0.00010559	0.06045	
0.00067592	0.0001052	0.059791	
0.0006765	0.00010481	0.05912	
0.00067705	0.0001044	0.058438	
0.00067757	0.00010399	0.057743	
0.00067805	0.00010356	0.057039	
0.00067862	0.00010315	0.056362	
0.00067927	0.00010276	0.055712	
0.00068001	0.00010237	0.055088	
0.00068083	0.00010201	0.054488	
0.00067922	0.00010165	0.053916	
0.0006777	0.00010131	0.053363	
0.00067613	0.00010096	0.052801	
0.00067454	0.0001006	0.05223	
0.00067291	0.00010024	0.05165	
0.00067137	9.988e-05	0.05109	
0.00066979	9.9514e-05	0.050521	
0.00066817	9.9139e-05	0.049942	
0.00066665	9.8776e-05	0.049385	
0.00066521	9.8424e-05	0.048848	
0.00066373	9.8063e-05	0.048302	
0.00066223	9.7693e-05	0.047747	
0.0006608	9.7334e-05	0.047211	
0.00065934	9.6967e-05	0.046667	
0.00065796	9.6609e-05	0.04614	
0.00065655	9.6243e-05	0.045605	
0.0006551	9.5867e-05	0.045061	
0.00065362	9.5483e-05	0.044509	
0.00065223	9.5111e-05	0.043977	
0.0006508	9.473e-05	0.043436	
0.00064946	9.4361e-05	0.042916	
0.0006481	9.3984e-05	0.042388	
0.00064681	9.3619e-05	0.04188	
0.0006455	9.3245e-05	0.041364	
0.00064427	9.2883e-05	0.040867	
0.00064302	9.2513e-05	0.040364	
0.00064173	9.2134e-05	0.039852	
0.00064053	9.1767e-05	0.039359	
0.0006393	9.1392e-05	0.038859	
0.00063815	9.1026e-05	0.038376	
0.00063696	9.0653e-05	0.037884	
0.00063584	9.0288e-05	0.037409	
0.0006347	8.9916e-05	0.036927	
0.00063363	8.9553e-05	0.03646	
0.00063252	8.9181e-05	0.035985	
0.0006315	8.8821e-05	0.035528	
0.00063044	8.8452e-05	0.035063	
0.00062937	8.8075e-05	0.034592	
0.00062826	8.7691e-05	0.034114	
0.00062713	8.7299e-05	0.033629	
0.00062608	8.6919e-05	0.033161	
0.00062501	8.653e-05	0.032688	
0.0006239	8.6134e-05	0.032207	
0.00062278	8.5731e-05	0.031719	
0.00062173	8.5338e-05	0.03125	
0.00062065	8.4937e-05	0.030772	
0.00061954	8.4527e-05	0.030286	
0.00061841	8.411e-05	0.029793	
0.00061725	8.3685e-05	0.029293	
0.00061616	8.3269e-05	0.02881	
0.00061504	8.2845e-05	0.028318	
0.00061399	8.243e-05	0.027842	
0.00061291	8.2007e-05	0.027358	
0.00061191	8.1595e-05	0.026891	
0.00061099	8.1194e-05	0.026443	
0.00061004	8.0785e-05	0.025987	
0.00060917	8.0387e-05	0.025547	
0.00060837	7.9999e-05	0.025123	
0.00060753	7.9601e-05	0.024694	
0.00060667	7.9195e-05	0.024258	
0.00060588	7.8799e-05	0.023837	
0.00060505	7.8394e-05	0.023408	
0.00060431	7.8e-05	0.022995	
0.00060353	7.7598e-05	0.022574	
0.00060273	7.7186e-05	0.022146	
0.000602	7.6786e-05	0.021733	
0.00060133	7.6395e-05	0.021335	
0.00060064	7.5995e-05	0.020929	
0.00060002	7.5606e-05	0.020538	
0.00059938	7.5209e-05	0.020141	
0.0005988	7.4821e-05	0.019757	
0.00059819	7.4425e-05	0.019365	
0.00059765	7.4038e-05	0.018987	
0.00059708	7.3642e-05	0.018601	
0.00059648	7.3238e-05	0.018209	
0.00059596	7.2844e-05	0.017831	
0.0005955	7.2461e-05	0.017467	
0.00059513	7.2088e-05	0.017116	
0.00059481	7.1724e-05	0.016777	
0.00059447	7.1351e-05	0.016432	
0.00059419	7.0989e-05	0.016099	
0.0005939	7.0619e-05	0.015761	
0.00059367	7.0258e-05	0.015434	
0.0005935	6.9906e-05	0.015118	
0.00059339	6.9562e-05	0.014812	
0.00059336	6.9229e-05	0.014518	
0.0005934	6.8906e-05	0.014236	
0.00059352	6.8593e-05	0.013965	
0.00059369	6.8288e-05	0.013703	
0.00059384	6.7975e-05	0.013435	
0.00059405	6.767e-05	0.013176	
0.00059424	6.7357e-05	0.012912	
0.00059439	6.7034e-05	0.012641	
0.00059207	6.6723e-05	0.012381	
0.00058986	6.6421e-05	0.012131	
0.00058761	6.6112e-05	0.011876	
0.00058548	6.5812e-05	0.011631	
0.0005833	6.5504e-05	0.01138	
0.00058107	6.5187e-05	0.011123	
0.00057882	6.4861e-05	0.010861	
0.00057667	6.4546e-05	0.01061	
0.00057447	6.4222e-05	0.010352	
0.00057238	6.3908e-05	0.010104	
0.00057039	6.3602e-05	0.0098653	
0.00056835	6.3287e-05	0.0096206	
0.00056628	6.2965e-05	0.0093707	
0.00056431	6.2652e-05	0.0091306	
0.00056243	6.2348e-05	0.0088985	
0.00056065	6.2054e-05	0.0086756	
0.00055896	6.1769e-05	0.0084613	
0.00055737	6.1494e-05	0.0082555	
0.00055574	6.121e-05	0.0080445	
0.0005542	6.0936e-05	0.0078418	
0.00055262	6.0653e-05	0.0076338	
0.000551	6.0361e-05	0.0074204	
0.00054935	6.006e-05	0.0072022	
0.00054762	5.9728e-05	0.0073412	
0.00054585	5.9386e-05	0.0074756	
0.00054404	5.9036e-05	0.0076061	
0.00054232	5.8695e-05	0.0077419	
0.00054068	5.8362e-05	0.0078832	
0.00053901	5.8021e-05	0.0080205	
0.00053742	5.7689e-05	0.0081634	
0.0005358	5.7347e-05	0.0083017	
0.00053425	5.7014e-05	0.0084457	
0.00053267	5.6671e-05	0.0085851	
0.00053117	5.6337e-05	0.0087302	
0.00052975	5.6013e-05	0.0088821	
0.00052843	5.5698e-05	0.0090411	
0.00052718	5.5391e-05	0.0092064	
0.0005259	5.5075e-05	0.0093668	
0.00052457	5.475e-05	0.0095224	
0.00052333	5.4434e-05	0.0096842	
0.00052204	5.4108e-05	0.0098412	
0.00052085	5.3792e-05	0.010006	
0.00051962	5.3467e-05	0.010166	
0.00051847	5.3152e-05	0.010333	
0.00051741	5.2847e-05	0.010509	
0.00051643	5.2549e-05	0.010692	
0.0005154	5.2243e-05	0.01087	
0.00051446	5.1946e-05	0.011056	
0.00051349	5.164e-05	0.011237	
0.00051259	5.1343e-05	0.011425	
0.00051165	5.1036e-05	0.011609	
0.00050774	5.0739e-05	0.0118	
0.00050377	5.0434e-05	0.011986	
0.00049972	5.0118e-05	0.012166	
0.00049585	4.9813e-05	0.012355	
0.0004919	4.9498e-05	0.012539	
0.00048812	4.9192e-05	0.012731	
0.00048428	4.8879e-05	0.012919	
0.00048059	4.8573e-05	0.013114	
0.00047703	4.8275e-05	0.013318	
0.00047361	4.7984e-05	0.013531	
0.00047032	4.7702e-05	0.013752	
0.00046698	4.7411e-05	0.013968	
0.00046378	4.7129e-05	0.014195	
0.00046052	4.6838e-05	0.014415	
0.0004574	4.6556e-05	0.014646	
0.0004544	4.6282e-05	0.014886	
0.00045135	4.5998e-05	0.01512	
0.00044843	4.5724e-05	0.015365	
0.00044565	4.5459e-05	0.015622	
0.00044281	4.5184e-05	0.015873	
0.0004401	4.4919e-05	0.016135	
0.00043733	4.4645e-05	0.016391	
0.00043451	4.4361e-05	0.016639	
0.00043183	4.4087e-05	0.0169	
0.0004307	4.3799e-05	0.017152	
0.00042966	4.3519e-05	0.017416	
0.00042857	4.323e-05	0.017672	
0.00042756	4.2948e-05	0.017939	
0.0004265	4.2657e-05	0.018198	
0.00042553	4.2375e-05	0.018471	
0.00042465	4.2102e-05	0.018758	
0.00042384	4.1839e-05	0.019059	
0.000423	4.1566e-05	0.019351	
0.00042224	4.1308e-05	0.019269	
0.00042143	4.1041e-05	0.01918	
0.00042071	4.0784e-05	0.019101	
0.00042006	4.0533e-05	0.019029	
0.00041937	4.0274e-05	0.018952	
0.00041866	4.0006e-05	0.01887	
0.00041801	3.9746e-05	0.018796	
0.00041733	3.9478e-05	0.018717	
0.00041661	3.92e-05	0.018631	
0.00041585	3.8912e-05	0.01854	
0.00041506	3.8617e-05	0.018444	
0.00041424	3.8313e-05	0.018343	
0.00041338	3.8e-05	0.018236	
0.00041249	3.7679e-05	0.018124	
0.00041157	3.735e-05	0.018007	
0.00041061	3.7012e-05	0.017884	
0.00040973	3.6682e-05	0.01777	
0.0004088	3.6342e-05	0.017649	
0.00040784	3.5994e-05	0.017524	
0.00040685	3.5637e-05	0.017392	
0.00040581	3.5271e-05	0.017255	
0.00040486	3.4913e-05	0.017127	
0.00040387	3.4547e-05	0.016992	
0.00040296	3.4189e-05	0.016868	
0.00040213	3.384e-05	0.016753	
0.00040138	3.35e-05	0.016647	
0.0004006	3.3151e-05	0.016535	
0.00039989	3.2811e-05	0.016432	
0.00039914	3.246e-05	0.016323	
0.00039846	3.2118e-05	0.016222	
0.0003976	3.2766e-05	0.016078	
0.00039669	3.3402e-05	0.015928	
0.00039585	3.405e-05	0.015786	
0.00039609	3.4686e-05	0.015639	
0.00039629	3.531e-05	0.015484	
0.00039657	3.5948e-05	0.015339	
0.0003968	3.6574e-05	0.015188	
0.000397	3.7189e-05	0.01503	
0.00039727	3.7817e-05	0.014882	
0.00039751	3.8434e-05	0.014727	
0.0003978	3.9061e-05	0.014581	
0.00039807	3.9679e-05	0.014429	
0.00039831	4.0288e-05	0.014272	
0.00039851	4.0885e-05	0.014108	
0.00039878	4.1495e-05	0.013954	
0.00039901	4.2094e-05	0.013794	
0.00039922	4.2683e-05	0.013628	
0.00039948	4.3283e-05	0.01347	
0.00039972	4.3873e-05	0.013306	
0.00039992	4.4451e-05	0.013136	
0.00040008	4.502e-05	0.01296	
0.00040032	4.5602e-05	0.012794	
0.00040053	4.6174e-05	0.012622	
0.0004007	4.6735e-05	0.012444	
0.00040084	4.7285e-05	0.012259	
0.00040105	4.7848e-05	0.012084	
0.00040123	4.8401e-05	0.011904	
0.00040148	4.8968e-05	0.011733	
0.0004017	4.9523e-05	0.011555	
0.00040188	5.0068e-05	0.011372	
0.00040214	5.0626e-05	0.011199	
0.00040236	5.1173e-05	0.011019	
0.00040254	5.1709e-05	0.010833	
0.00040269	5.2234e-05	0.01064	
0.00040291	5.2772e-05	0.010457	
0.0004032	5.3323e-05	0.010283	
0.00040181	5.3889e-05	0.010119	
0.00040037	5.4444e-05	0.0099477	
0.00039889	5.4986e-05	0.0097699	
0.00039735	5.5517e-05	0.0095852	
0.00039591	5.6062e-05	0.0094104	
0.00039456	5.6619e-05	0.0092439	
0.00039317	5.7166e-05	0.0090716	
0.00039187	5.7727e-05	0.0089087	
0.00039066	5.8304e-05	0.0087547	
0.00038942	5.887e-05	0.0085952	
0.00038549	5.9455e-05	0.0084455	
0.00038173	6.0054e-05	0.0083032	
0.0003779	6.0642e-05	0.0081554	
0.00037399	6.1218e-05	0.0080023	
0.00037025	6.1808e-05	0.0078565	
0.00036667	6.2414e-05	0.0077187	
0.00036302	6.3007e-05	0.007575	
0.00035929	6.3588e-05	0.0074254	
0.00035547	6.4156e-05	0.0072697	
0.00035183	6.474e-05	0.0071222	
0.00034833	6.5337e-05	0.0069815	
0.00034476	6.5922e-05	0.006835	
0.00034111	6.6494e-05	0.0066826	
0.00033762	6.7083e-05	0.0065381	
0.00033428	6.7685e-05	0.0064002	
0.00033088	6.8276e-05	0.0062573	
0.0003274	6.8855e-05	0.0061091	
0.0003237	6.9423e-05	0.0059557	
0.00031992	6.9979e-05	0.005797	
0.0003163	7.0549e-05	0.0056451	
0.00031259	7.1106e-05	0.0054874	
0.00030906	7.168e-05	0.0053374	
0.00030544	7.2241e-05	0.0051816	
0.00030176	7.279e-05	0.0050207	
0.00029824	7.3356e-05	0.0048674	
0.00029466	7.391e-05	0.0047091	
0.00029085	7.4451e-05	0.0045449	
0.00028696	7.4981e-05	0.0043755	
0.000283	7.55e-05	0.004201	
0.0002792	7.6032e-05	0.0040332	
0.00027555	7.6578e-05	0.0038717	
0.00027205	7.7138e-05	0.0037162	
0.00026869	7.7711e-05	0.0035664	
0.00026525	7.8273e-05	0.0034116	
0.00026197	7.885e-05	0.0032631	
0.00025862	7.9416e-05	0.0031103	
0.00025543	7.9999e-05	0.0029636	
0.00025237	8.0597e-05	0.0028227	
0.00024926	8.1185e-05	0.0026777	
0.00024609	8.176e-05	0.0025281	
0.00024306	8.2352e-05	0.0023841	
0.00023996	8.2932e-05	0.0022356	
0.00023698	8.3525e-05	0.0020918	
0.00023414	8.4135e-05	0.0019533	
0.00023124	8.4734e-05	0.0018109	
0.00022846	8.5347e-05	0.0016729	
0.00022579	8.5976e-05	0.0015398	
0.00022308	8.6595e-05	0.0014029	
0.00022049	8.7231e-05	0.0012708	
0.00021802	8.7883e-05	0.0011432	
0.00021546	8.8497e-05	0.0011704	
0.00021285	8.9098e-05	0.0011949	
0.00021019	8.9688e-05	0.0012168	
0.00020764	9.0294e-05	0.0012399	
0.00020505	9.0889e-05	0.0012605	
0.00020256	9.1499e-05	0.001282	
0.00020002	9.2098e-05	0.001301	
0.00019758	9.2711e-05	0.001321	
0.0001951	9.3313e-05	0.0013383	
0.0001927	9.3928e-05	0.0013565	
0.00019026	9.4532e-05	0.0013721	
0.00018793	9.5152e-05	0.0013889	
0.00018569	9.5788e-05	0.0014068	
0.00018341	9.6415e-05	0.0014224	
0.00018109	9.703e-05	0.0014353	
0.00017887	9.7661e-05	0.0014495	
0.00017661	9.828e-05	0.001461	
0.00017443	9.8914e-05	0.0014735	
0.00017233	9.9562e-05	0.0014868	
0.0001702	0.0001002	0.0014977	
0.00016802	0.00010083	0.001506	
0.0001658	0.00010144	0.0015118	
0.00016354	0.00010205	0.0015149	
0.00016138	0.00010267	0.0015193	
0.0001593	0.0001033	0.0015246	
0.00015717	0.00010392	0.0015272	
0.000155	0.00010454	0.0015273	
0.00015293	0.00010516	0.0015286	
0.00015094	0.00010581	0.0015311	
0.00014904	0.00010647	0.0015349	
0.00014711	0.00010713	0.0015363	
0.00014526	0.0001078	0.0015389	
0.00014338	0.00010846	0.0015391	
0.00014146	0.0001091	0.0015367	
0.00013962	0.00010977	0.0015354	
0.00013786	0.00011045	0.0015351	
0.00013605	0.00011112	0.0015321	
0.00013433	0.00011181	0.0015305	
0.00013257	0.00011248	0.0015263	
0.00013153	0.00011253	0.0014777	
0.00013054	0.00011259	0.0014307	
0.0001296	0.00011267	0.0013857	
0.00012864	0.00011273	0.001338	
0.00012773	0.00011281	0.0012917	
0.00012688	0.00011291	0.0012472	
0.00012599	0.00011299	0.0012	
0.00012509	0.00011307	0.0011502	
0.00012416	0.00011313	0.0010975	
0.0001232	0.00011318	0.0010422	
0.0001223	0.00011325	0.00098855	
0.00012144	0.00011333	0.00093655	
0.00012064	0.00011343	0.00088606	
0.00011981	0.00011352	0.00083303	
0.00011897	0.0001136	0.00077747	
0.0001181	0.00011367	0.00071935	
0.00011727	0.00011375	0.00066241	
0.00011642	0.00011382	0.00060273	
0.00011554	0.00011387	0.0005403	
0.00011471	0.00011395	0.00047936	
0.00011393	0.00011403	0.00041982	
0.00011311	0.00011409	0.00044655	
0.00011227	0.00011413	0.00047101	
0.00011147	0.00011418	0.00049559	
0.00011064	0.00011422	0.00051794	
0.0001098	0.00011426	0.00053807	
0.00010893	0.00011428	0.00055612	
0.0001081	0.00011431	0.00057422	
0.00010731	0.00011436	0.00059239	
0.0001065	0.0001144	0.00060849	
0.00010573	0.00011445	0.00062465	
0.00010494	0.00011449	0.00063875	
0.00010419	0.00011454	0.00065291	
0.00010341	0.00011458	0.00066491	
0.00010262	0.00011461	0.00067475	
0.00010181	0.00011464	0.00068256	
0.00010098	0.00011465	0.00068834	
0.00010019	0.00011468	0.00069414	
9.9433e-05	0.00011472	0.00070015	
9.8714e-05	0.00011477	0.00070618	
9.7977e-05	0.00011481	0.00071008	
9.7277e-05	0.00011486	0.0007142	
9.6614e-05	0.00011493	0.00071853	
9.5986e-05	0.00011501	0.00072307	
9.5344e-05	0.00011508	0.00072559	
9.4686e-05	0.00011514	0.0007261	
9.4064e-05	0.00011522	0.00072681	
9.3475e-05	0.0001153	0.00072775	
9.2921e-05	0.00011541	0.0007289	
9.235e-05	0.0001155	0.00072792	
9.1764e-05	0.00011558	0.00072493	
9.1207e-05	0.00011567	0.00072196	
9.0633e-05	0.00011576	0.00071687	
9.0093e-05	0.00011586	0.00071199	
8.9581e-05	0.00011597	0.00070715	
8.9101e-05	0.00011609	0.00070253	
8.8652e-05	0.00011623	0.00069811	
8.8234e-05	0.00011638	0.00069392	
8.7846e-05	0.00011654	0.00068993	
8.7488e-05	0.00011672	0.00068616	
8.7156e-05	0.00011691	0.00068242	
8.6849e-05	0.00011711	0.0006787	
8.6568e-05	0.00011732	0.00067502	
8.6273e-05	0.00011753	0.00066928	
8.6006e-05	0.00011775	0.00066379	
8.5724e-05	0.00011796	0.00065611	
8.547e-05	0.00011818	0.00064869	
8.5246e-05	0.00011842	0.00064154	
8.5047e-05	0.00011867	0.00063445	
8.4873e-05	0.00011894	0.00062744	
8.4683e-05	0.00011919	0.0006182	
8.4522e-05	0.00011946	0.00060926	
8.439e-05	0.00011975	0.00060063	
8.4243e-05	0.00012002	0.00058985	
8.4126e-05	0.00012032	0.00057941	
8.3993e-05	0.0001206	0.00056679	
8.3887e-05	0.00012089	0.00055434	
8.3813e-05	0.00012121	0.00054227	
8.3671e-05	0.00012513	0.00052268	
8.351e-05	0.00012901	0.00050068	
8.3381e-05	0.00013296	0.00047919	
8.3284e-05	0.000137	0.00045816	
8.3167e-05	0.000141	0.00043473	
8.3082e-05	0.00014509	0.00041176	
8.2977e-05	0.00014913	0.00038639	
8.2854e-05	0.00015314	0.00035874	
8.2764e-05	0.00015724	0.00033157	
8.2654e-05	0.00016129	0.00030198	
8.2522e-05	0.00016531	0.00026992	
8.242e-05	0.0001694	0.00023817	
8.2282e-05	0.00017331	0.00026329	
8.2127e-05	0.00017719	0.00028622	
8.2005e-05	0.00018115	0.00030942	
8.1917e-05	0.0001852	0.00033293	
8.1807e-05	0.00018921	0.00035408	
8.1679e-05	0.00019318	0.00037301	
8.1615e-05	0.00019398	0.00039554	
8.158e-05	0.00019482	0.0004183	
8.1574e-05	0.00019567	0.00044132	
8.1549e-05	0.00019652	0.00046206	
8.1557e-05	0.00019739	0.00048329	
8.0786e-05	0.00019829	0.00050524	
8.0059e-05	0.00019923	0.00052773	
7.9373e-05	0.0002002	0.00055078	
7.8665e-05	0.00020115	0.00057142	
7.7991e-05	0.00020212	0.00059234	
7.7356e-05	0.00020312	0.00061378	
7.6752e-05	0.00020415	0.00063552	
7.618e-05	0.0002052	0.00065757	
7.5641e-05	0.00020629	0.00068018	
7.5131e-05	0.00020739	0.00070311	
7.4604e-05	0.00020848	0.00072371	
7.4061e-05	0.00020956	0.00074213	
7.3549e-05	0.00021066	0.00076105	
7.3069e-05	0.0002118	0.00078049	
7.2572e-05	0.00021292	0.00079764	
7.2104e-05	0.00021406	0.0008153	
7.1621e-05	0.00021519	0.00083069	
7.1166e-05	0.00021635	0.00084657	
7.0698e-05	0.0002175	0.00086032	
7.0255e-05	0.00021867	0.00087433	
6.9839e-05	0.00021986	0.00088882	
6.9446e-05	0.00022108	0.00090358	
6.908e-05	0.00022233	0.00091885	
6.8736e-05	0.00022361	0.0009344	
6.8379e-05	0.00022487	0.00094784	
6.8048e-05	0.00022616	0.00096179	
6.7741e-05	0.00022748	0.00097627	
6.7422e-05	0.00022878	0.00098864	
6.7125e-05	0.00023012	0.0010013	
6.6848e-05	0.00023147	0.0010143	
6.6591e-05	0.00023285	0.0010276	
6.6354e-05	0.00023426	0.0010412	
6.614e-05	0.0002357	0.0010553	
6.5949e-05	0.00023717	0.0010701	
6.5776e-05	0.00023866	0.0010852	
6.5591e-05	0.00024014	0.0010981	
6.5396e-05	0.00024161	0.0011089	
6.5222e-05	0.00024311	0.0011203	
6.5036e-05	0.00024459	0.0011294	
6.4871e-05	0.0002461	0.0011391	
6.4696e-05	0.0002476	0.0011468	
6.454e-05	0.00024913	0.0011548	
