Scyliorhinus_canicula	Latimeria_chalumnae	Hemiscyllium_ocellatum	Carcharodon_carcharias	Amblyraja_radiata	
2.2189e-05	6.8241e-09	5.2937e-06	5.2003e-07	0.0016805	
2.3541e-05	5.9748e-09	5.0129e-06	5.004e-07	0.0019384	
2.5235e-05	5.5649e-09	4.7866e-06	4.8643e-07	0.0023757	
2.7361e-05	5.5699e-09	4.6061e-06	4.7773e-07	0.0024517	
3.0006e-05	5.9333e-09	4.4621e-06	4.7376e-07	0.0026265	
3.2455e-05	5.753e-09	4.3033e-06	4.6579e-07	0.0027564	
3.4717e-05	5.0095e-09	4.1282e-06	4.5365e-07	0.002845	
3.7595e-05	4.821e-09	3.993e-06	4.4697e-07	0.0030775	
4.0226e-05	3.9113e-09	3.84e-06	4.3583e-07	0.003242	
4.1005e-05	3.6988e-09	3.7347e-06	4.3348e-07	0.0032223	
4.21e-05	3.8306e-09	3.6599e-06	4.367e-07	0.0033126	
4.3082e-05	3.4246e-09	3.572e-06	4.3553e-07	0.003355	
4.3959e-05	3.8863e-09	3.4673e-06	4.2989e-07	0.003822	
4.5126e-05	4.7649e-09	3.3921e-06	4.2961e-07	0.0047127	
4.6168e-05	5.0308e-09	3.3032e-06	4.2482e-07	0.005405	
4.6306e-05	5.8574e-09	3.2468e-06	4.277e-07	0.0056028	
4.6386e-05	5.8587e-09	3.1786e-06	4.2625e-07	0.005726	
4.6623e-05	6.419e-09	3.1359e-06	4.3044e-07	0.0060684	
4.6795e-05	6.1482e-09	3.0812e-06	4.301e-07	0.0063064	
4.6909e-05	5.255e-09	3.0151e-06	4.2544e-07	0.0064659	
4.6967e-05	3.7054e-09	2.937e-06	4.164e-07	0.0065553	
4.7182e-05	2.9917e-09	2.8861e-06	4.1319e-07	0.0063936	
4.7566e-05	2.6153e-09	2.8577e-06	4.1532e-07	0.0064027	
4.7875e-05	1.682e-09	2.8179e-06	4.1284e-07	0.0063404	
4.8113e-05	1.4987e-09	2.7661e-06	4.058e-07	0.0061906	
4.7908e-05	1.7733e-09	2.6438e-06	4.2287e-07	0.0058417	
4.7894e-05	1.0898e-09	2.5556e-06	4.4753e-07	0.0057406	
4.7148e-05	6.8494e-10	2.4972e-06	4.8271e-07	0.0058252	
4.6285e-05	6.2799e-10	2.4254e-06	5.1186e-07	0.0058223	
4.5286e-05	7.2412e-10	2.3342e-06	5.3491e-07	0.0061942	
4.4196e-05	1.2181e-09	2.228e-06	5.5213e-07	0.0064431	
4.2964e-05	1.2347e-09	2.1065e-06	5.641e-07	0.0084777	
3.9258e-05	1.3776e-09	2.0164e-06	5.8463e-07	0.012914	
3.6537e-05	1.9278e-09	1.7775e-06	6.1495e-07	0.015085	
3.4568e-05	2.7983e-09	1.5917e-06	5.9016e-07	0.019423	
3.2357e-05	4.5899e-09	1.3757e-06	5.594e-07	0.032522	
2.9915e-05	5.7224e-09	1.1387e-06	5.2321e-07	0.043135	
2.8012e-05	7.4787e-09	9.4567e-07	4.9446e-07	0.061834	
2.6545e-05	1.0222e-08	7.8943e-07	4.7258e-07	0.09626	
2.5402e-05	1.1319e-08	6.6379e-07	4.566e-07	0.11399	
2.4154e-05	1.1734e-08	5.2675e-07	4.3635e-07	0.12856	
2.2763e-05	1.1389e-08	5.2288e-07	4.1095e-07	0.14015	
2.1694e-05	1.1887e-08	5.2679e-07	3.9163e-07	0.1438	
2.0864e-05	1.3185e-08	5.3802e-07	3.7745e-07	0.15059	
1.9953e-05	1.3756e-08	5.4407e-07	3.5916e-07	0.15605	
1.8947e-05	1.7182e-08	5.4479e-07	3.3657e-07	0.16028	
1.819e-05	1.7604e-08	5.5387e-07	3.1967e-07	0.16881	
1.7342e-05	1.7148e-08	5.5719e-07	2.983e-07	0.17545	
1.6387e-05	1.5607e-08	5.5427e-07	2.7214e-07	0.21905	
1.5685e-05	1.5368e-08	5.6054e-07	2.5205e-07	0.23562	
1.3709e-05	1.302e-08	5.8144e-07	2.4077e-07	0.24325	
1.2266e-05	8.7135e-09	5.6148e-07	2.3467e-07	0.24756	
1.1196e-05	6.2211e-09	5.5156e-07	2.3281e-07	0.24901	
1.0394e-05	4.715e-09	5.5039e-07	2.3483e-07	0.25234	
9.8416e-06	3.9162e-09	5.5929e-07	2.0048e-07	0.25333	
9.196e-06	2.3187e-09	5.6068e-07	1.6104e-07	0.2615	
8.7189e-06	1.4308e-09	5.7096e-07	1.2835e-07	0.27812	
7.7562e-06	1.0793e-09	6.2126e-07	1.181e-07	0.28683	
6.6778e-06	1.2178e-09	6.6365e-07	1.0431e-07	0.29334	
6.3645e-06	1.6466e-09	6.7633e-07	7.4656e-08	0.31216	
5.9476e-06	1.4947e-09	6.7983e-07	7.7204e-08	0.32613	
5.6275e-06	1.4225e-09	6.9158e-07	8.0853e-08	0.3509	
5.3815e-06	1.4001e-09	7.1161e-07	8.5589e-08	0.39431	
5.109e-06	1.9183e-09	7.2633e-07	8.7651e-08	0.42907	
4.8078e-06	2.0064e-09	7.3584e-07	8.7025e-08	0.4582	
4.476e-06	1.6689e-09	7.4024e-07	8.3723e-08	0.48285	
4.0498e-06	1.8195e-09	7.3366e-07	1.2045e-07	0.49831	
3.5895e-06	1.58e-09	7.2248e-07	1.5381e-07	0.51181	
3.221e-06	1.3907e-09	7.1869e-07	1.9152e-07	0.53386	
2.8224e-06	1.6979e-09	7.1023e-07	2.257e-07	0.55224	
2.4981e-06	2.048e-09	7.0846e-07	2.6433e-07	0.58147	
2.2343e-06	2.4802e-09	7.1334e-07	3.0814e-07	0.62871	
2.0375e-06	3.107e-09	7.2803e-07	2.9746e-07	0.64255	
1.8229e-06	3.2914e-09	7.3802e-07	2.8362e-07	0.65417	
1.5894e-06	3.0368e-09	7.4334e-07	2.6657e-07	0.66399	
1.3352e-06	3.6618e-09	7.4384e-07	2.4621e-07	0.67205	
1.0582e-06	3.8198e-09	7.3951e-07	2.2244e-07	0.67887	
7.5519e-07	3.4989e-09	7.3011e-07	1.9505e-07	0.68463	
7.3976e-07	4.2093e-09	7.1388e-07	1.6189e-07	0.68924	
7.3962e-07	5.3738e-09	7.0692e-07	1.3384e-07	0.69765	
7.2881e-07	8.7308e-09	6.9379e-07	1.0153e-07	0.70423	
7.4066e-07	1.0959e-08	6.5974e-07	7.7012e-08	0.70913	
7.7002e-07	1.1139e-08	6.376e-07	5.6227e-08	0.71078	
7.8151e-07	1.058e-08	6.0813e-07	6.265e-08	0.71197	
8.1065e-07	1.0949e-08	4.8457e-07	7.0556e-08	0.71159	
8.5888e-07	1.2166e-08	3.8499e-07	8.0089e-08	0.71215	
8.9424e-07	1.2567e-08	2.7395e-07	8.6497e-08	0.71235	
9.1273e-07	1.4911e-08	2.3932e-07	8.8758e-08	0.71167	
9.5162e-07	1.8968e-08	2.1267e-07	9.2812e-08	0.71201	
9.7814e-07	2.1861e-08	1.8084e-07	9.3843e-08	0.712	
1.0272e-06	2.7964e-08	1.5642e-07	9.6803e-08	0.71053	
1.0624e-06	3.2408e-08	1.2688e-07	9.6596e-08	0.70849	
1.1224e-06	4.0101e-08	1.0359e-07	9.8369e-08	0.70784	
1.2486e-06	5.6472e-08	9.0802e-08	8.0019e-08	0.70565	
1.2546e-06	6.477e-08	8.2524e-08	6.6486e-08	0.70529	
1.1674e-06	6.9267e-08	8.1821e-08	6.0075e-08	0.70393	
1.1107e-06	7.8164e-08	8.356e-08	5.5145e-08	0.69978	
1.0785e-06	8.2394e-08	8.7973e-08	5.138e-08	0.6914	
1.068e-06	9.0614e-08	9.4944e-08	4.8596e-08	0.6873	
1.0883e-06	9.5824e-08	9.3053e-08	4.8103e-08	0.68125	
1.1312e-06	9.543e-08	9.3657e-08	4.843e-08	0.67843	
1.1601e-06	9.162e-08	9.0478e-08	4.6014e-08	0.67864	
1.2208e-06	8.3663e-08	7.4467e-08	4.5273e-08	0.67808	
1.264e-06	7.2549e-08	8.6798e-08	4.1524e-08	0.67696	
1.3362e-06	6.6394e-08	1.0286e-07	3.8621e-08	0.67705	
1.3352e-06	5.5527e-08	1.4301e-07	4.331e-08	0.67623	
1.3195e-06	5.2385e-08	1.7702e-07	4.5224e-08	0.67484	
1.3289e-06	4.4478e-08	2.2106e-07	4.8064e-08	0.67104	
1.3237e-06	3.399e-08	2.5848e-07	4.811e-08	0.66594	
1.3035e-06	1.9618e-08	2.8925e-07	4.5343e-08	0.65915	
1.3082e-06	1.0804e-08	3.2996e-07	4.3482e-08	0.656	
1.3382e-06	5.5393e-09	3.8331e-07	4.2454e-08	0.64764	
1.331e-06	3.2213e-09	4.1923e-07	6.0109e-08	0.63427	
1.3082e-06	2.4509e-09	4.4802e-07	7.4649e-08	0.61603	
1.2709e-06	2.2694e-09	4.6947e-07	8.5843e-08	0.6102	
1.2576e-06	2.3374e-09	5.005e-07	9.9488e-08	0.60743	
1.2296e-06	1.873e-09	5.2478e-07	1.096e-07	0.60367	
1.2287e-06	1.8253e-09	5.1209e-07	1.235e-07	0.5957	
1.2142e-06	1.1615e-09	4.9334e-07	1.3383e-07	0.58519	
1.186e-06	1.0774e-09	4.6837e-07	1.4065e-07	0.57114	
1.1816e-06	1.101e-09	4.5284e-07	1.5063e-07	0.56441	
1.1622e-06	1.6129e-09	4.2988e-07	1.5666e-07	0.55472	
1.1652e-06	1.3901e-09	4.1619e-07	1.6587e-07	0.53549	
1.1548e-06	1.724e-09	3.9667e-07	1.7141e-07	0.50944	
1.1676e-06	1.3607e-09	3.8604e-07	1.8054e-07	0.46168	
1.164e-06	1.4326e-09	3.6133e-07	1.8501e-07	0.44935	
1.1405e-06	1.9618e-09	3.7106e-07	1.839e-07	0.42696	
1.1026e-06	1.8789e-09	3.7526e-07	1.7896e-07	0.39698	
1.0491e-06	2.2701e-09	3.724e-07	1.7001e-07	0.38816	
1.0213e-06	3.3542e-09	3.3239e-07	1.6499e-07	0.37025	
1.0154e-06	3.181e-09	3.0268e-07	1.6323e-07	0.36194	
1.031e-06	3.4205e-09	2.8142e-07	1.6466e-07	0.34061	
1.0339e-06	3.0649e-09	2.5463e-07	1.6254e-07	0.33766	
1.0573e-06	3.045e-09	2.3487e-07	1.6335e-07	0.33645	
1.0673e-06	2.4565e-09	2.0975e-07	1.605e-07	0.33465	
1.0986e-06	2.2012e-09	1.9106e-07	1.6056e-07	0.32936	
1.1159e-06	1.3772e-09	1.672e-07	1.5697e-07	0.32296	
1.1572e-06	8.2122e-10	1.4936e-07	1.5647e-07	0.31999	
1.1775e-06	6.0044e-10	1.5612e-07	1.506e-07	0.31458	
1.1837e-06	6.6117e-10	1.5857e-07	1.4101e-07	0.30703	
1.0777e-06	7.7366e-10	1.662e-07	1.3574e-07	0.28818	
1.2718e-06	1.9601e-09	1.5408e-07	7.5652e-08	0.17678	
1.3063e-06	3.1117e-09	1.4337e-07	5.5083e-08	0.16749	
1.306e-06	3.3417e-09	1.2392e-07	5.6691e-08	0.1654	
1.2838e-06	2.9685e-09	1.3763e-07	5.378e-08	0.16244	
1.1839e-06	3.1244e-09	1.3452e-07	6.0584e-08	0.1616	
1.1153e-06	3.6782e-09	1.3483e-07	6.8881e-08	0.15876	
1.0305e-06	5.4403e-09	1.3091e-07	7.4132e-08	0.15866	
9.7426e-07	5.7008e-09	1.3069e-07	8.1179e-08	0.1574	
9.4076e-07	6.5896e-09	1.3374e-07	9.014e-08	0.15332	
8.9572e-07	6.8742e-09	1.3331e-07	9.6161e-08	0.14827	
8.6844e-07	7.6907e-09	1.3551e-07	1.038e-07	0.14552	
8.3004e-07	7.8716e-09	1.3421e-07	1.0844e-07	0.1421	
8.0801e-07	8.6227e-09	1.355e-07	1.1479e-07	0.14026	
7.7515e-07	8.7143e-09	1.3327e-07	1.1807e-07	0.13794	
7.3069e-07	8.0275e-09	1.2726e-07	1.1821e-07	0.13853	
7.0425e-07	8.0539e-09	1.2435e-07	1.2047e-07	0.13779	
6.9411e-07	6.0515e-09	1.2443e-07	1.2499e-07	0.13778	
6.6127e-07	4.9224e-09	1.309e-07	1.2265e-07	0.13852	
6.172e-07	5.0903e-09	1.3365e-07	1.1712e-07	0.13896	
5.9068e-07	4.1463e-09	1.4025e-07	1.1396e-07	0.13867	
5.794e-07	3.7292e-09	1.5066e-07	1.1302e-07	0.13684	
5.5802e-07	2.7422e-09	1.5772e-07	1.0892e-07	0.13451	
5.5024e-07	2.1126e-09	1.6859e-07	1.0678e-07	0.13337	
5.5563e-07	1.7232e-09	1.8386e-07	1.0655e-07	0.13299	
5.5105e-07	1.966e-09	1.947e-07	1.0318e-07	0.1323	
5.362e-07	2.6966e-09	2.0055e-07	9.6572e-08	0.13274	
5.36e-07	2.4054e-09	2.1174e-07	9.2184e-08	0.13227	
5.5185e-07	2.5053e-09	1.9316e-07	9.0226e-08	0.13039	
5.827e-07	2.8842e-09	1.7986e-07	9.0002e-08	0.12958	
6.0221e-07	2.7103e-09	1.6188e-07	8.6614e-08	0.12841	
6.3796e-07	2.8632e-09	1.488e-07	8.4937e-08	0.12467	
6.6172e-07	2.4015e-09	1.3099e-07	8.0089e-08	0.12456	
7.0427e-07	2.2796e-09	1.1793e-07	7.7049e-08	0.12319	
7.338e-07	2.9275e-09	1.4071e-07	7.075e-08	0.12109	
7.8399e-07	4.228e-09	1.701e-07	6.6149e-08	0.12029	
8.6791e-07	4.1573e-09	2.0933e-07	3.6925e-08	0.12035	
9.2486e-07	5.3705e-09	2.4061e-07	3.504e-08	0.12009	
9.6754e-07	5.885e-09	2.6613e-07	3.0497e-08	0.11951	
9.9655e-07	5.7274e-09	2.8617e-07	2.3269e-08	0.11858	
1.0492e-06	6.4461e-09	3.1451e-07	1.6641e-08	0.11585	
1.0882e-06	6.5061e-09	3.3729e-07	7.4644e-09	0.11229	
1.1038e-06	5.8642e-09	3.5352e-07	7.7057e-09	0.10757	
1.0986e-06	4.5325e-09	3.6388e-07	1.8635e-08	0.10142	
1.1142e-06	3.7913e-09	3.8132e-07	3.0524e-08	0.098352	
1.1163e-06	2.3839e-09	3.9317e-07	3.9517e-08	0.094293	
1.1436e-06	1.699e-09	3.7228e-07	5.0422e-08	0.085775	
1.0643e-06	1.2836e-09	3.5962e-07	6.3818e-08	0.081648	
1.0117e-06	1.0121e-09	3.5376e-07	7.9546e-08	0.079617	
9.4446e-07	1.2002e-09	3.427e-07	9.1893e-08	0.076862	
9.0541e-07	1.7348e-09	2.9603e-07	1.0797e-07	0.071268	
8.8771e-07	2.5819e-09	2.6031e-07	1.2775e-07	0.06859	
8.5608e-07	2.6971e-09	2.1227e-07	1.4314e-07	0.068352	
8.447e-07	3.2007e-09	1.7497e-07	1.6267e-07	0.06707	
8.155e-07	4.4513e-09	1.6846e-07	1.7609e-07	0.066897	
7.7316e-07	5.0244e-09	1.5758e-07	1.8556e-07	0.066481	
