Sylvilagus_bachmani	Oryctolagus_cuniculus	Ochotona_princeps	Ochotona_curzoniae	Lepus_timidus	Lepus_americanus	
0.0004522	0.021912	0.042755	0.00023939	0.00090229	0.0001982	
0.00044839	0.021916	0.041738	0.00024527	0.00089904	0.00019469	
0.00044453	0.021921	0.040706	0.00025106	0.00089577	0.00019117	
0.00044077	0.021926	0.039705	0.00025702	0.00089253	0.00018767	
0.00043697	0.02193	0.038691	0.00026291	0.00088928	0.00018415	
0.00043327	0.021936	0.037706	0.00026898	0.00088606	0.00018066	
0.00042952	0.021941	0.036707	0.00027496	0.00088283	0.00017715	
0.00042573	0.021946	0.035695	0.00028087	0.00087957	0.00017363	
0.00042207	0.021867	0.034717	0.00028698	0.00087636	0.00017013	
0.00041851	0.02179	0.033767	0.00029328	0.00087319	0.00016666	
0.00041505	0.021714	0.032846	0.00029976	0.00087006	0.0001632	
0.00041168	0.021639	0.031952	0.00030644	0.00086696	0.00015977	
0.00040841	0.021567	0.031085	0.00031333	0.00086391	0.00015636	
0.00040525	0.021496	0.030246	0.00032046	0.0008609	0.00015297	
0.00040203	0.021425	0.029394	0.00032748	0.00085786	0.00014956	
0.00039892	0.021356	0.028571	0.00033475	0.00085487	0.00014618	
0.00039592	0.021288	0.027777	0.00034228	0.00085193	0.00014282	
0.00039302	0.021222	0.02701	0.00035008	0.00084902	0.00013949	
0.00039022	0.021158	0.026269	0.00035815	0.00084616	0.00013618	
0.00039379	0.021093	0.025515	0.0003661	0.00084328	0.00013286	
0.00039731	0.021027	0.02479	0.00037436	0.00084037	0.00012951	
0.00040076	0.02096	0.02405	0.00038249	0.00083743	0.00012615	
0.00040432	0.020895	0.023336	0.0003909	0.00083454	0.00012282	
0.00040782	0.020829	0.022608	0.00039916	0.00083162	0.00011946	
0.00041127	0.020762	0.021866	0.00040728	0.00082868	0.00011609	
0.00041465	0.020695	0.02111	0.00041528	0.00082571	0.00011271	
0.00041798	0.020627	0.02034	0.00042313	0.00082271	0.0001093	
0.00042142	0.020561	0.019598	0.00043128	0.00081976	0.00010593	
0.0004248	0.020494	0.018838	0.00043927	0.00081678	0.00010253	
0.00042831	0.020429	0.018585	0.00044334	0.00081385	9.916e-05	
0.00043176	0.020363	0.018323	0.0004473	0.0008109	9.5774e-05	
0.00043513	0.020296	0.018076	0.0004515	0.00080746	9.5713e-05	
0.00043842	0.020228	0.01782	0.00045557	0.000804	9.5641e-05	
0.00044164	0.020159	0.017555	0.00045953	0.0008005	9.5558e-05	
0.000445	0.020093	0.017303	0.00046369	0.00079706	9.5479e-05	
0.00044829	0.020025	0.017043	0.00046775	0.00079358	9.5388e-05	
0.00045152	0.019957	0.016775	0.0004717	0.00079008	9.5287e-05	
0.00045487	0.01989	0.016519	0.00047585	0.00078663	9.5189e-05	
0.00045817	0.019823	0.016256	0.00047991	0.00078316	9.5082e-05	
0.00046141	0.019755	0.015986	0.00048389	0.00077966	9.4963e-05	
0.0004646	0.019686	0.01571	0.00048777	0.00077614	9.4835e-05	
0.00046791	0.01962	0.015445	0.00049185	0.00077266	9.471e-05	
0.00047116	0.019552	0.015173	0.00049584	0.00076917	9.4574e-05	
0.00047453	0.019487	0.014912	0.0005	0.00076572	9.4442e-05	
0.00047784	0.019421	0.014644	0.00050408	0.00076224	9.4299e-05	
0.0004811	0.019354	0.014369	0.00050806	0.00075874	9.4145e-05	
0.0004843	0.019286	0.014088	0.00051196	0.00075521	9.3982e-05	
0.00048763	0.01922	0.013818	0.00051606	0.00075174	9.3822e-05	
0.00049089	0.019154	0.013541	0.00052005	0.00074823	9.3651e-05	
0.0004941	0.019087	0.013256	0.00052395	0.0007447	9.347e-05	
0.00049742	0.019021	0.012982	0.00052804	0.00074122	9.3291e-05	
0.00050089	0.018958	0.012721	0.00053234	0.0007378	9.3117e-05	
0.00050449	0.018896	0.012471	0.00053686	0.00073442	9.2947e-05	
0.00050801	0.018834	0.012212	0.00054125	0.00073101	9.2765e-05	
0.00051168	0.018774	0.012111	0.00054206	0.00072766	9.2588e-05	
0.00051526	0.018713	0.012018	0.00054303	0.00072427	9.2398e-05	
0.00054142	0.01865	0.011919	0.0005439	0.00072085	9.2197e-05	
0.00056854	0.018589	0.011828	0.00054496	0.00071749	9.2001e-05	
0.00059524	0.018528	0.01173	0.0005459	0.00071393	9.4817e-05	
0.00062148	0.018465	0.011626	0.00054674	0.00071033	9.7613e-05	
0.0006487	0.018405	0.011515	0.00054748	0.0007068	0.00010044	
0.00067545	0.018343	0.011413	0.0005484	0.00070323	0.00010324	
0.00070178	0.018281	0.011305	0.00054923	0.00069962	0.00010602	
0.00072771	0.018217	0.01119	0.00054996	0.00069598	0.00010879	
0.00075313	0.018152	0.011085	0.00055088	0.00069231	0.00011153	
0.0007795	0.01809	0.010971	0.00055167	0.0006887	0.00011431	
0.00080676	0.01803	0.010851	0.00055236	0.00068514	0.0001171	
0.00081495	0.017972	0.01074	0.00055321	0.00068165	0.00011993	
0.00082299	0.017913	0.010622	0.00055398	0.00067812	0.00012273	
0.00083134	0.017856	0.010512	0.00055492	0.00067465	0.00012556	
0.00084001	0.017802	0.01041	0.00055602	0.00067124	0.00012842	
0.00084899	0.017749	0.010316	0.00055728	0.00066789	0.0001313	
0.00085783	0.017695	0.010216	0.00055845	0.0006645	0.00013416	
0.00086651	0.017641	0.010109	0.00055953	0.00066108	0.00013701	
0.00087551	0.017588	0.01001	0.00056077	0.00065771	0.00013987	
0.00088436	0.017535	0.0099051	0.00056192	0.00065432	0.00014273	
0.00089351	0.017483	0.0098065	0.00056321	0.00065097	0.0001456	
0.0009025	0.017431	0.009702	0.00056442	0.00064759	0.00014845	
0.00091181	0.01738	0.0096047	0.00056578	0.00064426	0.00015133	
0.00092099	0.017328	0.009502	0.00056706	0.0006409	0.0001542	
0.00093003	0.017276	0.0094058	0.0005685	0.00063752	0.00015704	
0.00093894	0.017223	0.0093043	0.00056985	0.00063411	0.00015987	
0.00094815	0.017172	0.009209	0.00057135	0.00063066	0.00016267	
0.00095723	0.01712	0.0091085	0.00057277	0.00062718	0.00016546	
0.00096661	0.01707	0.0090139	0.00057434	0.00062374	0.00016827	
0.00097584	0.017018	0.0089137	0.00057581	0.00062028	0.00017106	
0.00098493	0.016967	0.0088203	0.00057746	0.00061679	0.00017383	
0.00099434	0.016916	0.0087327	0.00057926	0.00061335	0.00017663	
0.0010036	0.016866	0.0086397	0.00058097	0.00060988	0.00017941	
0.0010128	0.016814	0.0085419	0.00058259	0.00060639	0.00018218	
0.0010218	0.016762	0.0084394	0.00058414	0.00060287	0.00018493	
0.0010307	0.016709	0.0083321	0.00058562	0.00059932	0.00018766	
0.0010399	0.016658	0.0082308	0.00058724	0.00059583	0.00019042	
0.0010494	0.016608	0.0081403	0.00058255	0.00059237	0.0001932	
0.0010592	0.01656	0.0080552	0.00057806	0.00058897	0.000196	
0.0010688	0.016511	0.0079655	0.00057348	0.00058554	0.00019878	
0.0010788	0.016464	0.0078809	0.0005691	0.00058215	0.00020159	
0.0010887	0.016416	0.0077922	0.00056464	0.00057874	0.00020438	
0.0010988	0.01637	0.0077078	0.00056035	0.00057537	0.00020719	
0.0011088	0.016323	0.007619	0.00055597	0.00057198	0.00020999	
0.0011187	0.016275	0.0075262	0.00055151	0.00056856	0.00021277	
0.0011289	0.016229	0.0074382	0.00054724	0.00056519	0.00021558	
0.001139	0.016183	0.0073459	0.00054289	0.0005618	0.00021837	
0.001149	0.016136	0.0072103	0.00054608	0.00055838	0.00022114	
0.0011592	0.01609	0.0070804	0.00054944	0.000555	0.00022394	
0.0011698	0.016045	0.0069554	0.00055296	0.00055167	0.00022675	
0.0011802	0.016	0.0068257	0.00055639	0.00054831	0.00022955	
0.001191	0.015956	0.0067015	0.00056	0.00054499	0.00023237	
0.0012016	0.015912	0.0065727	0.00056352	0.00054165	0.00023518	
0.0012121	0.015868	0.0064396	0.00056697	0.00053828	0.00023797	
0.0012225	0.015822	0.0063021	0.00057033	0.0005349	0.00024075	
0.0012328	0.015777	0.0061602	0.00057361	0.00053149	0.00024352	
0.0012434	0.015732	0.0060135	0.00057681	0.00052813	0.00024631	
0.0012543	0.015689	0.005872	0.00058017	0.00052481	0.00024911	
0.001265	0.015646	0.0057256	0.00058344	0.00052146	0.00025191	
0.0012757	0.015601	0.0055743	0.00058662	0.00051809	0.00025468	
0.0012867	0.015559	0.0054289	0.00058998	0.00051476	0.00025748	
0.0012975	0.015515	0.0052784	0.00059324	0.0005114	0.00026027	
0.0013086	0.015473	0.0051333	0.00059668	0.00050809	0.00026307	
0.0013196	0.015431	0.0049935	0.00060029	0.00050475	0.00026586	
0.001331	0.015389	0.0048488	0.00060381	0.00050146	0.00026867	
0.0013321	0.01535	0.0047099	0.00060753	0.00049821	0.00027151	
0.0013333	0.015311	0.0045758	0.00061143	0.000495	0.00027437	
0.0013344	0.015273	0.004437	0.00061524	0.00049176	0.00027722	
0.0013355	0.015233	0.0042934	0.00061894	0.0004885	0.00028004	
0.0013367	0.015195	0.0041544	0.00062282	0.00048528	0.00028289	
0.0013379	0.015156	0.0040112	0.00062661	0.00048204	0.00028573	
0.0013389	0.015117	0.0038733	0.00063061	0.00047877	0.00028854	
0.00134	0.015077	0.0037313	0.00063452	0.00047548	0.00029135	
0.0013411	0.015038	0.0035941	0.00063864	0.00047223	0.00029418	
0.0013422	0.014999	0.0034618	0.00064296	0.00046896	0.00029699	
0.0013435	0.014961	0.0033333	0.00064747	0.00046572	0.00029982	
0.0013446	0.014923	0.0032007	0.00065188	0.00046246	0.00030264	
0.0013459	0.014886	0.0030717	0.00065648	0.00045924	0.00030548	
0.0013471	0.014848	0.0029387	0.00066099	0.000456	0.0003083	
0.0013485	0.014812	0.0028096	0.00066569	0.00045279	0.00031115	
0.00135	0.014776	0.0026839	0.00067059	0.00044962	0.00031402	
0.0013514	0.01474	0.0025546	0.0006754	0.00044643	0.00031687	
0.0013528	0.014704	0.0024217	0.00068013	0.00044322	0.00031971	
0.0013543	0.014669	0.002292	0.00068504	0.00044004	0.00032257	
0.0013559	0.014635	0.0021654	0.00069015	0.0004369	0.00032545	
0.0013575	0.0146	0.0020351	0.00069517	0.00043373	0.00032831	
0.0013591	0.014566	0.0019079	0.00070038	0.0004306	0.0003312	
0.0013608	0.014532	0.0017771	0.0007055	0.00042745	0.00033407	
0.0013625	0.0145	0.0016494	0.00071082	0.00042433	0.00033696	
0.0013642	0.014466	0.0015181	0.00071606	0.00042119	0.00033984	
0.0013661	0.014434	0.0013904	0.00072153	0.00041809	0.00034275	
0.0013678	0.014401	0.0012666	0.00072726	0.00041497	0.00034563	
0.0013695	0.014368	0.0012793	0.00073155	0.00041182	0.00034851	
0.0013712	0.014334	0.0012894	0.00073575	0.00040865	0.00035136	
0.001373	0.014302	0.0013002	0.00074016	0.00040552	0.00035425	
0.0013749	0.014271	0.0013081	0.00074445	0.00040243	0.00035715	
0.001377	0.01424	0.0013167	0.00074896	0.00039943	0.00035635	
0.0013792	0.014211	0.001326	0.00075367	0.00039645	0.00035555	
0.0013814	0.014182	0.0013326	0.00075828	0.00039346	0.00035474	
0.0013837	0.014153	0.0013396	0.00076309	0.0003905	0.00035395	
0.0013861	0.014126	0.0013472	0.0007681	0.00038757	0.00035317	
0.0013887	0.014099	0.0013553	0.00077332	0.00038467	0.00035239	
0.0013912	0.014072	0.0013608	0.00077845	0.00038175	0.00035161	
0.0013937	0.014044	0.0013637	0.00078348	0.00037882	0.00035081	
0.0013963	0.014018	0.001367	0.00078871	0.00037591	0.00035003	
0.001399	0.013992	0.0013708	0.00079415	0.00037303	0.00034925	
0.0014016	0.013966	0.001372	0.0007995	0.00037013	0.00034847	
0.0014045	0.013941	0.001374	0.0008051	0.00036727	0.0003477	
0.0014074	0.013917	0.0013768	0.00081094	0.00036445	0.00034694	
0.0014103	0.013893	0.0013768	0.00081667	0.0003616	0.00034617	
0.0014132	0.013868	0.0013777	0.00082267	0.00035873	0.00034538	
0.0014162	0.013844	0.0013795	0.00082894	0.00035589	0.00034461	
0.0014191	0.01382	0.0013785	0.00083509	0.00035303	0.00034383	
0.0014219	0.013795	0.0013747	0.00084112	0.00035015	0.00034303	
0.0014249	0.013772	0.0013719	0.00084743	0.00034731	0.00034225	
0.0014281	0.013749	0.0013698	0.00085401	0.0003445	0.00034148	
0.0014312	0.013726	0.0013684	0.00086088	0.00034167	0.0003407	
0.0014342	0.013702	0.0013642	0.0008676	0.00033881	0.0003399	
0.0014374	0.01368	0.0013609	0.00087464	0.000336	0.00033912	
0.0014408	0.013658	0.0013545	0.00088149	0.00033321	0.00033835	
0.0014441	0.013637	0.0013451	0.00088818	0.00033041	0.00033757	
0.0014476	0.013616	0.0013365	0.00089517	0.00032764	0.0003368	
0.001451	0.013594	0.0013288	0.00090247	0.00032484	0.00033602	
0.0014545	0.013574	0.0013218	0.00091009	0.00032208	0.00033526	
0.0014583	0.013554	0.0013156	0.00091803	0.00031935	0.0003345	
0.0014622	0.013536	0.0013101	0.0009263	0.00031666	0.00033376	
0.001466	0.013517	0.0013017	0.00093439	0.00031394	0.00033301	
0.0014697	0.013497	0.0012903	0.00094231	0.00031119	0.00033224	
0.0014736	0.013479	0.00128	0.0009506	0.00030849	0.00033148	
0.0014775	0.01346	0.0012668	0.00095872	0.00030576	0.00033072	
0.0014815	0.013442	0.0012547	0.00096724	0.00030306	0.00032996	
0.0014858	0.013425	0.0012437	0.00097617	0.00030041	0.00032923	
0.0014902	0.01341	0.0012336	0.0009855	0.00029779	0.00032851	
0.0014949	0.013395	0.0012246	0.0009953	0.0002952	0.0003278	
0.0014998	0.013381	0.0012167	0.0010055	0.00029265	0.00032711	
0.0015046	0.013367	0.0012099	0.0010163	0.00029007	0.00032641	
0.0015096	0.013353	0.0012044	0.0010276	0.00028753	0.00032572	
0.001515	0.013341	0.0012001	0.0010395	0.00028496	0.00032501	
0.0015202	0.013329	0.0011927	0.001051	0.00028236	0.00032429	
0.0015252	0.013316	0.0011821	0.0010623	0.00027974	0.00032354	
0.0015302	0.013302	0.0011684	0.0010734	0.00027708	0.00032278	
0.0015354	0.01329	0.0011558	0.0010849	0.00027447	0.00032204	
0.0015408	0.013278	0.0011445	0.0010971	0.0002719	0.00032132	
0.0015466	0.013268	0.0011343	0.0011098	0.00026936	0.00032061	
0.0015526	0.013258	0.0011252	0.0011232	0.00026686	0.00031993	
0.0015584	0.013248	0.001113	0.0011362	0.00026433	0.00031922	
0.0015646	0.013239	0.0010977	0.001149	0.00026184	0.00031853	
0.0015709	0.013231	0.0010832	0.0011622	0.00025938	0.00031786	
0.0015772	0.013223	0.0010656	0.0011752	0.0002569	0.00031717	
0.0015837	0.013215	0.0010447	0.0011879	0.00025444	0.00031649	
0.00159	0.013207	0.0010252	0.0012012	0.00025196	0.0003158	
0.0015967	0.0132	0.0010025	0.0012141	0.00024952	0.00031512	
0.0016032	0.013192	0.00097658	0.0012268	0.00024704	0.00031443	
0.0016095	0.013184	0.00094749	0.0012391	0.00024454	0.00031372	
0.0016161	0.013177	0.00091963	0.0012521	0.00024208	0.00031303	
0.001623	0.01317	0.00088854	0.0012647	0.00023965	0.00031235	
0.0016298	0.013164	0.00084782	0.0013329	0.00023719	0.00031166	
0.0016364	0.013156	0.000804	0.0013999	0.00023471	0.00031095	
0.0016433	0.01315	0.0007613	0.0014697	0.00023226	0.00031025	
0.00165	0.013143	0.00071552	0.0015382	0.00022979	0.00030954	
0.0016571	0.013137	0.00067082	0.0016095	0.00022735	0.00030885	
0.0016639	0.013131	0.00069661	0.0016651	0.00022488	0.00030814	
0.0016706	0.013124	0.00071944	0.0017195	0.00022239	0.00030741	
0.0016772	0.013116	0.00073933	0.0017727	0.00021987	0.00030666	
0.0016836	0.013108	0.00076003	0.0018285	0.00021732	0.0003059	
0.0016899	0.0131	0.00077778	0.001883	0.00021475	0.00030513	
0.0016965	0.013092	0.00079631	0.0019401	0.00021222	0.00030437	
0.0017029	0.013084	0.00081203	0.0019961	0.00020966	0.00030359	
0.0017097	0.013077	0.00082855	0.0020547	0.00020714	0.00030283	
0.0017163	0.01307	0.00084211	0.002112	0.00020459	0.00030206	
0.0017227	0.013062	0.00085271	0.0021681	0.00020201	0.00030127	
0.001729	0.013054	0.0008605	0.0022232	0.00019942	0.00030046	
0.0017352	0.013045	0.00086921	0.0022809	0.00019679	0.00029964	
0.0017416	0.013037	0.00087874	0.0023413	0.0001942	0.00029883	
0.0017479	0.013028	0.00088892	0.0024044	0.00019159	0.00029801	
0.0017541	0.013019	0.00089626	0.0024662	0.00018895	0.00029717	
0.0017601	0.01301	0.00090061	0.0025267	0.00018628	0.00029632	
0.0017664	0.013002	0.00090557	0.0025897	0.00018364	0.00029548	
0.0017726	0.012992	0.00090753	0.0026514	0.00018098	0.00029462	
0.001779	0.012984	0.00090645	0.0027117	0.00017836	0.00029378	
0.0017859	0.012978	0.00090228	0.0027705	0.00017852	0.00029227	
0.0017932	0.012973	0.00089873	0.0028319	0.0001787	0.00029079	
0.0018008	0.012969	0.00089195	0.0028917	0.0001789	0.00028932	
0.0018082	0.012964	0.00088231	0.0029503	0.00017907	0.00028784	
0.0018155	0.012959	0.00086982	0.0030078	0.00017924	0.00028634	
0.0018231	0.012954	0.00085427	0.003064	0.00017941	0.00028486	
0.001831	0.012951	0.00083959	0.0031228	0.0001796	0.0002834	
0.0018388	0.012947	0.00082206	0.0031805	0.00017978	0.00028193	
0.0018464	0.012943	0.00080153	0.0032369	0.0001856	0.00028039	
0.0018538	0.012938	0.00077797	0.0032921	0.00019138	0.00027883	
0.0018616	0.012935	0.0007553	0.0033499	0.00019723	0.00027729	
0.0018692	0.01293	0.00072963	0.0034064	0.00020304	0.00027573	
0.0018767	0.012926	0.00070093	0.0034617	0.00020881	0.00027416	
0.0018839	0.01292	0.00067299	0.0035195	0.00021454	0.00027257	
0.0018916	0.012916	0.00064588	0.00358	0.00022035	0.000271	
0.0018995	0.012913	0.00061933	0.003643	0.00022623	0.00026945	
0.0019073	0.012909	0.00058981	0.0037047	0.00023206	0.00026788	
0.0019144	0.012903	0.00056086	0.003769	0.00023797	0.00026632	
0.0019214	0.012897	0.00052897	0.003832	0.00024384	0.00026476	
0.0019288	0.012891	0.0004978	0.0038979	0.00024979	0.00026321	
0.0019365	0.012887	0.00046349	0.0039621	0.00025581	0.00026168	
0.001944	0.012882	0.00042622	0.0040248	0.0002618	0.00026013	
0.0019518	0.012878	0.0003897	0.0040906	0.00026786	0.00025861	
0.0019595	0.012874	0.00040889	0.0041432	0.00027389	0.00025707	
0.001967	0.012869	0.00042541	0.0041947	0.00027967	0.00025958	
0.0019744	0.012863	0.00043938	0.0042451	0.00028542	0.00026206	
0.001974	0.012861	0.00045066	0.0042944	0.00029123	0.00026458	
0.0019735	0.012858	0.00045928	0.0043426	0.00029701	0.00026707	
0.0019732	0.012857	0.00046808	0.0043931	0.00030297	0.00026688	
0.0019727	0.012854	0.00047714	0.0044461	0.00030888	0.00026666	
0.0019722	0.012852	0.00048354	0.0044979	0.00031475	0.00026643	
0.0019719	0.01285	0.00048996	0.004552	0.0003207	0.00026622	
0.0019715	0.012847	0.00049372	0.0046049	0.00032661	0.00026599	
0.0019709	0.012845	0.00049483	0.0046567	0.00033247	0.00026574	
0.0019706	0.012843	0.00049611	0.0047108	0.00033841	0.00026551	
0.0019702	0.01284	0.00049485	0.004764	0.00034431	0.00026526	
0.0019699	0.012839	0.00049358	0.0048194	0.00035029	0.00026503	
0.0019696	0.012837	0.00048966	0.0048736	0.00035622	0.00026478	
0.0019694	0.012836	0.00048574	0.0049301	0.00036223	0.00026455	
0.0019692	0.012835	0.00047917	0.0049854	0.00036819	0.00026429	
0.0019607	0.012836	0.00046977	0.0050392	0.00037424	0.00026406	
0.0019303	0.012854	0.00042268	0.0052651	0.00039929	0.00026326	
0.0019231	0.012859	0.0004086	0.0053244	0.00040563	0.00026306	
0.0019162	0.012865	0.00039464	0.0053866	0.00041207	0.00026288	
0.0019091	0.012871	0.00038068	0.0054515	0.00041846	0.00026269	
0.0019019	0.012876	0.00036411	0.005515	0.00042481	0.00026248	
0.001895	0.012883	0.00034761	0.0055814	0.00043124	0.00026228	
0.0018884	0.01289	0.00033637	0.0056034	0.00043777	0.0002621	
0.0018821	0.012898	0.00032491	0.0056264	0.00044438	0.00026193	
0.0018761	0.012907	0.00031321	0.0056505	0.00045107	0.00026177	
0.0018703	0.012918	0.00030124	0.0056758	0.00045785	0.00026163	
0.0018644	0.012927	0.00028685	0.0057005	0.00046459	0.00026147	
0.0018588	0.012938	0.00027234	0.0057265	0.00047142	0.00026133	
0.0018464	0.012927	0.00027296	0.0057358	0.00047835	0.0002612	
0.0018344	0.012917	0.00027314	0.0057457	0.00048537	0.00026109	
0.0018222	0.012907	0.00027091	0.0057552	0.00049234	0.00026096	
0.0018104	0.012898	0.00026822	0.0057654	0.0004994	0.00026084	
0.0017984	0.012888	0.00026315	0.0057753	0.00050641	0.0002607	
0.0017862	0.012877	0.00025569	0.0057848	0.00051337	0.00026055	
0.0017737	0.012866	0.00024591	0.005794	0.00052029	0.00026039	
0.0017617	0.012857	0.00023577	0.0058038	0.00052729	0.00026024	
0.0017495	0.012846	0.00022334	0.0058134	0.00053426	0.00026008	
0.0017378	0.012837	0.00021052	0.0058237	0.00054132	0.00025992	
0.0017258	0.012827	0.00019536	0.0058337	0.00054833	0.00025976	
0.0017137	0.012817	0.00017784	0.0058433	0.00055529	0.00025958	
0.0017013	0.012806	0.00019841	0.0058497	0.00056222	0.00025938	
0.0016894	0.012796	0.00021872	0.0058567	0.00056923	0.0002592	
0.0016773	0.012786	0.00023661	0.0058635	0.00057621	0.00025901	
0.001665	0.012775	0.00034129	0.0058669	0.00058313	0.0002588	
0.0016531	0.012765	0.0004485	0.0058709	0.00059014	0.0002586	
0.001641	0.012755	0.00055182	0.0058745	0.0005971	0.00025838	
0.0016287	0.012744	0.00065156	0.005878	0.00060403	0.00025816	
0.0016168	0.012734	0.00075418	0.005882	0.00061104	0.00025794	
0.0016053	0.012725	0.00085939	0.0058865	0.00061814	0.00025774	
0.0015942	0.012717	0.0009678	0.0058915	0.00062532	0.00025755	
0.0015835	0.01271	0.0010723	0.0058963	0.0006326	0.00025737	
0.0015732	0.012704	0.0011731	0.0059009	0.00063998	0.0002572	
0.0015627	0.012697	0.00127	0.0059052	0.00064731	0.00025702	
0.0015526	0.012691	0.0013698	0.00591	0.00065473	0.00025685	
0.0015423	0.012685	0.0014659	0.0059147	0.00066211	0.00025667	
0.0015319	0.012679	0.0015584	0.0059191	0.00066945	0.00025647	
0.0015214	0.012672	0.0016476	0.0059233	0.00067676	0.00025627	
0.0015107	0.012664	0.0017332	0.0059273	0.00068403	0.00025605	
0.0015003	0.012658	0.0018214	0.0059318	0.00069138	0.00025584	
0.0014898	0.012651	0.0019063	0.0059361	0.0006987	0.00025562	
0.0014796	0.012645	0.0019934	0.0059408	0.0007061	0.0002554	
0.0014693	0.012639	0.0020772	0.0059454	0.00071346	0.00025518	
0.0014589	0.012632	0.0021576	0.0059498	0.00072079	0.00025494	
0.0014487	0.012626	0.0022403	0.0059546	0.0007282	0.00025471	
0.0014384	0.01262	0.0023195	0.0059593	0.00073557	0.00025447	
0.0014285	0.012614	0.0024009	0.0059643	0.00074301	0.00025424	
0.0014183	0.012608	0.0024788	0.0059692	0.00075042	0.000254	
0.0014085	0.012603	0.0025589	0.0059745	0.00075791	0.00025376	
0.001399	0.012598	0.0026419	0.0059803	0.00076549	0.00025354	
0.0013898	0.012595	0.0027279	0.0059866	0.00077315	0.00025333	
0.0013809	0.012592	0.0028278	0.0059735	0.0007809	0.00025312	
0.0013718	0.012589	0.0029237	0.0059601	0.00078861	0.0002529	
0.0013626	0.012585	0.0030158	0.0059465	0.00079628	0.00025267	
0.0013533	0.012581	0.0031109	0.0059334	0.00080391	0.00025243	
0.0013439	0.012577	0.0032021	0.0059201	0.0008115	0.00025217	
0.0013347	0.012573	0.0032968	0.0059074	0.00081918	0.00025193	
0.0013255	0.012569	0.0033878	0.0058945	0.00082683	0.00025167	
0.0013165	0.012566	0.0034824	0.0058822	0.00083457	0.00025142	
0.0013078	0.012564	0.0035808	0.0058706	0.0008424	0.00025119	
0.0012994	0.012562	0.0036826	0.0058595	0.00085031	0.00025096	
0.0012909	0.01256	0.0037802	0.0058482	0.00085819	0.00025072	
0.0012827	0.012559	0.0038819	0.0058375	0.00086616	0.00025049	
0.0012743	0.012558	0.0039796	0.0058265	0.0008741	0.00025025	
0.0012662	0.012557	0.0040811	0.0058161	0.00088212	0.00025002	
0.001258	0.012556	0.0041781	0.0058055	0.0008901	0.00024978	
0.0012599	0.01255	0.0042794	0.0057954	0.00089803	0.00024952	
0.0012617	0.012545	0.004376	0.005785	0.00090591	0.00024924	
0.0012635	0.012538	0.0044777	0.0057754	0.00091375	0.00024896	
0.0012654	0.012533	0.0045844	0.0057663	0.00092169	0.00024868	
0.0012672	0.012527	0.0046863	0.005757	0.00092958	0.0002484	
0.0012691	0.012522	0.0047932	0.0057483	0.00093757	0.00024812	
0.001271	0.012516	0.0048957	0.0057394	0.00094552	0.00024783	
0.0012731	0.012512	0.0050027	0.005731	0.00095357	0.00024755	
0.0012753	0.012508	0.0051144	0.0057231	0.00096172	0.00024728	
0.0012776	0.012505	0.005231	0.0057158	0.0009698	0.000247	
0.0012802	0.012503	0.0053527	0.0057091	0.00097797	0.00024672	
0.0012826	0.0125	0.0054697	0.0057021	0.00098611	0.00024643	
0.0012852	0.012498	0.0055925	0.0056957	0.00099416	0.00024612	
